epoch,mask_method,actual_swaps,full_teacher_correct,student_correct,correction_opportunity,kl,prediction_flip,gt_probability_drop,gt_probability,correct,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,foreground_rescue_10,9.085,0.905,0.5,0.47,0.097118385,0.075,0.001953537,0.86736906,0.91,0.07366835,0.0628518,0.3267347,0.6732653,0.22481684,0.22895409,0.7216646,44.875
0,foreground_rescue_20,14.97,0.905,0.5,0.47,0.06897249,0.04,-0.004742982,0.8740656,0.915,0.10181425,0.069548324,0.3867857,0.6132143,0.10374886,0.22895409,0.8238905,44.875
0,foreground_rescue_5,4.84,0.905,0.5,0.47,0.09343315,0.06,0.015548709,0.8537739,0.885,0.07735359,0.04925663,0.28341836,0.71658164,0.33423287,0.22895409,0.63249725,44.875
0,random,0.0,0.905,0.5,0.47,0.05032505,0.045,0.029194003,0.84012854,0.9,0.120461695,0.035611335,0.2310204,0.76897955,0.49313968,0.22895409,0.5061665,44.875
0,random_rescue_10,9.085,0.905,0.5,0.47,0.15682222,0.115,0.05284717,0.81647545,0.86,0.013964521,0.011958164,0.23454082,0.76545924,0.47542512,0.22895409,0.52103037,44.875
0,random_rescue_20,14.97,0.905,0.5,0.47,0.12845613,0.09,0.053921904,0.8154007,0.845,0.04233061,0.01088343,0.23852041,0.76147956,0.46436918,0.22895409,0.5303944,44.875
0,random_rescue_5,4.84,0.905,0.5,0.47,0.14765523,0.11,0.061609477,0.8077131,0.845,0.0231315,0.0031958567,0.23295918,0.7670408,0.476541,0.22895409,0.51988846,44.875
0,student,0.0,0.905,0.5,0.47,0.17078674,0.11,0.06480534,0.80451727,0.845,0.0,0.0,0.2340306,0.7659694,0.47388175,0.22895409,0.5221421,44.875
5,foreground_rescue_10,8.91,0.905,0.57,0.355,0.09120388,0.07,0.029935695,0.8393869,0.885,0.02893316,0.03588492,0.32188773,0.67811227,0.23652048,0.22895409,0.7163332,44.875
5,foreground_rescue_20,14.885,0.905,0.57,0.355,0.050622992,0.03,-0.004219311,0.8735419,0.915,0.06951405,0.07003993,0.38285714,0.61714286,0.111212365,0.22895409,0.8225376,44.875
5,foreground_rescue_5,4.81,0.905,0.57,0.355,0.099181,0.07,0.031651042,0.8376715,0.895,0.020956049,0.03416957,0.28005102,0.71994895,0.3429243,0.22895409,0.6285799,44.875
5,random,0.0,0.905,0.57,0.355,0.05032505,0.045,0.029194003,0.84012854,0.9,0.069811985,0.03662661,0.2310204,0.76897955,0.49313968,0.22895409,0.5061665,44.875
5,random_rescue_10,8.91,0.905,0.57,0.355,0.111800045,0.08,0.060327563,0.80899507,0.845,0.008336995,0.0054930476,0.23290817,0.7670918,0.4768122,0.22895409,0.5217253,44.875
