epoch,group,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,0,-0.006957120262429988,,0.503061224489796,0.23714286,0.76285714,0.41530696,0.20510204,0.57023793,40.2
0,1,0.030674843621897718,,0.5336734693877552,0.20755102,0.79244894,0.47649556,0.20418367,0.52733076,40.02
0,2,-0.03962293038173379,,0.4822448979591837,0.24306121,0.75693876,0.5192196,0.25816327,0.48015362,50.6
0,3,0.023715323909079537,,0.5238775510204081,0.24836735,0.7516327,0.484505,0.24836735,0.5108462,48.68
1,0,0.3122897808231877,0.5143125217219225,0.6310204081632653,0.22938776,0.77061224,0.43880707,0.20510204,0.5565175,40.2
1,1,0.19986389554481337,0.47378871564015157,0.5822448979591837,0.20938776,0.7906123,0.4542356,0.20418367,0.54209834,40.02
1,2,0.3121047422483246,0.4390492041802198,0.6348979591836735,0.21244898,0.78755105,0.5786929,0.25816327,0.4275647,50.6
1,3,0.18792235570250168,0.3764248749486267,0.5608163265306122,0.23877552,0.7612245,0.5146841,0.24836735,0.48566994,48.68
2,0,0.5021381953796747,0.7527103800701376,0.6975510204081633,0.22653061,0.7734694,0.4439678,0.20510204,0.5549622,40.2
2,1,0.08126707520181052,0.7164537964784148,0.5328571428571428,0.19244897,0.807551,0.5007487,0.20418367,0.49643853,40.02
2,2,0.41616272583415254,0.6772937127135262,0.6644897959183673,0.24346939,0.7565306,0.5158271,0.25816327,0.48312014,50.6
2,3,-0.010888330120147182,0.682674145204157,0.4763265306122449,0.2412245,0.7587755,0.5137829,0.24836735,0.48621187,48.68
3,0,0.4874453697136801,0.9320573436715569,0.687142857142857,0.23183674,0.7681633,0.42801735,0.20510204,0.5669218,40.2
3,1,-0.021190606347966757,0.8742836742662703,0.506938775510204,0.20653062,0.79346937,0.46918678,0.20418367,0.5303267,40.02
3,2,0.3932575763612747,0.922035596419973,0.6536734693877552,0.25632653,0.7436735,0.48324516,0.25816327,0.51444054,50.6
3,3,-0.10778595733490585,0.8658894629733627,0.4604081632653061,0.27285716,0.7271429,0.45015603,0.24836735,0.54662114,48.68
4,0,0.47054211922957395,0.9037224936050171,0.6795918367346938,0.24612245,0.7538776,0.397637,0.20510204,0.5958569,40.2
4,1,0.031334666783542776,0.7994902501414467,0.5187755102040816,0.19897959,0.80102044,0.48035565,0.20418367,0.51132685,40.02
4,2,0.3871707958466479,0.9030191969017204,0.6504081632653061,0.2879592,0.7120408,0.42275956,0.25816327,0.5705994,50.6
4,3,-0.11644357672784068,0.8391521169186145,0.45755102040816326,0.25836736,0.7416327,0.47361684,0.24836735,0.53160137,48.68
5,0,0.43302437663858984,0.9499015212488744,0.6622448979591837,0.24,0.76,0.41592422,0.20510204,0.57874495,40.2
5,1,0.1074653874044737,0.7396052562375985,0.5442857142857143,0.24755102,0.752449,0.3775349,0.20418367,0.6163844,40.02
5,2,0.4289489277944681,0.920267178796548,0.6626530612244897,0.2777551,0.72224486,0.4434169,0.25816327,0.54867744,50.6
5,3,0.09693627329885487,0.694386886500012,0.5569387755102041,0.28367347,0.71632653,0.4168633,0.24836735,0.5894627,48.68
6,0,0.330384687104049,0.8326547506155919,0.6185714285714287,0.20734693,0.792653,0.49984494,0.20510204,0.50387824,40.2
6,1,0.17756405740742218,0.6599546414426762,0.5759183673469388,0.29142857,0.7085714,0.27130696,0.20418367,0.71212685,40.02
6,2,0.38739510235956937,0.7518244945772139,0.6514285714285714,0.22612245,0.77387756,0.5555814,0.25816327,0.44904357,50.6
6,3,0.2717680752894676,0.6446919490951398,0.6359183673469387,0.29693878,0.7030612,0.4084383,0.24836735,0.59318876,48.68
7,0,0.4583866952481891,0.7800100407207006,0.6628571428571429,0.21510205,0.784898,0.47660974,0.20510204,0.5265014,40.2
7,1,0.17383184183474248,0.5094067209078087,0.5640816326530612,0.25387755,0.7461224,0.35168934,0.20418367,0.63841397,40.02
7,2,0.43517369649929477,0.6671776490369673,0.66,0.25040817,0.7495918,0.49086848,0.25816327,0.51039284,50.6
7,3,0.17497055518810412,0.4923443170317717,0.5653061224489796,0.27612245,0.72387755,0.4401766,0.24836735,0.55971193,48.68
8,0,0.4028073217572855,0.9607093848863246,0.6408163265306122,0.21,0.79,0.4937543,0.20510204,0.51130325,40.2
8,1,0.2767716692299723,0.8213867669676226,0.6079591836734693,0.28387755,0.71612245,0.27652737,0.20418367,0.7079765,40.02
8,2,0.42852460375012946,0.9381038656774697,0.659795918367347,0.2334694,0.76653063,0.5299463,0.25816327,0.47426376,50.6
8,3,0.30925203005841145,0.8326425104989282,0.6428571428571429,0.2879592,0.7120408,0.40298054,0.24836735,0.5956303,48.68
9,0,0.316155392106081,0.9103101626437378,0.6079591836734693,0.19489795,0.805102,0.5252416,0.20510204,0.47984016,40.2
9,1,0.3023936121891162,0.8141723975806644,0.6185714285714285,0.29306123,0.7069388,0.2679913,0.20418367,0.71574205,40.02
9,2,0.3937913601989019,0.8646259990915539,0.640204081632653,0.20632653,0.79367346,0.58436173,0.25816327,0.42195237,50.6
9,3,0.37848518993696656,0.8217627361760792,0.6673469387755102,0.2822449,0.71775514,0.4252427,0.24836735,0.5754109,48.68
10,0,0.4652458143741683,0.8329796874626462,0.666734693877551,0.19693878,0.80306125,0.52284014,0.20510204,0.4868762,40.2
10,1,0.3372267210671852,0.7763112942170229,0.6185714285714285,0.29040816,0.7095918,0.25190973,0.20418367,0.73122185,40.02
10,2,0.5015790388002136,0.8097228282957072,0.687142857142857,0.20632653,0.79367346,0.575322,0.25816327,0.43641463,50.6
10,3,0.43133377427503605,0.7843223549474456,0.6830612244897959,0.28591835,0.71408165,0.4231253,0.24836735,0.5777683,48.68
11,0,0.3064342850767796,0.8043257656049535,0.596530612244898,0.18591838,0.81408167,0.5524876,0.20510204,0.460013,40.2
11,1,0.22228144299500355,0.7927917506713736,0.5783673469387756,0.30510205,0.6948979,0.23839058,0.20418367,0.74607056,40.02
11,2,0.34188771924232403,0.7810645076460885,0.6097959183673469,0.2112245,0.7887755,0.5815613,0.25816327,0.4256208,50.6
11,3,0.342697160707313,0.8092395668146212,0.6516326530612245,0.29,0.71,0.41483757,0.24836735,0.58129144,48.68
12,0,0.4058693909426324,0.873513184422539,0.6412244897959184,0.20367348,0.7963265,0.5154113,0.20510204,0.4963397,40.2
12,1,0.34859214751890605,0.8164944815880277,0.6232653061224489,0.28612244,0.71387756,0.2720335,0.20418367,0.7160168,40.02
12,2,0.4293332164572194,0.8436379284240053,0.6504081632653061,0.22265306,0.77734697,0.55117065,0.25816327,0.453178,50.6
12,3,0.43937951533600555,0.7690957773191276,0.6775510204081633,0.28959182,0.71040815,0.41581777,0.24836735,0.58549875,48.68
13,0,0.5817978308855757,0.7375794213038592,0.7071428571428571,0.1979592,0.8020408,0.527022,0.20510204,0.48427597,40.2
13,1,0.3575316083481421,0.6922720557180311,0.6248979591836735,0.2612245,0.7387755,0.31632373,0.20418367,0.6659797,40.02
13,2,0.5515495063312322,0.721844942584609,0.7081632653061224,0.20938776,0.7906123,0.5759378,0.25816327,0.43501282,50.6
