epoch,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,0.0019525292217033674,,0.5107142857142857,0.2340306,0.7659694,0.47388175,0.22895409,0.5221421,44.875
1,0.25304519357970684,0.4508938291227302,0.6022448979591837,0.2225,0.7775,0.49660492,0.22895409,0.5029626,44.875
2,0.24716991657387266,0.7072830086165588,0.5928061224489796,0.22591837,0.77408165,0.49358165,0.22895409,0.50518316,44.875
3,0.18793159559802053,0.8985665193327906,0.5770408163265306,0.24188776,0.75811225,0.45765132,0.22895409,0.53957754,44.875
4,0.193151001282981,0.8613460143916997,0.5765816326530612,0.24785715,0.75214285,0.44359225,0.22895409,0.5523461,44.875
5,0.2665937412840966,0.8260402106957582,0.606530612244898,0.26224488,0.7377551,0.41343483,0.22895409,0.5833174,44.875
6,0.291777980540127,0.7222814589326555,0.6204591836734693,0.2554592,0.7445408,0.4337929,0.22895409,0.56455934,44.875
7,0.3105906971925826,0.6122346819243121,0.6130612244897959,0.24887754,0.7511224,0.43983606,0.22895409,0.55875504,44.875
8,0.3543389061989497,0.8882106320075863,0.6378571428571429,0.25382653,0.7461735,0.42580214,0.22895409,0.57229346,44.875
9,0.3477063886077664,0.8527178238730088,0.6335204081632653,0.24413265,0.7558673,0.45070934,0.22895409,0.54823637,44.875
10,0.43384633712915077,0.8008340412307056,0.6638775510204081,0.24489796,0.755102,0.4432993,0.22895409,0.55807024,44.875
11,0.30332515200535504,0.7968553976842592,0.6090816326530613,0.24806122,0.75193876,0.44681928,0.22895409,0.55324894,44.875
12,0.4057935675636909,0.8256853429384249,0.6481122448979592,0.2505102,0.74948984,0.43860832,0.22895409,0.5627583,44.875
13,0.4648388590514862,0.7020099695045857,0.6716836734693878,0.23066325,0.7693367,0.47493944,0.22895409,0.52618086,44.875
14,0.48044580799910747,0.7945542284743599,0.6791326530612245,0.2352551,0.7647449,0.47145966,0.22895409,0.5310454,44.875
15,0.4870737355465419,0.7860546581772107,0.6806122448979592,0.25010204,0.749898,0.43868062,0.22895409,0.56123465,44.875
16,0.4587391086071289,0.8585878762281953,0.6649489795918367,0.26224488,0.7377551,0.4103208,0.22895409,0.585646,44.875
17,0.3890653364039876,0.8575397604570918,0.6358673469387756,0.26607144,0.7339286,0.40438348,0.22895409,0.5923189,44.875
18,0.5019980635752934,0.6337416745690857,0.6862755102040816,0.24755102,0.752449,0.43888557,0.22895409,0.5589233,44.875
19,0.5238341931283531,0.8861229448233583,0.692857142857143,0.25204083,0.7479592,0.43203965,0.22895409,0.5672831,44.875
20,0.5827256094159647,0.7990925795581942,0.7161734693877552,0.22892857,0.7710714,0.48658493,0.22895409,0.515466,44.875
21,0.5382828870357894,0.8409876102576649,0.6913775510204081,0.2554592,0.7445408,0.42776012,0.22895409,0.570193,44.875
22,0.5389072109906048,0.797541981632009,0.688265306122449,0.24255103,0.757449,0.45045352,0.22895409,0.5492632,44.875
23,0.5731043208771085,0.8372950510101823,0.7034183673469387,0.22030613,0.7796939,0.5032964,0.22895409,0.49942592,44.875
24,0.5742035238148364,0.7982735434705489,0.7099489795918368,0.24280614,0.7571939,0.45259845,0.22895409,0.54752445,44.875
25,0.5790620463657541,0.8442735235205161,0.7153061224489795,0.23163265,0.7683673,0.48010215,0.22895409,0.52003485,44.875
26,0.621912430571604,0.8406609278541322,0.732704081632653,0.23474489,0.76525515,0.4705301,0.22895409,0.52803034,44.875
27,0.6095217827857422,0.8499271649307907,0.7236734693877551,0.25280613,0.74719393,0.43023434,0.22895409,0.56664395,44.875
28,0.6024084182677366,0.8364967606722502,0.7143367346938776,0.24183674,0.7581633,0.45172948,0.22895409,0.5479114,44.875
29,0.5708040226633411,0.8169795838679087,0.7034183673469387,0.23096938,0.76903063,0.47106135,0.22895409,0.52712244,44.875
30,0.5705014463419105,0.6838187809290058,0.710204081632653,0.2317347,0.7682653,0.48064882,0.22895409,0.5211199,44.875
31,0.5912107218963368,0.8466925980299511,0.7107653061224489,0.23678571,0.7632143,0.47798768,0.22895409,0.5244426,44.875
32,0.5717132099227821,0.8462953283332123,0.7116836734693878,0.2317347,0.7682653,0.48363742,0.22895409,0.5172542,44.875
33,0.5933483731641818,0.869149805959088,0.7216836734693878,0.24341837,0.75658166,0.45441964,0.22895409,0.5455396,44.875
34,0.6483961158118214,0.7913880674829465,0.7461224489795919,0.2555102,0.74448985,0.42829335,0.22895409,0.56886953,44.875
35,0.6261522125445258,0.8476979591341999,0.7266836734693878,0.24188776,0.75811225,0.45212463,0.22895409,0.54594284,44.875
36,0.6509660846767445,0.8202114846719633,0.7407142857142857,0.23857144,0.7614286,0.46455503,0.22895409,0.5347601,44.875
37,0.6490020639259219,0.7685075743690681,0.744642857142857,0.23438776,0.76561224,0.46516243,0.22895409,0.5355603,44.875
38,0.6787197658444498,0.8419948936821727,0.7613265306122449,0.23928572,0.7607143,0.46180886,0.22895409,0.53779995,44.875
39,0.6758782283706141,0.8428946539774826,0.765204081632653,0.23959185,0.76040816,0.45961478,0.22895409,0.5414165,44.875
40,0.6678541704850625,0.8453702874355521,0.7525,0.24607143,0.7539286,0.44564602,0.22895409,0.55279696,44.875
41,0.6920933880778367,0.8733139655742624,0.7670408163265305,0.24479592,0.7552041,0.45276985,0.22895409,0.5459616,44.875
42,0.6771438880796531,0.8499803017387059,0.7538265306122449,0.25494897,0.745051,0.4285743,0.22895409,0.56910115,44.875
43,0.7127738606571095,0.8364026759594058,0.770357142857143,0.24367347,0.7563265,0.44716927,0.22895409,0.5521122,44.875
44,0.6738415956777088,0.8261597988668329,0.7579591836734694,0.24765307,0.75234693,0.44396904,0.22895409,0.55333763,44.875
45,0.7223494011427296,0.839380965662329,0.7728571428571429,0.25178573,0.74821424,0.431895,0.22895409,0.56298906,44.875
46,0.7015236293912624,0.8408815174288345,0.7663265306122449,0.24897958,0.75102043,0.440283,0.22895409,0.5551794,44.875
47,0.7480766441680147,0.8696215982524756,0.7810204081632653,0.23387754,0.76612246,0.47105086,0.22895409,0.52844054,44.875
48,0.7274730295085625,0.8281561969575023,0.7778571428571429,0.24505103,0.754949,0.44774306,0.22895409,0.5502057,44.875
49,0.7542376383587406,0.9113898110591367,0.7874489795918368,0.235,0.765,0.46855763,0.22895409,0.5299169,44.875
50,0.761746035263136,0.9010145649320047,0.7904081632653062,0.23755102,0.76244897,0.46435094,0.22895409,0.5337773,44.875
51,0.7763137565842425,0.8547359667141466,0.8007653061224489,0.22469386,0.7753061,0.49281356,0.22895409,0.50781834,44.875
52,0.770639490313892,0.9075743371929014,0.8001020408163265,0.23734693,0.76265305,0.4664334,0.22895409,0.5330384,44.875
53,0.7441334220529289,0.8737390448565213,0.7810714285714286,0.22979592,0.77020407,0.4832956,0.22895409,0.51653695,44.875
54,0.8045296719234355,0.8486656519694954,0.819795918367347,0.23647958,0.7635204,0.46477836,0.22895409,0.53429466,44.875
55,0.8051241304018678,0.9051832829969161,0.8159693877551021,0.2337245,0.76627547,0.4771137,0.22895409,0.52367353,44.875
56,0.7399365456118427,0.8742753527444329,0.7779591836734694,0.22607143,0.7739286,0.49271333,0.22895409,0.507983,44.875
57,0.7742258980775512,0.862928140855925,0.7943367346938776,0.24438776,0.75561225,0.45001084,0.22895409,0.54727656,44.875
58,0.7499515336005547,0.9024765536409142,0.7954591836734695,0.24719387,0.75280607,0.4463795,0.22895409,0.55326235,44.875
59,0.7744525666425167,0.9139863035275259,0.8086734693877551,0.24096939,0.7590306,0.4584748,0.22895409,0.5424227,44.875
60,0.8332042967909539,0.8640046832636824,0.8354591836734694,0.24045917,0.7595408,0.46059313,0.22895409,0.5395004,44.875
61,0.8313208488393405,0.9290691853469228,0.8298979591836735,0.24229592,0.7577041,0.45602039,0.22895409,0.5425428,44.875
62,0.8554916685924663,0.9402380527376901,0.8443367346938776,0.23459184,0.76540816,0.47072044,0.22895409,0.5294874,44.875
63,0.8517210910916495,0.8488921419407279,0.8412755102040816,0.22989796,0.770102,0.48509255,0.22895409,0.51506186,44.875
64,0.8569082708444564,0.9046266206599782,0.8415816326530613,0.24056122,0.75943875,0.46078944,0.22895409,0.53754985,44.875
65,0.8649777749444175,0.9385084987528788,0.8526530612244898,0.24418367,0.75581634,0.45425588,0.22895409,0.5462353,44.875
66,0.870107029301373,0.937994915889042,0.8589795918367347,0.2355102,0.7644898,0.47017583,0.22895409,0.53137916,44.875
67,0.8598827227884516,0.9182312393915005,0.8495918367346939,0.23260204,0.76739794,0.47427663,0.22895409,0.5245319,44.875
68,0.8408211734494182,0.9336953338193574,0.8386224489795918,0.22168368,0.7783163,0.4991064,0.22895409,0.5025782,44.875
69,0.8968051542366262,0.8903131887173152,0.88,0.2267347,0.7732653,0.48869666,0.22895409,0.5130858,44.875
70,0.903940962707415,0.9430738111488571,0.8839795918367347,0.23408163,0.7659184,0.47232124,0.22895409,0.52861255,44.875
71,0.9283946101934804,0.955225726758264,0.9038265306122448,0.2325,0.7675,0.47415546,0.22895409,0.52662784,44.875
72,0.9188201117229399,0.9623626831168771,0.8964285714285714,0.23178571,0.7682143,0.47882694,0.22895409,0.5239732,44.875
73,0.9343868147805785,0.9392301078182151,0.9051020408163265,0.22153062,0.7784694,0.49960765,0.22895409,0.50316244,44.875
74,0.9143383781286114,0.9266316469443868,0.890357142857143,0.2297449,0.77025515,0.484778,0.22895409,0.5182474,44.875
75,0.9409369904931907,0.9639372832888458,0.9095408163265306,0.22540817,0.7745918,0.4945408,0.22895409,0.5076429,44.875
76,0.9224210826379188,0.9542177540949637,0.8971428571428571,0.22459185,0.77540815,0.49825138,0.22895409,0.50525427,44.875
77,0.9563996366215366,0.9415820410146225,0.927295918367347,0.22806121,0.7719388,0.48633796,0.22895409,0.5159156,44.875
78,0.9582953645339433,0.9714600721975631,0.9306122448979592,0.22857143,0.7714286,0.48562828,0.22895409,0.5165531,44.875
79,0.9723349536612771,0.9772232147837658,0.9424489795918367,0.22760205,0.772398,0.48827848,0.22895409,0.5139129,44.875
80,0.962064919997378,0.9690833678500748,0.9338265306122449,0.22668368,0.7733163,0.48532388,0.22895409,0.51535684,44.875
81,0.962228107642901,0.9666162710826818,0.9327551020408162,0.22841837,0.77158165,0.48421875,0.22895409,0.5160176,44.875
82,0.9567009996411505,0.9687167420734152,0.9282142857142857,0.2325,0.7675,0.47453594,0.22895409,0.5266659,44.875
83,0.9681792109268541,0.9807733207368963,0.938265306122449,0.2352551,0.7647449,0.47276908,0.22895409,0.52776164,44.875
84,0.9838049470471515,0.9815884021707082,0.9565816326530612,0.2282653,0.7717347,0.48603332,0.22895409,0.5162135,44.875
85,0.9834876443353601,0.9860496059415566,0.9551020408163265,0.23,0.77,0.482513,0.22895409,0.5192148,44.875
86,0.9859567213062499,0.9796735490760146,0.959234693877551,0.22540817,0.7745918,0.48950493,0.22895409,0.510903,44.875
