sample_id,group,epoch,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
54,3,0,0.13473372168078476,,0.5204081632653061,0.1122449,0.8877551,0.60714287,0.14285715,0.41233712,28
76,3,0,0.3537059025093833,,0.6428571428571429,0.63265306,0.36734694,0.45614034,0.5816327,0.5375758,114
83,2,0,0.5517025396648312,,0.7040816326530612,0.13265306,0.86734694,0.6285714,0.17857143,0.39835647,35
136,2,0,-0.17228282957071936,,0.4897959183673469,0.08163265,0.9183673,0.27272725,0.05612245,0.69555944,11
151,2,0,-0.29871622213899224,,0.37755102040816324,0.05102041,0.9489796,0.6875,0.08163265,0.3357509,16
157,3,0,-0.3723682443753311,,0.24489795918367346,0.030612245,0.96938777,0.9375,0.24489796,0.08294889,48
171,3,0,-0.22377897664337112,,0.40816326530612246,0.040816326,0.9591837,0.6923077,0.06632653,0.28393292,13
249,3,0,0.32804787670632485,,0.6122448979591837,0.4489796,0.5510204,0.4883721,0.4387755,0.52141535,86
253,3,0,0.042944003060029164,,0.5306122448979592,0.2857143,0.71428573,0.6781609,0.44387755,0.3279503,87
317,3,0,0.3695989289897919,,0.6632653061224489,0.7244898,0.2755102,0.43199998,0.6377551,0.5666318,125
344,2,0,0.17431009889313007,,0.5612244897959183,0.2244898,0.7755102,0.5849056,0.27040815,0.4229056,53
346,3,0,0.01353744152873957,,0.5102040816326531,0.3265306,0.6734694,0.44827586,0.29591838,0.54384845,58
376,2,0,0.5946306050729546,,0.7551020408163265,0.3265306,0.6734694,0.5294118,0.3469388,0.4690493,68
413,2,0,-0.3843109754639849,,0.35714285714285715,0.2857143,0.71428573,0.46153843,0.26530612,0.5472334,52
484,1,0,0.5115014064977806,,0.7857142857142857,0.36734694,0.63265306,0.26530612,0.25,0.71811134,49
529,0,0,-0.47189634151200505,,0.336734693877551,0.29591838,0.70408165,0.3695652,0.23469388,0.5860128,46
576,0,0,-0.2666098223748695,,0.3673469387755102,0.15306123,0.8469388,0.7692308,0.33163264,0.25498256,65
613,0,0,0.17726015826088343,,0.5816326530612245,0.3877551,0.6122449,0.5189873,0.4030612,0.4650659,79
887,1,0,-0.06077823554255751,,0.41836734693877553,0.06122449,0.93877554,0.25,0.040816326,0.71000516,8
921,0,0,-0.08461458773278933,,0.5204081632653061,0.1632653,0.8367347,0.75,0.3265306,0.24209516,64
1092,1,0,-0.3546557865629657,,0.30612244897959184,0.06122449,0.93877554,0.84615386,0.19897959,0.1730101,39
