epoch,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,0.06977661381645378,,0.49714285714285716,0.1912245,0.8087755,0.5977776,0.2299745,0.405626,45.075
1,-0.03643743957316363,0.6580221502891764,0.4626020408163265,0.20668368,0.79331636,0.54245764,0.2299745,0.4538209,45.075
2,0.05360605815252843,0.8343156371766688,0.5094387755102041,0.22030613,0.7796939,0.4965889,0.2299745,0.4969808,45.075
3,0.12599925093036043,0.9245926252187222,0.5323979591836735,0.22897959,0.7710204,0.47890693,0.2299745,0.51453954,45.075
4,0.3550148399441062,0.8036820522692721,0.6211734693877551,0.24306121,0.75693876,0.45615697,0.2299745,0.53760564,45.075
5,0.4656177832319964,0.8884985187274889,0.6720408163265306,0.25816327,0.7418367,0.42212796,0.2299745,0.57124186,45.075
6,0.5285999808748177,0.8742501175401829,0.7003061224489795,0.2640306,0.73596936,0.41152057,0.2299745,0.5807095,45.075
7,0.5217573094056053,0.8148717736215922,0.6990816326530613,0.27163264,0.7283673,0.38683254,0.2299745,0.60230535,45.075
8,0.20155626473420937,0.6758920568684306,0.5577551020408164,0.24586734,0.7541326,0.43549964,0.2299745,0.5574051,45.075
9,0.41206840440197945,0.8300225713420504,0.6466326530612245,0.26102042,0.7389796,0.40189943,0.2299745,0.59002197,45.075
10,0.5225022750998095,0.865149989242085,0.701734693877551,0.2687245,0.7312755,0.38784793,0.2299745,0.6010976,45.075
11,0.3624179011706205,0.8192607798293078,0.6289795918367347,0.26617348,0.7338265,0.39355052,0.2299745,0.59665847,45.075
12,0.47523304831499175,0.8751322984484696,0.6880612244897959,0.26244897,0.73755103,0.4038785,0.2299745,0.5875448,45.075
13,0.28585426611097386,0.7669674314083307,0.5905102040816327,0.23433673,0.7656633,0.46444058,0.2299745,0.5308649,45.075
14,0.4642517591183291,0.7645256954792851,0.6742346938775511,0.26540816,0.73459184,0.3995042,0.2299745,0.59483945,45.075
15,0.5654672999227024,0.8894461267521456,0.7226020408163265,0.25994897,0.74005103,0.405814,0.2299745,0.5862953,45.075
16,0.60059013140594,0.9239542350325526,0.733265306122449,0.26137754,0.7386224,0.4076232,0.2299745,0.5865701,45.075
17,0.5449103507080302,0.9055286917578433,0.7128061224489796,0.26295918,0.73704076,0.40342376,0.2299745,0.5892371,45.075
18,0.583254835085147,0.8902453362446111,0.7262755102040817,0.2502041,0.7497959,0.4323762,0.2299745,0.5632965,45.075
19,0.6286794699136976,0.869005928806509,0.7456632653061225,0.2561735,0.7438265,0.42120078,0.2299745,0.5746734,45.075
20,0.652698310306397,0.9374317941752799,0.7568877551020408,0.25489795,0.745102,0.423501,0.2299745,0.5732624,45.075
21,0.6147381204727107,0.8842363062946517,0.7439285714285714,0.25387755,0.7461224,0.43098983,0.2299745,0.5644247,45.075
