sample_id,group,epoch,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
54,3,0,0.0892556319677422,,0.4489795918367347,0.1122449,0.8877551,0.60714287,0.14285715,0.41233712,28
76,3,0,0.4791734733721681,,0.6938775510204082,0.63265306,0.36734694,0.45614034,0.5816327,0.5375758,114
83,2,0,0.5872546597709759,,0.7244897959183674,0.13265306,0.86734694,0.6285714,0.17857143,0.39835647,35
136,2,0,-0.12269760696156636,,0.45918367346938777,0.08163265,0.9183673,0.27272725,0.05612245,0.69555944,11
151,2,0,-0.06239271968060946,,0.4489795918367347,0.05102041,0.9489796,0.6875,0.08163265,0.3357509,16
157,3,0,-0.4554616163415547,,0.21428571428571427,0.030612245,0.96938777,0.9375,0.24489796,0.08294889,48
171,3,0,-0.33066483914924816,,0.336734693877551,0.040816326,0.9591837,0.6923077,0.06632653,0.28393292,13
249,3,0,0.5112145287634773,,0.7244897959183674,0.4489796,0.5510204,0.4883721,0.4387755,0.52141535,86
253,3,0,-0.2840440197945637,,0.3469387755102041,0.2857143,0.71428573,0.6781609,0.44387755,0.3279503,87
317,3,0,0.41073400855851905,,0.6632653061224489,0.7244898,0.2755102,0.43199998,0.6377551,0.5666318,125
344,2,0,0.4901433591788922,,0.6632653061224489,0.2244898,0.7755102,0.5849056,0.27040815,0.4229056,53
346,3,0,0.49424571077943086,,0.6428571428571429,0.3265306,0.6734694,0.44827586,0.29591838,0.54384845,58
376,2,0,0.7463682075719784,,0.8469387755102041,0.3265306,0.6734694,0.5294118,0.3469388,0.4690493,68
413,2,0,-0.1254101953159241,,0.3979591836734694,0.2857143,0.71428573,0.46153843,0.26530612,0.5472334,52
484,1,0,0.5370654001545953,,0.7857142857142857,0.36734694,0.63265306,0.26530612,0.25,0.71811134,49
529,0,0,-0.08993776346930807,,0.4387755102040816,0.29591838,0.70408165,0.3695652,0.23469388,0.5860128,46
576,0,0,0.21608268453808702,,0.5612244897959183,0.15306123,0.8469388,0.7692308,0.33163264,0.25498256,65
613,0,0,0.24212162022169273,,0.6122448979591837,0.3877551,0.6122449,0.5189873,0.4030612,0.4650659,79
887,1,0,0.2379778307261991,,0.5204081632653061,0.06122449,0.93877554,0.25,0.040816326,0.71000516,8
921,0,0,0.03250005976619465,,0.45918367346938777,0.1632653,0.8367347,0.75,0.3265306,0.24209516,64
1092,1,0,-0.5367562097076237,,0.21428571428571427,0.06122449,0.93877554,0.84615386,0.19897959,0.1730101,39
1111,0,0,0.2674259367060021,,0.6122448979591837,0.030612245,0.96938777,0.7692308,0.06632653,0.3065414,13
1150,2,0,0.6831706364701289,,0.8061224489795918,0.10204082,0.8979592,0.76744187,0.21938775,0.2678513,43
1247,3,0,0.5571165600172127,,0.7244897959183674,0.4489796,0.5510204,0.443038,0.4030612,0.5794789,79
1259,2,0,0.43012853716261984,,0.6326530612244898,0.030612245,0.96938777,0.5,0.030612245,0.39091572,6
1262,2,0,0.4248308616691503,,0.6530612244897959,0.39795917,0.6020408,0.26415092,0.27040815,0.75081,53
1275,2,0,0.4657826582409614,,0.6224489795918368,0.14285715,0.85714287,0.7307692,0.26530612,0.27886122,52
1335,3,0,-0.3542621265608938,,0.30612244897959184,0.040816326,0.9591837,0.84615386,0.13265306,0.22118264,26
1400,2,0,-0.4894787590944226,,0.2755102040816326,0.52040815,0.47959185,0.28169012,0.3622449,0.68977034,71
1513,1,0,0.5172054921148467,,0.6938775510204082,0.35714287,0.64285713,0.3,0.25510204,0.6849734,50
1731,0,0,-0.23569077767772473,,0.3877551020408163,0.14285715,0.85714287,0.6956522,0.23469388,0.28195125,46
1753,0,0,0.4575907051614086,,0.6836734693877551,0.1122449,0.8877551,0.45,0.10204082,0.49713248,20
1885,0,0,0.3652431687239519,,0.5816326530612245,0.19387755,0.8061224,0.6935484,0.31632653,0.31982496,62
2274,1,0,-0.2621424985456893,,0.3163265306122449,0.1734694,0.8265306,0.39285713,0.14285715,0.6346995,28
2345,0,0,-0.005477770960004463,,0.4489795918367347,0.08163265,0.9183673,0.5294118,0.0867347,0.4210904,17
2445,1,0,-0.3230498290686833,,0.35714285714285715,0.19387755,0.8061224,0.36666667,0.15306123,0.595555,30
2541,2,0,0.19818629521312625,,0.6122448979591837,0.020408163,0.97959185,0.85714287,0.071428575,0.14548993,14
2816,0,0,0.5638741244252484,,0.7448979591836735,0.1632653,0.8367347,0.61904764,0.21428572,0.40160987,42
2841,2,0,-0.11841994119006446,,0.4387755102040816,0.13265306,0.86734694,0.40909094,0.1122449,0.58653873,22
2858,3,0,0.054482863039788346,,0.47959183673469385,0.26530612,0.7346939,0.48000002,0.25510204,0.47500718,50
2875,2,0,0.4310608897991059,,0.6224489795918368,0.091836736,0.90816325,0.7,0.15306123,0.30469579,30
2946,2,0,0.29852178278574215,,0.6122448979591837,0.040816326,0.9591837,0.8666667,0.15306123,0.20486347,30
2972,3,0,0.08291085274406522,,0.5,0.14285715,0.85714287,0.51724136,0.14795919,0.47660682,29
2995,2,0,0.5437863079632478,,0.7142857142857143,0.040816326,0.9591837,0.8666667,0.15306123,0.19845293,30
2999,3,0,0.13285786005147862,,0.5306122448979592,0.10204082,0.8979592,0.5454545,0.1122449,0.4727642,22
3013,3,0,0.4857891926782427,,0.6938775510204082,0.1734694,0.8265306,0.4516129,0.15816326,0.5334004,31
3016,3,0,-0.2814939954896445,,0.37755102040816324,0.33673468,0.66326535,0.45901638,0.3112245,0.5647278,61
3040,2,0,0.5783949190765725,,0.7346938775510204,0.15306123,0.8469388,0.11764705,0.0867347,0.7631495,17
3068,3,0,-0.33958195539051234,,0.29591836734693877,0.091836736,0.90816325,0.7804878,0.20918368,0.2622661,41
3085,1,0,0.015580648503056045,,0.5714285714285714,0.071428575,0.9285714,0.8,0.17857143,0.18803106,35
3105,1,0,0.5056777884914215,,0.7653061224489796,0.13265306,0.86734694,0.68292683,0.20918368,0.33623862,41
3163,0,0,0.5119157854473301,,0.7346938775510204,0.2244898,0.7755102,0.5849056,0.27040815,0.45039037,53
3323,3,0,-0.42221868052179873,,0.21428571428571427,0.040816326,0.9591837,0.902439,0.20918368,0.14752986,41
3368,2,0,-0.6061869964698101,,0.15306122448979592,0.13265306,0.86734694,0.48000002,0.12755102,0.523615,25
3386,2,0,-0.11950210775446453,,0.3877551020408163,0.41836736,0.5816326,0.34920633,0.32142857,0.65361595,63
3437,2,0,0.33965526858927875,,0.5918367346938775,0.071428575,0.9285714,0.58823526,0.0867347,0.40865803,17
3523,3,0,-0.10058889623791727,,0.32653061224489793,0.091836736,0.90816325,0.75,0.18367347,0.26047128,36
3550,3,0,-0.3241622771717043,,0.3469387755102041,0.1734694,0.8265306,0.46875,0.1632653,0.5271445,32
3588,3,0,0.5292750759030672,,0.7346938775510204,0.18367347,0.8163265,0.71428573,0.32142857,0.27617657,63
3596,2,0,0.2425997497788651,,0.5510204081632653,0.06122449,0.93877554,0.75,0.12244898,0.23300885,24
3675,2,0,0.5671764059001188,,0.6428571428571429,0.29591838,0.70408165,0.29268295,0.20918368,0.6568653,41
3709,3,0,-0.011390639817035756,,0.46938775510204084,0.3877551,0.6122449,0.62745094,0.52040815,0.36659497,102
3720,2,0,0.035343336866179506,,0.4897959183673469,0.2857143,0.71428573,0.09677422,0.15816326,0.86112416,31
3779,3,0,0.025438086206759157,,0.42857142857142855,0.19387755,0.8061224,0.5681818,0.2244898,0.44504946,44
3782,2,0,0.574362693144419,,0.673469387755102,0.26530612,0.7346939,0.6285714,0.35714287,0.40522707,70
3783,2,0,-0.2874259895289627,,0.3469387755102041,0.46938777,0.53061223,0.34285712,0.35714287,0.66115713,70
3789,3,0,-0.03064491708436596,,0.4897959183673469,0.42857143,0.57142854,0.46153843,0.39795917,0.5221923,78
3804,2,0,0.5026034154388034,,0.673469387755102,0.30612245,0.6938776,0.5588235,0.3469388,0.4169611,68
3815,2,0,0.06785774051908933,,0.46938775510204084,0.36734694,0.63265306,0.21739131,0.23469388,0.74055487,46
3817,2,0,-0.23141311190622285,,0.47959183673469385,0.40816328,0.5918367,0.36507934,0.32142857,0.64297223,63
3867,0,0,0.3564949915928886,,0.6224489795918368,0.1122449,0.8877551,0.5769231,0.13265306,0.41593766,26
3918,0,0,-0.09926447736454988,,0.37755102040816324,0.10204082,0.8979592,0.5652174,0.11734694,0.43841627,23
3980,1,0,-0.004996453872450971,,0.40816326530612246,0.20408164,0.79591835,0.6363636,0.28061223,0.36853883,55
4078,2,0,0.6155091743138031,,0.7551020408163265,0.12244898,0.877551,0.39999998,0.10204082,0.6213737,20
4094,3,0,-0.23284679647094284,,0.35714285714285715,0.12244898,0.877551,0.6756757,0.18877551,0.36618286,37
4128,2,0,0.5940871311429687,,0.7755102040816326,0.040816326,0.9591837,0.8095238,0.10714286,0.19522357,21
4158,2,0,0.3915259504817155,,0.6428571428571429,0.622449,0.37755102,0.4245283,0.5408163,0.5674331,106
4192,3,0,-0.4169512865669501,,0.25510204081632654,0.1632653,0.8367347,0.70909095,0.28061223,0.28035653,55
4196,0,0,0.10831228235144116,,0.47959183673469385,0.41836736,0.5816326,0.38805968,0.34183672,0.5951395,67
4228,1,0,-0.16011602610587383,,0.47959183673469385,0.06122449,0.93877554,0.71428573,0.10714286,0.29818425,21
4259,0,0,0.4595366924591,,0.673469387755102,0.020408163,0.97959185,0.8666667,0.07653061,0.111439474,15
