epoch,group,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,0,0.08063977329037193,,0.5144897959183673,0.16551019,0.8344898,0.6017516,0.20173469,0.4015184,39.54
0,1,0.07633915244292948,,0.5018367346938776,0.13510205,0.86489797,0.66246307,0.20591837,0.345035,40.36
0,2,0.1280196523220644,,0.5393877551020408,0.2334694,0.76653063,0.53631836,0.2417347,0.46270633,47.38
0,3,0.06316097807237205,,0.4808163265306123,0.23081632,0.76918364,0.5905775,0.2705102,0.41324434,53.02
1,0,0.10484063270082643,0.6035715327492445,0.5416326530612244,0.19224489,0.8077551,0.5234842,0.20173469,0.47025096,39.54
1,1,-0.007547975539724948,0.6440470260211139,0.48204081632653056,0.1522449,0.84775513,0.6166776,0.20591837,0.38148052,40.36
1,2,0.1757639773047525,0.6662070556353865,0.57,0.257551,0.742449,0.45657176,0.2417347,0.5337713,47.38
1,3,-0.04887127955438325,0.6831258823778957,0.4387755102040816,0.22102042,0.77897954,0.58244234,0.2705102,0.4189014,53.02
2,0,0.3190330157158207,0.7362955819618017,0.6202040816326531,0.20306122,0.7969388,0.47081843,0.20173469,0.52110505,39.54
2,1,0.061486727508385755,0.8803459221093504,0.513469387755102,0.16265306,0.837347,0.5732558,0.20591837,0.42461413,40.36
2,2,0.29814933826362117,0.8279824140236717,0.6234693877551021,0.26183674,0.7381633,0.43945363,0.2417347,0.5529012,47.38
2,3,0.017708211217215972,0.907595828516316,0.4755102040816327,0.2422449,0.7577551,0.5377081,0.2705102,0.46276534,53.02
3,0,0.3377102375507017,0.919817361318072,0.6195918367346939,0.20632653,0.79367346,0.46236828,0.20173469,0.5285866,39.54
3,1,0.20492926073201634,0.8859039986783533,0.5591836734693877,0.18836735,0.81163263,0.51560616,0.20591837,0.47639614,40.36
3,2,0.3313528038314115,0.9200153229580228,0.623061224489796,0.2579592,0.7420408,0.4440143,0.2417347,0.54778194,47.38
3,3,0.16729801018415955,0.8902501768811498,0.5346938775510204,0.26081634,0.73918366,0.5068605,0.2705102,0.4926619,53.02
4,0,0.3295959008359299,0.914246380160811,0.6114285714285714,0.20612246,0.79387754,0.461668,0.20173469,0.5323119,39.54
4,1,0.4165808675851593,0.7547138065836841,0.6322448979591837,0.22142857,0.77857137,0.4512028,0.20591837,0.5377785,40.36
4,2,0.3006489174349943,0.911448429742846,0.6057142857142856,0.2510204,0.74897957,0.46006894,0.2417347,0.53164965,47.38
4,3,0.40389339525975343,0.7698132328594519,0.6420408163265305,0.28408164,0.71591836,0.47124192,0.2705102,0.52683914,53.02
5,0,0.3091081449370064,0.9366605519208855,0.5997959183673469,0.19897959,0.80102044,0.48757848,0.20173469,0.5108517,39.54
5,1,0.4476384194391387,0.8817943366004064,0.6569387755102041,0.2389796,0.7610204,0.4216499,0.20591837,0.57230145,40.36
5,2,0.279346303222864,0.9383142343602557,0.5936734693877551,0.2612245,0.7387755,0.44316745,0.2417347,0.547069,47.38
5,3,0.4435197871639503,0.8738422473768752,0.6634693877551021,0.2967347,0.7032653,0.44450474,0.2705102,0.5544321,53.02
6,0,0.31099685231374863,0.9552973408027795,0.6020408163265306,0.19979592,0.8002041,0.48539585,0.20173469,0.51544195,39.54
6,1,0.5087241274232408,0.8807953300116896,0.6875510204081633,0.27612245,0.72387755,0.33089027,0.20591837,0.65293765,40.36
6,2,0.2821206639625784,0.9411498296724413,0.5924489795918367,0.2465306,0.7534694,0.45639294,0.2417347,0.52813846,47.38
6,3,0.5350386089617417,0.8846490527532572,0.7114285714285714,0.32591835,0.6740816,0.39403778,0.2705102,0.60039335,53.02
7,0,0.42654450987735976,0.8056044115420475,0.6555102040816326,0.21306121,0.7869388,0.43844548,0.20173469,0.5540262,39.54
7,1,0.5038071544119405,0.7746919078342421,0.6818367346938775,0.26632652,0.73367345,0.3300191,0.20591837,0.6549532,40.36
7,2,0.40426201499733044,0.7769557491094836,0.6493877551020408,0.25142857,0.7485714,0.4543687,0.2417347,0.53036624,47.38
7,3,0.5114581871601239,0.7729293794208277,0.6869387755102041,0.30959186,0.6904082,0.41481587,0.2705102,0.58325464,53.02
8,0,0.37806708157687124,0.8704904174867917,0.6267346938775511,0.2144898,0.7855102,0.4514663,0.20173469,0.5441299,39.54
