sample_id,group,epoch,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
54,3,0,0.10666592290957773,,0.40816326530612246,0.1122449,0.8877551,0.60714287,0.14285715,0.41233712,28
76,3,0,0.478304871343305,,0.7040816326530612,0.63265306,0.36734694,0.45614034,0.5816327,0.5375758,114
83,2,0,0.1771310632804469,,0.5816326530612245,0.13265306,0.86734694,0.6285714,0.17857143,0.39835647,35
136,2,0,0.17240236196001243,,0.6122448979591837,0.08163265,0.9183673,0.27272725,0.05612245,0.69555944,11
151,2,0,-0.14856600976978063,,0.41836734693877553,0.05102041,0.9489796,0.6875,0.08163265,0.3357509,16
157,3,0,-0.3979569515881993,,0.20408163265306123,0.030612245,0.96938777,0.9375,0.24489796,0.08294889,48
171,3,0,-0.4269457880770426,,0.24489795918367346,0.040816326,0.9591837,0.6923077,0.06632653,0.28393292,13
249,3,0,0.47713186016304215,,0.6632653061224489,0.4489796,0.5510204,0.4883721,0.4387755,0.52141535,86
253,3,0,-0.10768115133597367,,0.40816326530612246,0.2857143,0.71428573,0.6781609,0.44387755,0.3279503,87
317,3,0,0.34660408482018346,,0.6428571428571429,0.7244898,0.2755102,0.43199998,0.6377551,0.5666318,125
344,2,0,0.2114304839468001,,0.6020408163265306,0.2244898,0.7755102,0.5849056,0.27040815,0.4229056,53
346,3,0,-0.018054172078827625,,0.47959183673469385,0.3265306,0.6734694,0.44827586,0.29591838,0.54384845,58
376,2,0,0.20036337846345098,,0.6020408163265306,0.3265306,0.6734694,0.5294118,0.3469388,0.4690493,68
413,2,0,-0.23317262867661706,,0.3673469387755102,0.2857143,0.71428573,0.46153843,0.26530612,0.5472334,52
484,1,0,0.3175194638573899,,0.5816326530612245,0.36734694,0.63265306,0.26530612,0.25,0.71811134,49
529,0,0,-0.1821434548048036,,0.3979591836734694,0.29591838,0.70408165,0.3695652,0.23469388,0.5860128,46
576,0,0,-0.390797599789623,,0.2857142857142857,0.15306123,0.8469388,0.7692308,0.33163264,0.25498256,65
613,0,0,0.29318585692769883,,0.6224489795918368,0.3877551,0.6122449,0.5189873,0.4030612,0.4650659,79
887,1,0,0.38099594386759,,0.6020408163265306,0.06122449,0.93877554,0.25,0.040816326,0.71000516,8
921,0,0,0.2941373347464718,,0.6224489795918368,0.1632653,0.8367347,0.75,0.3265306,0.24209516,64
1092,1,0,-0.4000302815386209,,0.30612244897959184,0.06122449,0.93877554,0.84615386,0.19897959,0.1730101,39
1111,0,0,0.21550662428845047,,0.5612244897959183,0.030612245,0.96938777,0.7692308,0.06632653,0.3065414,13
1150,2,0,0.42363394401102883,,0.6938775510204082,0.10204082,0.8979592,0.76744187,0.21938775,0.2678513,43
1247,3,0,0.4017547354748225,,0.6428571428571429,0.4489796,0.5510204,0.443038,0.4030612,0.5794789,79
1259,2,0,0.2445648622588434,,0.5918367346938775,0.030612245,0.96938777,0.5,0.030612245,0.39091572,6
1262,2,0,-0.4063113101546749,,0.29591836734693877,0.39795917,0.6020408,0.26415092,0.27040815,0.75081,53
1275,2,0,0.3196981408729052,,0.6632653061224489,0.14285715,0.85714287,0.7307692,0.26530612,0.27886122,52
1335,3,0,0.549407517790404,,0.7551020408163265,0.040816326,0.9591837,0.84615386,0.13265306,0.22118264,26
1400,2,0,-0.3172278048275148,,0.35714285714285715,0.52040815,0.47959185,0.28169012,0.3622449,0.68977034,71
1513,1,0,0.08006757564408036,,0.46938775510204084,0.35714287,0.64285713,0.3,0.25510204,0.6849734,50
1731,0,0,-0.006290591207197444,,0.5,0.14285715,0.85714287,0.6956522,0.23469388,0.28195125,46
1753,0,0,0.10590569691367371,,0.5102040816326531,0.1122449,0.8877551,0.45,0.10204082,0.49713248,20
1885,0,0,-0.09351257879176661,,0.4489795918367347,0.19387755,0.8061224,0.6935484,0.31632653,0.31982496,62
2274,1,0,-0.2743395835491557,,0.35714285714285715,0.1734694,0.8265306,0.39285713,0.14285715,0.6346995,28
2345,0,0,-0.21797607758448947,,0.3877551020408163,0.08163265,0.9183673,0.5294118,0.0867347,0.4210904,17
2445,1,0,0.0005275362780801505,,0.5,0.19387755,0.8061224,0.36666667,0.15306123,0.595555,30
2541,2,0,0.19152435671652496,,0.5816326530612245,0.020408163,0.97959185,0.85714287,0.071428575,0.14548993,14
2816,0,0,0.23560790188781486,,0.5714285714285714,0.1632653,0.8367347,0.61904764,0.21428572,0.40160987,42
2841,2,0,0.06456183410498131,,0.5102040816326531,0.13265306,0.86734694,0.40909094,0.1122449,0.58653873,22
2858,3,0,0.32847819330777994,,0.6530612244897959,0.26530612,0.7346939,0.48000002,0.25510204,0.47500718,50
2875,2,0,-0.28618604021069577,,0.35714285714285715,0.091836736,0.90816325,0.7,0.15306123,0.30469579,30
2946,2,0,0.159916805457052,,0.5918367346938775,0.040816326,0.9591837,0.8666667,0.15306123,0.20486347,30
