sample_id,group,epoch,mask_method,actual_swaps,full_teacher_correct,student_correct,correction_opportunity,kl,prediction_flip,gt_probability_drop,gt_probability,correct,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
54,3,0,student,0,True,False,True,2.4090705,1.0,0.8600946,0.05155819,0.0,0.0,0.0,0.1122449,0.8877551,0.60714287,0.14285715,0.41233712,28
76,3,0,student,0,True,True,False,5.5297045e-05,0.0,0.0024245977,0.9428234,1.0,0.0,0.0,0.63265306,0.36734694,0.45614034,0.5816327,0.5375758,114
83,2,0,student,0,True,False,True,0.0025209598,0.0,0.01914668,0.9144054,1.0,0.0,0.0,0.13265306,0.86734694,0.6285714,0.17857143,0.39835647,35
136,2,0,student,0,False,True,False,0.018983051,0.0,0.061742358,0.09442688,0.0,0.0,0.0,0.08163265,0.9183673,0.27272725,0.05612245,0.69555944,11
151,2,0,student,0,True,True,False,2.3019361,1.0,0.8290846,0.047602654,0.0,0.0,0.0,0.05102041,0.9489796,0.6875,0.08163265,0.3357509,16
157,3,0,student,0,True,False,True,0.007018078,0.0,0.030312479,0.9186994,1.0,0.0,0.0,0.030612245,0.96938777,0.9375,0.24489796,0.08294889,48
171,3,0,student,0,True,True,False,0.0006301417,0.0,0.008014023,0.9433998,1.0,0.0,0.0,0.040816326,0.9591837,0.6923077,0.06632653,0.28393292,13
249,3,0,student,0,True,False,True,4.157494e-05,0.0,0.0019464493,0.95145893,1.0,0.0,0.0,0.4489796,0.5510204,0.4883721,0.4387755,0.52141535,86
253,3,0,student,0,True,False,True,0.07563058,0.0,0.12937534,0.82140255,1.0,0.0,0.0,0.2857143,0.71428573,0.6781609,0.44387755,0.3279503,87
317,3,0,student,0,True,False,True,0.00049851835,0.0,0.007712126,0.93367314,1.0,0.0,0.0,0.7244898,0.2755102,0.43199998,0.6377551,0.5666318,125
344,2,0,student,0,True,True,False,0.11340225,0.0,-0.22517902,0.72557575,1.0,0.0,0.0,0.2244898,0.7755102,0.5849056,0.27040815,0.4229056,53
346,3,0,student,0,True,False,True,0.00042833947,0.0,0.0066763163,0.94266534,1.0,0.0,0.0,0.3265306,0.6734694,0.44827586,0.29591838,0.54384845,58
376,2,0,student,0,True,False,True,0.006579157,0.0,0.029726744,0.91696864,1.0,0.0,0.0,0.3265306,0.6734694,0.5294118,0.3469388,0.4690493,68
413,2,0,student,0,True,False,True,0.00034567202,0.0,0.0055097938,0.95208645,1.0,0.0,0.0,0.2857143,0.71428573,0.46153843,0.26530612,0.5472334,52
484,1,0,student,0,True,True,False,1.7623447,1.0,0.8268297,0.13881163,0.0,0.0,0.0,0.36734694,0.63265306,0.26530612,0.25,0.71811134,49
529,0,0,student,0,True,False,True,0.0015331125,0.0,0.013079166,0.9361684,1.0,0.0,0.0,0.29591838,0.70408165,0.3695652,0.23469388,0.5860128,46
576,0,0,student,0,True,False,True,0.00030728523,0.0,0.005338609,0.9494355,1.0,0.0,0.0,0.15306123,0.8469388,0.7692308,0.33163264,0.25498256,65
613,0,0,student,0,True,False,True,9.7083626e-05,0.0,0.0030433536,0.94877505,1.0,0.0,0.0,0.3877551,0.6122449,0.5189873,0.4030612,0.4650659,79
887,1,0,student,0,True,False,True,0.014194123,0.0,-0.03763801,0.9584989,1.0,0.0,0.0,0.06122449,0.93877554,0.25,0.040816326,0.71000516,8
921,0,0,student,0,True,True,False,0.0017691255,0.0,-0.012066603,0.96084166,1.0,0.0,0.0,0.1632653,0.8367347,0.75,0.3265306,0.24209516,64
1092,1,0,student,0,True,True,False,0.004101865,0.0,0.022170186,0.9281487,1.0,0.0,0.0,0.06122449,0.93877554,0.84615386,0.19897959,0.1730101,39
1111,0,0,student,0,True,False,True,0.000986523,0.0,-0.008851171,0.9614253,1.0,0.0,0.0,0.030612245,0.96938777,0.7692308,0.06632653,0.3065414,13
1150,2,0,student,0,False,False,False,0.0078022294,0.0,0.02946943,0.050097764,0.0,0.0,0.0,0.10204082,0.8979592,0.76744187,0.21938775,0.2678513,43
1247,3,0,student,0,True,True,False,4.708208e-05,0.0,-0.002082169,0.9523088,1.0,0.0,0.0,0.4489796,0.5510204,0.443038,0.4030612,0.5794789,79
1259,2,0,student,0,False,False,False,0.033839285,0.0,0.05832758,0.03676947,0.0,0.0,0.0,0.030612245,0.96938777,0.5,0.030612245,0.39091572,6
1262,2,0,student,0,True,False,True,2.4863422,1.0,0.88748956,0.057758443,0.0,0.0,0.0,0.39795917,0.6020408,0.26415092,0.27040815,0.75081,53
1275,2,0,student,0,True,True,False,1.319993,1.0,0.6945633,0.10585583,0.0,0.0,0.0,0.14285715,0.85714287,0.7307692,0.26530612,0.27886122,52
1335,3,0,student,0,True,True,False,7.816055e-05,0.0,0.002932191,0.9405718,1.0,0.0,0.0,0.040816326,0.9591837,0.84615386,0.13265306,0.22118264,26
1400,2,0,student,0,True,True,False,2.6532135,1.0,0.89254194,0.046594635,0.0,0.0,0.0,0.52040815,0.47959185,0.28169012,0.3622449,0.68977034,71
1513,1,0,student,0,False,True,False,0.010350052,0.0,0.042380124,0.08284563,0.0,0.0,0.0,0.35714287,0.64285713,0.3,0.25510204,0.6849734,50
1731,0,0,student,0,True,False,True,0.0015209857,0.0,-0.011585951,0.9574373,1.0,0.0,0.0,0.14285715,0.85714287,0.6956522,0.23469388,0.28195125,46
1753,0,0,student,0,True,True,False,0.00015502004,0.0,0.003697276,0.95253,1.0,0.0,0.0,0.1122449,0.8877551,0.45,0.10204082,0.49713248,20
1885,0,0,student,0,True,False,True,0.0033492371,0.0,-0.015974164,0.9653158,1.0,0.0,0.0,0.19387755,0.8061224,0.6935484,0.31632653,0.31982496,62
2274,1,0,student,0,True,False,True,0.28717113,0.0,-0.24888343,0.93732566,1.0,0.0,0.0,0.1734694,0.8265306,0.39285713,0.14285715,0.6346995,28
2345,0,0,student,0,True,False,True,5.2955933e-05,0.0,-0.0020714402,0.9584212,1.0,0.0,0.0,0.08163265,0.9183673,0.5294118,0.0867347,0.4210904,17
2445,1,0,student,0,True,True,False,0.0023424607,0.0,-0.014706254,0.9561454,1.0,0.0,0.0,0.19387755,0.8061224,0.36666667,0.15306123,0.595555,30
2541,2,0,student,0,True,False,True,2.6558285,1.0,0.8926719,0.046464663,0.0,0.0,0.0,0.020408163,0.97959185,0.85714287,0.071428575,0.14548993,14
2816,0,0,student,0,True,False,True,7.781666e-05,0.0,0.0025154948,0.9567152,1.0,0.0,0.0,0.1632653,0.8367347,0.61904764,0.21428572,0.40160987,42
2841,2,0,student,0,True,True,False,1.4760698,1.0,0.62879133,0.044722572,0.0,0.0,0.0,0.13265306,0.86734694,0.40909094,0.1122449,0.58653873,22
2858,3,0,student,0,True,False,True,0.0,0.0,0.0,0.94261247,1.0,0.0,0.0,0.26530612,0.7346939,0.48000002,0.25510204,0.47500718,50
2875,2,0,student,0,True,False,True,2.61287,1.0,0.8981867,0.052086014,0.0,0.0,0.0,0.091836736,0.90816325,0.7,0.15306123,0.30469579,30
2946,2,0,student,0,True,False,True,0.92876047,1.0,0.6400839,0.30388674,0.0,0.0,0.0,0.040816326,0.9591837,0.8666667,0.15306123,0.20486347,30
2972,3,0,student,0,True,True,False,0.0021094298,0.0,0.015150428,0.93698055,1.0,0.0,0.0,0.14285715,0.85714287,0.51724136,0.14795919,0.47660682,29
2995,2,0,student,0,False,False,False,0.0016830247,0.0,0.012232345,0.0427222,0.0,0.0,0.0,0.040816326,0.9591837,0.8666667,0.15306123,0.19845293,30
2999,3,0,student,0,True,True,False,0.0011268007,0.0,0.01069659,0.94266534,1.0,0.0,0.0,0.10204082,0.8979592,0.5454545,0.1122449,0.4727642,22
3013,3,0,student,0,True,True,False,0.0023213364,0.0,0.016053438,0.9354055,1.0,0.0,0.0,0.1734694,0.8265306,0.4516129,0.15816326,0.5334004,31
3016,3,0,student,0,True,False,True,0.0007026717,0.0,0.0081676245,0.9472348,1.0,0.0,0.0,0.33673468,0.66326535,0.45901638,0.3112245,0.5647278,61
3040,2,0,student,0,True,True,False,0.00035997014,0.0,0.0063024163,0.9392481,1.0,0.0,0.0,0.15306123,0.8469388,0.11764705,0.0867347,0.7631495,17
3068,3,0,student,0,True,False,True,0.0009839684,0.0,0.010084271,0.9418684,1.0,0.0,0.0,0.091836736,0.90816325,0.7804878,0.20918368,0.2622661,41
3085,1,0,student,0,True,True,False,0.028109662,0.0,0.081517994,0.83284926,1.0,0.0,0.0,0.071428575,0.9285714,0.8,0.17857143,0.18803106,35
3105,1,0,student,0,True,True,False,0.012000818,0.0,0.039720416,0.9146726,1.0,0.0,0.0,0.13265306,0.86734694,0.68292683,0.20918368,0.33623862,41
3163,0,0,student,0,True,False,True,0.0005920427,0.0,-0.00717324,0.95679593,1.0,0.0,0.0,0.2244898,0.7755102,0.5849056,0.27040815,0.45039037,53
3323,3,0,student,0,True,False,True,0.00298604,0.0,0.019329906,0.9261703,1.0,0.0,0.0,0.040816326,0.9591837,0.902439,0.20918368,0.14752986,41
3368,2,0,student,0,True,False,True,0.0008125482,0.0,0.009054303,0.943608,1.0,0.0,0.0,0.13265306,0.86734694,0.48000002,0.12755102,0.523615,25
3386,2,0,student,0,True,False,True,0.000391806,0.0,0.0067480803,0.9357587,1.0,0.0,0.0,0.41836736,0.5816326,0.34920633,0.32142857,0.65361595,63
3437,2,0,student,0,True,True,False,1.6166384,1.0,0.7698115,0.103024416,0.0,0.0,0.0,0.071428575,0.9285714,0.58823526,0.0867347,0.40865803,17
3523,3,0,student,0,True,False,True,0.000599036,0.0,0.007899344,0.94218844,1.0,0.0,0.0,0.091836736,0.90816325,0.75,0.18367347,0.26047128,36
3550,3,0,student,0,True,False,True,0.0013210298,0.0,0.0124771,0.9328214,1.0,0.0,0.0,0.1734694,0.8265306,0.46875,0.1632653,0.5271445,32
3588,3,0,student,0,True,True,False,0.0008797934,0.0,0.00980103,0.93868846,1.0,0.0,0.0,0.18367347,0.8163265,0.71428573,0.32142857,0.27617657,63
3596,2,0,student,0,False,True,False,0.13444328,0.0,0.20850857,0.14475228,0.0,0.0,0.0,0.06122449,0.93877554,0.75,0.12244898,0.23300885,24
3675,2,0,student,0,False,False,False,0.2528475,0.0,0.23144284,0.06348237,0.0,0.0,0.0,0.29591838,0.70408165,0.29268295,0.20918368,0.6568653,41
3709,3,0,student,0,True,False,True,0.0010008123,0.0,0.009977937,0.94407386,1.0,0.0,0.0,0.3877551,0.6122449,0.62745094,0.52040815,0.36659497,102
3720,2,0,student,0,True,False,True,6.5292115e-06,0.0,0.0008364916,0.9428234,1.0,0.0,0.0,0.2857143,0.71428573,0.09677422,0.15816326,0.86112416,31
3779,3,0,student,0,True,False,True,6.5911794e-05,0.0,-0.002578497,0.94762397,1.0,0.0,0.0,0.19387755,0.8061224,0.5681818,0.2244898,0.44504946,44
3782,2,0,student,0,True,True,False,0.0015394166,0.0,0.013548076,0.9316493,1.0,0.0,0.0,0.26530612,0.7346939,0.6285714,0.35714287,0.40522707,70
3783,2,0,student,0,True,False,True,0.0004963516,0.0,0.0073595643,0.9395816,1.0,0.0,0.0,0.46938777,0.53061223,0.34285712,0.35714287,0.66115713,70
3789,3,0,student,0,True,False,True,0.0004922948,0.0,0.007150233,0.94261247,1.0,0.0,0.0,0.42857143,0.57142854,0.46153843,0.39795917,0.5221923,78
3804,2,0,student,0,True,True,False,0.0014227005,0.0,0.011825204,0.94407386,1.0,0.0,0.0,0.30612245,0.6938776,0.5588235,0.3469388,0.4169611,68
3815,2,0,student,0,True,False,True,0.0005800524,0.0,0.0071683526,0.9510968,1.0,0.0,0.0,0.36734694,0.63265306,0.21739131,0.23469388,0.74055487,46
3817,2,0,student,0,True,True,False,0.0068126824,0.0,0.027512908,0.9310248,1.0,0.0,0.0,0.40816328,0.5918367,0.36507934,0.32142857,0.64297223,63
3867,0,0,student,0,True,False,True,0.0009115031,0.0,-0.009562373,0.95013416,1.0,0.0,0.0,0.1122449,0.8877551,0.5769231,0.13265306,0.41593766,26
3918,0,0,student,0,True,False,True,0.0003943867,0.0,0.005891323,0.9518632,1.0,0.0,0.0,0.10204082,0.8979592,0.5652174,0.11734694,0.43841627,23
3980,1,0,student,0,True,False,True,2.4057715,1.0,0.89400136,0.0706878,0.0,0.0,0.0,0.20408164,0.79591835,0.6363636,0.28061223,0.36853883,55
4078,2,0,student,0,True,False,True,2.6246486,1.0,0.8863335,0.04611975,0.0,0.0,0.0,0.12244898,0.877551,0.39999998,0.10204082,0.6213737,20
4094,3,0,student,0,True,False,True,0.0031170007,0.0,0.019251883,0.92976,1.0,0.0,0.0,0.12244898,0.877551,0.6756757,0.18877551,0.36618286,37
4128,2,0,student,0,True,False,True,2.3130574,1.0,0.8840108,0.07544844,0.0,0.0,0.0,0.040816326,0.9591837,0.8095238,0.10714286,0.19522357,21
4158,2,0,student,0,False,False,False,2.1946267e-05,0.0,-0.001501821,0.054954544,0.0,0.0,0.0,0.622449,0.37755102,0.4245283,0.5408163,0.5674331,106
4192,3,0,student,0,True,False,True,0.0010630423,0.0,0.010691345,0.93930376,1.0,0.0,0.0,0.1632653,0.8367347,0.70909095,0.28061223,0.28035653,55
4196,0,0,student,0,True,True,False,2.272497e-05,0.0,0.0014196038,0.9531008,1.0,0.0,0.0,0.41836736,0.5816326,0.38805968,0.34183672,0.5951395,67
4228,1,0,student,0,True,True,False,0.57178354,1.0,0.49348828,0.4518102,0.0,0.0,0.0,0.06122449,0.93877554,0.71428573,0.10714286,0.29818425,21
4259,0,0,student,0,True,False,True,0.0002686088,0.0,-0.0048750043,0.9551939,1.0,0.0,0.0,0.020408163,0.97959185,0.8666667,0.07653061,0.111439474,15
4328,0,0,student,0,True,False,True,0.00022345083,0.0,-0.004603803,0.95159405,1.0,0.0,0.0,0.08163265,0.9183673,0.84313726,0.26020408,0.15827075,51
