epoch,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,0.03919001641206771,,0.4881122448979592,0.1912245,0.8087755,0.5977776,0.2299745,0.405626,45.075
1,-0.03660757623826207,0.6363854781370392,0.46545918367346933,0.20693879,0.7930612,0.54046065,0.2299745,0.4549749,45.075
2,0.08891508662055884,0.8384106941362629,0.5259183673469388,0.21918367,0.7808163,0.501936,0.2299745,0.4939721,45.075
3,0.18111794659292849,0.908325402451808,0.5533673469387755,0.2282653,0.7717347,0.4823801,0.2299745,0.51165414,45.075
4,0.3652923134619487,0.7382272595089784,0.6372448979591837,0.2539796,0.74602044,0.43359235,0.2299745,0.5571656,45.075
5,0.38226443799287035,0.9118961618205605,0.6395408163265306,0.2572959,0.7427041,0.43034413,0.2299745,0.5630207,45.075
6,0.42358385993991504,0.8984265332999031,0.659438775510204,0.25836736,0.74163264,0.42790306,0.2299745,0.5642324,45.075
7,0.50264607805528,0.7545100947062703,0.6911224489795919,0.27071428,0.7292857,0.38600218,0.2299745,0.6034751,45.075
8,0.4074830747900207,0.8724533312684265,0.6433163265306122,0.26209182,0.7379082,0.40664855,0.2299745,0.58570814,45.075
9,0.3008171313820335,0.8721759973679072,0.5957653061224489,0.24214286,0.75785714,0.44322717,0.2299745,0.5490926,45.075
10,0.5000313971742544,0.68455191291667,0.690561224489796,0.27306122,0.7269388,0.38461694,0.2299745,0.6048093,45.075
11,0.40361853773163425,0.7618288473161928,0.6462755102040816,0.25933674,0.7406633,0.4095259,0.2299745,0.57940125,45.075
12,0.5586501685406688,0.8323211496018499,0.7156122448979592,0.26535714,0.73464286,0.40121564,0.2299745,0.58907324,45.075
13,0.3848254827116321,0.7961473117165648,0.6369897959183674,0.2634694,0.7365306,0.40525955,0.2299745,0.5860077,45.075
14,0.5027209157774785,0.8041707639713441,0.689438775510204,0.26877552,0.73122454,0.38962233,0.2299745,0.5998025,45.075
15,0.5253766545274885,0.9096408450143041,0.6938265306122449,0.2589796,0.74102044,0.41014192,0.2299745,0.5808981,45.075
16,0.531477005952713,0.9211113244985616,0.6969387755102041,0.25857145,0.7414286,0.41003907,0.2299745,0.58386576,45.075
17,0.5347513726302704,0.8098789455649499,0.6991836734693878,0.26836735,0.7316326,0.3952739,0.2299745,0.5945058,45.075
18,0.524954529879113,0.8708536286048977,0.689795918367347,0.2561735,0.7438265,0.41501454,0.2299745,0.57765675,45.075
19,0.4107958068037836,0.8576966985154076,0.6357142857142857,0.24632652,0.7536735,0.4392377,0.2299745,0.5542679,45.075
20,0.5012960737594531,0.8054194789981592,0.6715816326530613,0.2519388,0.74806124,0.43534124,0.2299745,0.5587893,45.075
21,0.532529082230315,0.837977846663851,0.7013265306122449,0.25367346,0.7463265,0.42667636,0.2299745,0.5664308,45.075
22,0.47118735506697795,0.8527875511000964,0.6636224489795919,0.23617348,0.76382655,0.46876562,0.2299745,0.52307266,45.075
23,0.6332386982125924,0.8050098574377037,0.7468877551020409,0.25576532,0.7442347,0.42476627,0.2299745,0.56877214,45.075
24,0.5880182326737802,0.9033408107483524,0.7177551020408163,0.24744898,0.752551,0.44151917,0.2299745,0.5509177,45.075
25,0.6207568711201779,0.8802147837659078,0.7383163265306122,0.25719386,0.7428061,0.4191656,0.2299745,0.57210356,45.075
26,0.5441074197738448,0.8364990716317764,0.695561224489796,0.2565306,0.7434694,0.4263886,0.2299745,0.5641241,45.075
27,0.5960387819497253,0.8902419752503138,0.7265306122448979,0.26137754,0.7386224,0.41653702,0.2299745,0.5743786,45.075
28,0.6028917036553004,0.9534171938757084,0.7304591836734694,0.26510203,0.7348979,0.41130134,0.2299745,0.57865477,45.075
29,0.5634074540397963,0.8338197053128162,0.7052551020408163,0.2569388,0.74306124,0.4218844,0.2299745,0.5697283,45.075
30,0.6642730597901011,0.8190633043533697,0.7596938775510205,0.25091836,0.7490817,0.4374315,0.2299745,0.5587553,45.075
31,0.6418060945580888,0.8900254444612675,0.7398469387755102,0.25188777,0.74811226,0.44102967,0.2299745,0.55373466,45.075
32,0.6683558957358813,0.8803306664329145,0.7605612244897959,0.25015306,0.74984694,0.43964022,0.2299745,0.55652505,45.075
33,0.6251904205904318,0.8526319649192401,0.7292857142857143,0.25311223,0.74688774,0.43260163,0.2299745,0.56257546,45.075
34,0.7056081090772897,0.8625308927046577,0.7761224489795918,0.2587755,0.7412245,0.41661096,0.2299745,0.57524854,45.075
35,0.7163503095888883,0.9176264214393294,0.7812244897959184,0.2552551,0.7447449,0.43010452,0.2299745,0.56349623,45.075
36,0.6293178684984341,0.8488932017945795,0.7357142857142857,0.25132653,0.7486735,0.4434832,0.2299745,0.5532781,45.075
37,0.6494780192691433,0.8454343744333402,0.748061224489796,0.25709182,0.7429082,0.4264947,0.2299745,0.56647897,45.075
38,0.646039589127334,0.7179233733968975,0.7497959183673469,0.2512755,0.7487245,0.43759784,0.2299745,0.55885917,45.075
39,0.669278502498227,0.8908052578313637,0.7615816326530613,0.2537245,0.7462755,0.4344281,0.2299745,0.5601526,45.075
40,0.652167776517136,0.8619082369486746,0.7461734693877551,0.25464284,0.74535716,0.43418762,0.2299745,0.55912584,45.075
41,0.6669693975740065,0.8563936637853439,0.7601530612244898,0.2530612,0.74693877,0.43669975,0.2299745,0.5562448,45.075
42,0.6448061184645667,0.9022701570860062,0.744642857142857,0.25627553,0.7437245,0.43236694,0.2299745,0.5596727,45.075
43,0.680030616229311,0.8151006940847405,0.7699489795918367,0.24260205,0.757398,0.46102318,0.2299745,0.5372544,45.075
44,0.683210847165887,0.8956614444293922,0.7668877551020408,0.2530612,0.74693877,0.4361021,0.2299745,0.5574043,45.075
45,0.6687113133422053,0.8774981631856178,0.7512755102040817,0.25010204,0.7498979,0.44603652,0.2299745,0.5484793,45.075
46,0.7040973473481921,0.881045979543012,0.774795918367347,0.26244897,0.73755103,0.41880018,0.2299745,0.5748283,45.075
47,0.6660449935631941,0.8411852485385509,0.7532142857142857,0.25382653,0.7461735,0.43711618,0.2299745,0.5592903,45.075
48,0.6724422220274288,0.874344462407787,0.7613775510204082,0.25428572,0.74571425,0.42966992,0.2299745,0.5649927,45.075
49,0.6941297697608131,0.8478733690400062,0.7715816326530613,0.25438777,0.74561226,0.43312988,0.2299745,0.5631811,45.075
50,0.7148837473428087,0.8916691654783406,0.7846938775510205,0.2505612,0.74943876,0.4386086,0.2299745,0.5568188,45.075
51,0.7094379268302401,0.8884249424580152,0.7780102040816327,0.2532653,0.7467347,0.42763135,0.2299745,0.5637467,45.075
52,0.6902532811640861,0.8234704715154316,0.7726020408163266,0.25168368,0.74831635,0.43664205,0.2299745,0.5569749,45.075
