epoch,group,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,0,0.02354303785841116,,0.5163265306122449,0.1812245,0.8187755,0.55744624,0.20091838,0.44470075,39.38
0,1,0.005960470509136051,,0.4946938775510204,0.18979591,0.8102041,0.46810502,0.1727551,0.52411836,33.86
0,2,0.09485786021690826,,0.5436734693877551,0.23306122,0.7669388,0.5703695,0.26867345,0.44084287,52.66
0,3,0.01630670643402956,,0.5081632653061224,0.25040817,0.7495918,0.5086858,0.2522449,0.48909545,49.44
1,0,-0.1536740272055718,0.1653636419687167,0.43836734693877555,0.18428572,0.81571424,0.566767,0.20091838,0.44262886,39.38
1,1,0.18457110102306873,0.36271889376913413,0.5859183673469388,0.13897958,0.86102045,0.6253949,0.1727551,0.3930991,33.86
1,2,-0.14995215680136081,0.1508139223032153,0.4451020408163265,0.30081633,0.69918364,0.470035,0.26867345,0.53034586,52.66
1,3,0.38020667946991366,0.40735584000127384,0.669795918367347,0.23040818,0.7695918,0.51458395,0.2522449,0.48642975,49.44
2,0,-0.17746516336547413,0.8694221877195777,0.43142857142857144,0.19102041,0.8089796,0.53549063,0.20091838,0.46923596,39.38
2,1,0.21870206950409998,0.9067296560692342,0.5938775510204082,0.14,0.86,0.6230108,0.1727551,0.3980717,33.86
2,2,-0.14034696268198807,0.8708394427741076,0.44877551020408163,0.30204082,0.6979592,0.45777714,0.26867345,0.5409521,52.66
2,3,0.4225096206990855,0.9052439236514368,0.6912244897959183,0.22714286,0.7728571,0.517231,0.2522449,0.48275393,49.44
3,0,-0.20918799950129938,0.9005255670716089,0.42306122448979594,0.19265306,0.80734694,0.5239879,0.20091838,0.47874543,39.38
3,1,0.029378004766302396,0.6602936588689562,0.5204081632653061,0.19612245,0.8038776,0.416069,0.1727551,0.58577174,33.86
3,2,-0.1615369315238786,0.9360827164133909,0.44020408163265307,0.30142856,0.6985714,0.45610207,0.26867345,0.54154515,52.66
3,3,0.2644797233223629,0.6714686124936459,0.6193877551020408,0.29122448,0.70877546,0.3897099,0.2522449,0.60674816,49.44
4,0,-0.2242513896562004,0.9179947233167983,0.4042857142857143,0.20265307,0.79734695,0.49275523,0.20091838,0.5062781,39.38
4,1,-0.011607136880523389,0.5945746879632835,0.4881632653061224,0.25040817,0.7495918,0.24268067,0.1727551,0.750161,33.86
4,2,-0.21186414745515542,0.9115963630278351,0.41857142857142854,0.30755103,0.692449,0.42990887,0.26867345,0.56760615,52.66
4,3,0.10994614311935594,0.6184714035698934,0.5293877551020408,0.33,0.67,0.3350056,0.2522449,0.6593874,49.44
