epoch,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,0.03516701875462126,,0.5157142857142857,0.21362245,0.78637755,0.5261516,0.22364795,0.47468933,43.835
1,0.06528789912151246,0.271563074510585,0.534795918367347,0.21362245,0.78637755,0.5441952,0.22364795,0.46312588,43.835
2,0.08084989103893081,0.888058802553589,0.5413265306122449,0.21505103,0.78494895,0.5333774,0.22364795,0.47275344,43.835
3,-0.019216800734128164,0.7920926387119005,0.500765306122449,0.24535716,0.75464284,0.44646722,0.22364795,0.55320257,43.835
4,-0.08444413271813084,0.7606592944694526,0.4601020408163265,0.27265307,0.72734696,0.3750876,0.22364795,0.62085813,43.835
5,-0.05425473494105613,0.9104174542611401,0.4635204081632653,0.2692347,0.7307653,0.38334313,0.22364795,0.61207026,43.835
6,0.03359448238491023,0.8928298396000234,0.4903571428571428,0.27494898,0.72505105,0.37452972,0.22364795,0.61952955,43.835
7,0.16593984333288175,0.8250435336961806,0.5453571428571429,0.26392856,0.7360714,0.39809337,0.22364795,0.5990352,43.835
8,0.19109154742375037,0.8745015119974324,0.5619387755102041,0.23821428,0.76178575,0.45205304,0.22364795,0.5480826,43.835
9,0.1320546023954291,0.8658964389643897,0.527704081632653,0.25214288,0.74785715,0.4178546,0.22364795,0.57919455,43.835
10,0.12441111969973465,0.9111793384280693,0.529795918367347,0.2352551,0.7647449,0.45293084,0.22364795,0.54911685,43.835
11,0.11274012861685088,0.8614289539322172,0.5198979591836735,0.25734693,0.7426531,0.41104248,0.22364795,0.5849953,43.835
12,0.09466229720304697,0.8366033573348192,0.5143877551020408,0.2539796,0.74602044,0.4194359,0.22364795,0.57611746,43.835
13,0.09817317399125765,0.7773043377743772,0.5186734693877552,0.25535715,0.74464285,0.4172878,0.22364795,0.57591224,43.835
14,0.04051068353951349,0.7074493227178535,0.48923469387755103,0.25484693,0.74515307,0.41523352,0.22364795,0.5783136,43.835
15,0.07451748694374247,0.7867718723208786,0.4978061224489796,0.26520407,0.7347959,0.39039052,0.22364795,0.599481,43.835
16,0.08723011920997852,0.8639290446470888,0.5029591836734694,0.27392855,0.7260714,0.3727649,0.22364795,0.61861545,43.835
17,0.1667335932916687,0.8937404396838265,0.5360714285714285,0.2805102,0.7194898,0.35358432,0.22364795,0.63614583,43.835
18,0.07810998695454895,0.7605461900313075,0.5054591836734693,0.2577551,0.7422449,0.41494665,0.22364795,0.57935417,43.835
19,0.06020441632334308,0.8651835137554948,0.49474489795918364,0.26719388,0.7328061,0.38792202,0.22364795,0.6030865,43.835
20,0.13040370135404813,0.8185884372104073,0.5195918367346939,0.27158162,0.72841835,0.38032955,0.22364795,0.60915804,43.835
21,0.01822921681352366,0.6557278368949778,0.48035714285714287,0.24964285,0.75035715,0.43063587,0.22364795,0.5654427,43.835
22,0.13788100816101445,0.6795556389339881,0.5212244897959184,0.27857143,0.72142863,0.36766198,0.22364795,0.6202915,43.835
23,0.17416273872974622,0.8272111269587599,0.5296938775510204,0.27025512,0.72974485,0.38238394,0.22364795,0.6075211,43.835
24,0.03567858927227159,0.8659389890710866,0.4747448979591837,0.26954082,0.7304592,0.38494602,0.22364795,0.60218215,43.835
25,-0.01486149345215327,0.886634673799014,0.4583673469387755,0.26454082,0.7354592,0.3981191,0.22364795,0.59625894,43.835
26,0.09818794868157284,0.6816143580458097,0.514234693877551,0.25586736,0.74413264,0.4157642,0.22364795,0.5762509,43.835
27,0.06573434067016862,0.7090267308404953,0.4902040816326531,0.2584694,0.7415306,0.41615286,0.22364795,0.5783271,43.835
28,0.1334265771274123,0.765471816761699,0.5165816326530612,0.27591836,0.72408164,0.37338036,0.22364795,0.61786824,43.835
29,0.08174898295766597,0.6208510793197634,0.5068877551020408,0.26102042,0.7389796,0.4139079,0.22364795,0.57908857,43.835
30,0.11544547417055226,0.5950488567329377,0.5152040816326531,0.27867347,0.72132653,0.3616398,0.22364795,0.6278267,43.835
31,0.04053995170891472,0.7455422524970856,0.4875510204081632,0.26714286,0.7328571,0.39639565,0.22364795,0.59316397,43.835
32,0.11577668447586059,0.8458126427178969,0.5098979591836735,0.25316325,0.7468367,0.428556,0.22364795,0.56396955,43.835
33,0.21167201754451592,0.8639636714680334,0.5535714285714285,0.2544898,0.74551016,0.422126,0.22364795,0.5682424,43.835
34,0.2519614410095626,0.8395407755606915,0.561530612244898,0.24892856,0.7510714,0.43505877,0.22364795,0.5587485,43.835
35,0.26284307053866457,0.8616043073537349,0.5652551020408163,0.25489795,0.745102,0.4217548,0.22364795,0.57005835,43.835
36,0.1425232242897761,0.8533313922694649,0.5087244897959183,0.2552551,0.7447449,0.41977215,0.22364795,0.57179666,43.835
37,0.3270031016722089,0.8201393197829612,0.5892857142857143,0.24954082,0.7504592,0.43672884,0.22364795,0.55639166,43.835
38,0.31201522045756996,0.8646090915103558,0.5767857142857143,0.25954083,0.7404592,0.41147685,0.22364795,0.5814331,43.835
39,0.31864615050137274,0.8103842123500613,0.5801020408163265,0.24897958,0.75102043,0.4402658,0.22364795,0.55277914,43.835
