epoch,group,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,0,0.1014746318852406,,0.5377551020408163,0.1812245,0.8187755,0.55744624,0.20091838,0.44470075,39.38
0,1,0.025735575744092926,,0.5077551020408163,0.18979591,0.8102041,0.46810502,0.1727551,0.52411836,33.86
0,2,0.1944669096819059,,0.573265306122449,0.23306122,0.7669388,0.5703695,0.26867345,0.44084287,52.66
0,3,0.002416295333241045,,0.5151020408163265,0.25040817,0.7495918,0.5086858,0.2522449,0.48909545,49.44
1,0,-0.0645648622588434,0.15438291826136658,0.48795918367346935,0.1855102,0.81448984,0.5635452,0.20091838,0.44402725,39.38
1,1,0.27020513833724374,0.3543084328342664,0.6216326530612245,0.13734694,0.862653,0.63048464,0.1727551,0.38930374,33.86
1,2,-0.04420738072659756,0.1400416286763152,0.49142857142857144,0.3022449,0.6977551,0.4672264,0.26867345,0.5318882,52.66
1,3,0.33367134968005163,0.40104636247165265,0.6589795918367346,0.22775511,0.7722449,0.5204673,0.2522449,0.481452,49.44
2,0,-0.03686777327096399,0.8866540652965598,0.4995918367346939,0.18918367,0.81081635,0.53734523,0.20091838,0.46923447,39.38
2,1,0.2932838919233773,0.9148065878171843,0.6312244897959184,0.14081633,0.85918367,0.62227577,0.1727551,0.3988273,33.86
2,2,-0.012481157711034434,0.8873994055255839,0.5046938775510204,0.3065306,0.6934694,0.45142666,0.26867345,0.5472473,52.66
2,3,0.3553424762329766,0.9114696905704882,0.6657142857142857,0.22836734,0.7716327,0.512819,0.2522449,0.48738688,49.44
3,0,-0.09861994540583018,0.866134250357719,0.47020408163265304,0.19244897,0.807551,0.52178895,0.20091838,0.4807301,39.38
3,1,0.0801117866904669,0.47746211685601764,0.5340816326530612,0.21530613,0.7846939,0.35561082,0.1727551,0.6380287,33.86
3,2,-0.07237807297850807,0.9057650630732574,0.4789795918367347,0.29938775,0.70061225,0.4566131,0.26867345,0.54209846,52.66
3,3,0.061710938807385506,0.5020507614213198,0.5353061224489796,0.3110204,0.68897957,0.36043578,0.2522449,0.6351867,49.44
4,0,-0.19572380049247343,0.9178987718329203,0.426734693877551,0.19612245,0.8038776,0.50348604,0.20091838,0.49744165,39.38
4,1,-0.01789132115165472,0.6940095466534916,0.4904081632653061,0.24306121,0.75693876,0.25470316,0.1727551,0.73559725,33.86
4,2,-0.14392504342631088,0.9084454490555715,0.44775510204081637,0.31428573,0.68571424,0.4216171,0.26867345,0.57409865,52.66
4,3,-0.10934427718764195,0.6960094032146245,0.46224489795918366,0.32530612,0.6746939,0.35361072,0.2522449,0.6408011,49.44
5,0,-0.06550706436420722,0.8718418028671836,0.46775510204081633,0.20632653,0.79367346,0.48707414,0.20091838,0.50856364,39.38
5,1,0.03150787507275143,0.8569188766661202,0.4948979591836735,0.24081632,0.75918365,0.2695603,0.1727551,0.72609335,33.86
5,2,-0.013891958657730956,0.8617354740359034,0.48836734693877554,0.29755104,0.70244896,0.45088512,0.26867345,0.5478301,52.66
5,3,-0.0033570751221222604,0.8151087983807345,0.4881632653061224,0.30489796,0.6951021,0.38776004,0.2522449,0.60914844,49.44
6,0,-0.09309657397416898,0.8127703853337094,0.4642857142857143,0.22102042,0.77897954,0.43299067,0.20091838,0.5550156,39.38
6,1,0.05791443074691806,0.8918768888380023,0.4959183673469388,0.24346939,0.7565306,0.26748177,0.1727551,0.72542304,33.86
6,2,-0.005758815513710363,0.8273941142251512,0.49612244897959185,0.3402041,0.65979594,0.3572062,0.26867345,0.6350401,52.66
6,3,0.033650343854839865,0.907941636318721,0.49755102040816324,0.31918368,0.68081635,0.36356637,0.2522449,0.6328929,49.44
7,0,-0.08524935253289133,0.9076340153433449,0.4642857142857143,0.21632652,0.78367347,0.45187244,0.20091838,0.53959584,39.38
7,1,0.07933785431392393,0.9401541489692323,0.5053061224489795,0.24816327,0.7518367,0.25287476,0.1727551,0.7393611,33.86
7,2,0.017151272223063372,0.9309168771764855,0.5038775510204081,0.32530612,0.6746939,0.39465773,0.26867345,0.5983476,52.66
7,3,0.04894873654264518,0.9492893560391749,0.4959183673469388,0.30979592,0.6902041,0.37661582,0.2522449,0.6209653,49.44
8,0,0.08923025922590824,0.8966777327096399,0.5285714285714286,0.20081633,0.79918367,0.48787457,0.20091838,0.5085727,39.38
8,1,0.20576550932751078,0.8690879359943899,0.5463265306122449,0.24979591,0.7502041,0.25783405,0.1727551,0.7369744,33.86
8,2,0.22483127604809983,0.8610387524006089,0.5773469387755102,0.2877551,0.71224487,0.45581952,0.26867345,0.5393553,52.66
8,3,0.1582998669206066,0.8812421805895337,0.5306122448979592,0.32183674,0.6781633,0.3362544,0.2522449,0.65976936,49.44
9,0,0.09564452661189426,0.9448887472208719,0.5263265306122449,0.19306122,0.80693877,0.50826734,0.20091838,0.4895233,39.38
9,1,0.10239543316001624,0.9065096929612773,0.5116326530612245,0.25346938,0.7465306,0.24045311,0.1727551,0.75035375,33.86
9,2,0.2342029207268137,0.9365759461794626,0.5783673469387756,0.27734694,0.72265303,0.4726913,0.26867345,0.5267625,52.66
9,3,0.0022989744120998678,0.8821966865621689,0.4746938775510204,0.33612242,0.66387755,0.3268979,0.2522449,0.66429496,49.44
10,0,0.22310353895560567,0.8979177139032106,0.5757142857142857,0.19306122,0.80693877,0.51122785,0.20091838,0.4894987,39.38
10,1,0.3334486688076246,0.7158282632952626,0.600204081632653,0.23387754,0.76612246,0.32028148,0.1727551,0.6799265,33.86
10,2,0.34181287602897464,0.894264380303766,0.6175510204081632,0.28510204,0.714898,0.45818564,0.26867345,0.53800726,52.66
10,3,0.33393808605133984,0.7098070175925199,0.6026530612244898,0.30510205,0.694898,0.35699356,0.2522449,0.63905627,49.44
11,0,0.25973137467108814,0.924197825230672,0.5944897959183674,0.19775511,0.8022449,0.4960459,0.20091838,0.50339097,39.38
11,1,0.3013926638988278,0.9241689391102009,0.5940816326530612,0.23163265,0.7683673,0.3280377,0.1727551,0.6710453,33.86
11,2,0.3512725418164142,0.9137575405015579,0.6253061224489795,0.2979592,0.7020408,0.43178037,0.26867345,0.56548333,52.66
11,3,0.3149086214727984,0.9330787633499499,0.606530612244898,0.30816326,0.6918367,0.35480034,0.2522449,0.6355308,49.44
12,0,0.23895869757508628,0.759826921874566,0.5826530612244898,0.17836735,0.8216326,0.5486515,0.20091838,0.4537751,39.38
12,1,0.20125152005355051,0.6241040091163369,0.5553061224489796,0.2467347,0.7532653,0.27057302,0.1727551,0.7154366,33.86
12,2,0.37818307580744126,0.7505959884930153,0.6326530612244897,0.2502041,0.7497959,0.5285408,0.26867345,0.47384703,52.66
12,3,0.09677941492879855,0.652756655961877,0.5028571428571429,0.31530613,0.68469393,0.36117524,0.2522449,0.6360821,49.44
13,0,0.2524488999035772,0.85192866307007,0.5785714285714285,0.19653061,0.8034694,0.5109862,0.20091838,0.48872837,39.38
13,1,0.1804980197467507,0.814359314362215,0.5355102040816326,0.24612245,0.7538776,0.26787636,0.1727551,0.7203784,33.86
13,2,0.3896769597335224,0.825600108376033,0.6285714285714286,0.27530614,0.7246939,0.48259214,0.26867345,0.51331216,52.66
13,3,0.14948975376445844,0.8407732686769102,0.5263265306122449,0.33,0.67,0.33416808,0.2522449,0.6581488,49.44
14,0,0.2112432165369076,0.9340303931021843,0.5661224489795919,0.18897958,0.81102043,0.5224562,0.20091838,0.47805566,39.38
14,1,0.1759045972156922,0.8926948178724828,0.5430612244897959,0.23326531,0.7667347,0.30237472,0.1727551,0.686095,33.86
14,2,0.35357763628684585,0.9072468503215422,0.6136734693877551,0.2742857,0.72571427,0.49527836,0.26867345,0.50378394,52.66
14,3,0.1257328052658002,0.9201869082266991,0.5214285714285715,0.32857144,0.6714286,0.33569387,0.2522449,0.65542245,49.44
15,0,0.20770942473045445,0.9247944600721975,0.5640816326530612,0.19734694,0.8026531,0.50394493,0.20091838,0.49252355,39.38
15,1,0.18696032321558065,0.8414476806732064,0.5397959183673469,0.23693877,0.7630612,0.28281793,0.1727551,0.7070404,33.86
15,2,0.357167911131653,0.9126728876634606,0.6138775510204081,0.29816326,0.7018367,0.447807,0.26867345,0.54787296,52.66
15,3,0.10156010486974955,0.823202734901067,0.513469387755102,0.30673468,0.6932653,0.37855214,0.2522449,0.6097776,49.44
16,0,0.19444673098098575,0.8874214071144473,0.5608163265306123,0.2044898,0.7955102,0.48781964,0.20091838,0.5086727,39.38
16,1,0.09003374000908446,0.8153988317701153,0.49979591836734694,0.22959185,0.77040815,0.30833635,0.1727551,0.68140966,33.86
16,2,0.38777011530891153,0.8942697766338086,0.6236734693877551,0.30469388,0.69530606,0.4406455,0.26867345,0.5539542,52.66
16,3,0.016716493079074662,0.8348355632764624,0.4840816326530612,0.32938775,0.6706123,0.33702663,0.2522449,0.6544032,49.44
17,0,0.31880885177186846,0.842362636481028,0.6042857142857143,0.1912245,0.8087755,0.51863116,0.20091838,0.47956258,39.38
17,1,0.26894341356264795,0.7932219630406797,0.5712244897959183,0.23510204,0.76489794,0.30315134,0.1727551,0.6894417,33.86
17,2,0.40812514244276393,0.8424035572839054,0.6310204081632653,0.28918368,0.7108163,0.4619276,0.26867345,0.5340727,52.66
17,3,0.22468236348989357,0.765049729885953,0.5581632653061225,0.32591838,0.6740816,0.33462155,0.2522449,0.65516084,49.44
18,0,0.2234756831276048,0.8571765493389859,0.5789795918367348,0.2034694,0.7965306,0.49220076,0.20091838,0.50580734,39.38
18,1,0.3487997194973264,0.7960274523866598,0.6051020408163265,0.21673469,0.7832653,0.35684317,0.1727551,0.6418158,33.86
18,2,0.31774686227478105,0.8261316290670895,0.6008163265306122,0.31469387,0.6853061,0.4196577,0.26867345,0.57389987,52.66
18,3,0.37519788985488767,0.816364601070183,0.6242857142857143,0.30938777,0.69061226,0.3558041,0.2522449,0.63327396,49.44
19,0,0.16853846950728749,0.9426008335391947,0.5563265306122449,0.2112245,0.7887755,0.47509843,0.20091838,0.5210016,39.38
19,1,0.20993811409764998,0.8437097434834926,0.5416326530612244,0.23265307,0.767347,0.3076938,0.1727551,0.6849865,33.86
19,2,0.2755389556056706,0.9264092948385914,0.5926530612244898,0.327551,0.67244893,0.39003006,0.26867345,0.6026031,52.66
19,3,0.19709600044625425,0.8418897273864642,0.5395918367346939,0.32530612,0.6746939,0.33149827,0.2522449,0.65854716,49.44
20,0,0.29285849755755483,0.9239371419008837,0.606530612244898,0.20061225,0.79938775,0.49895543,0.20091838,0.50140977,39.38
20,1,0.3712778649921507,0.8464118448628963,0.6144897959183673,0.22877552,0.7712245,0.3240461,0.1727551,0.67076033,33.86
20,2,0.41805790148937355,0.9229800221533361,0.6383673469387755,0.29775512,0.7022449,0.4488829,0.26867345,0.5468646,52.66
20,3,0.38360713688052345,0.84323738335631,0.6222448979591837,0.3102041,0.6897959,0.3558848,0.2522449,0.6353429,49.44
21,0,0.18742101698156813,0.9153736502801043,0.56,0.20183674,0.79816324,0.49850774,0.20091838,0.5027085,39.38
21,1,0.3374415466837978,0.7411060973956509,0.6059183673469388,0.21244898,0.78755105,0.3599042,0.1727551,0.6385497,33.86
21,2,0.27964847914956686,0.8948785311860005,0.5940816326530612,0.31591836,0.6840817,0.41541043,0.26867345,0.57853293,52.66
21,3,0.3170154515535226,0.6986052323311206,0.6036734693877551,0.30673468,0.6932653,0.3501078,0.2522449,0.6433735,49.44
22,0,0.2270903107045239,0.8161883192949183,0.5708163265306123,0.20326531,0.7967347,0.49338013,0.20091838,0.50395316,39.38
22,1,0.09742928862290717,0.678126715613332,0.5022448979591837,0.23857144,0.7614286,0.2736109,0.1727551,0.7124833,33.86
22,2,0.3951720708588004,0.7939201364263003,0.6210204081632653,0.30183673,0.6981633,0.43765736,0.26867345,0.55361086,52.66
22,3,0.09869048121126717,0.6470325919417074,0.5081632653061224,0.33122447,0.6687755,0.33824474,0.2522449,0.65587264,49.44
23,0,0.3064462701910127,0.9172387061814183,0.6012244897959184,0.20326531,0.7967347,0.49359667,0.20091838,0.5031925,39.38
23,1,0.15543402458189406,0.7505552740877337,0.5179591836734694,0.25244898,0.747551,0.25408855,0.1727551,0.7304044,33.86
23,2,0.48976643371132134,0.9011572010295723,0.6561224489795918,0.28489795,0.7151021,0.46411765,0.26867345,0.5307527,52.66
23,3,0.18673078574195182,0.8015309503577402,0.5414285714285715,0.32408166,0.67591834,0.3537551,0.2522449,0.63923526,49.44
24,0,0.26773248819548845,0.8904417833626819,0.5859183673469388,0.20081633,0.79918367,0.50687915,0.20091838,0.49083188,39.38
24,1,0.22118257377140627,0.7741382969342682,0.5408163265306122,0.22959183,0.77040815,0.30338845,0.1727551,0.6801555,33.86
24,2,0.405601287762274,0.9001807010973073,0.6302040816326531,0.29204082,0.70795923,0.464614,0.26867345,0.5354337,52.66
24,3,0.1073941142251512,0.7771361703927903,0.5022448979591837,0.31244898,0.687551,0.3732578,0.2522449,0.6177071,49.44
25,0,0.2569888037995362,0.9409379067022295,0.5808163265306123,0.20428571,0.79571426,0.48960155,0.20091838,0.5070997,39.38
25,1,0.2276463435042115,0.7753522938265505,0.5528571428571428,0.23836735,0.7616327,0.30155185,0.1727551,0.6873539,33.86
25,2,0.3988715504944656,0.914542629234435,0.6234693877551021,0.29102042,0.70897955,0.46062973,0.26867345,0.5361142,52.66
25,3,0.2509871303460861,0.8087755898923412,0.566734693877551,0.3144898,0.68551016,0.35724297,0.2522449,0.6308448,49.44
26,0,0.31189889153630995,0.9311805178143103,0.5997959183673469,0.20061225,0.79938775,0.4972916,0.20091838,0.5004096,39.38
26,1,0.18520765963550592,0.6726753101865502,0.5414285714285714,0.22265306,0.77734697,0.32990342,0.1727551,0.66153395,33.86
26,2,0.4618369100080485,0.8961718397628478,0.6444897959183673,0.29857144,0.7014286,0.44459543,0.26867345,0.5491118,52.66
26,3,0.15011240825889122,0.640732813234626,0.5395918367346939,0.2865306,0.7134694,0.40439856,0.2522449,0.58989626,49.44
27,0,0.17831003514252244,0.7821870283451139,0.5593877551020409,0.19897959,0.80102044,0.50723463,0.20091838,0.4949044,39.38
27,1,0.2915565992224765,0.7844049980326612,0.5759183673469388,0.22040817,0.7795918,0.32426196,0.1727551,0.6670576,33.86
27,2,0.2617292671070771,0.727820414538326,0.5802040816326531,0.31040815,0.6895918,0.42930588,0.26867345,0.5638956,52.66
27,3,0.29810864697304146,0.7213143144020592,0.5808163265306122,0.32122448,0.6787755,0.3354265,0.2522449,0.65126425,49.44
28,0,0.07763252556000926,0.8418417869295317,0.5187755102040816,0.21142857,0.7885714,0.46979126,0.20091838,0.5253219,39.38
28,1,0.41929590641410797,0.6591729022444597,0.6506122448979592,0.18387754,0.8161224,0.44482926,0.1727551,0.5503472,33.86
28,2,0.060526994397915354,0.7939321215405335,0.5118367346938776,0.35204083,0.64795923,0.34444687,0.26867345,0.6393396,52.66
28,3,0.530514840137838,0.6682108240091037,0.7085714285714286,0.29877552,0.7012245,0.37232292,0.2522449,0.6155843,49.44
29,0,0.21773280667887712,0.7281838316038461,0.5661224489795919,0.20142856,0.7985714,0.5029416,0.20091838,0.49499863,39.38
29,1,0.1985024078385867,0.5315838274135467,0.5326530612244897,0.20367348,0.7963265,0.38214356,0.1727551,0.6160415,33.86
29,2,0.3347229478280965,0.6586489971232539,0.6012244897959184,0.322449,0.67755103,0.41605076,0.26867345,0.57515854,52.66
29,3,0.1494388193387468,0.48621306870207703,0.5226530612244897,0.31,0.69,0.35881448,0.2522449,0.6295479,49.44
30,0,0.18993122903202672,0.8306861229271375,0.556734693877551,0.21102041,0.7889796,0.47219872,0.20091838,0.52485067,39.38
30,1,0.38330846528380974,0.7554351292861052,0.6073469387755103,0.19224489,0.8077551,0.41948172,0.1727551,0.5804298,33.86
30,2,0.23749836240626668,0.8541465148339695,0.5661224489795919,0.34367347,0.65632653,0.36104774,0.26867345,0.6296137,52.66
30,3,0.45154292399993456,0.7259624083963354,0.6395918367346939,0.31714284,0.68285716,0.3555715,0.2522449,0.63242966,49.44
31,0,0.3174471387930416,0.84274940433026,0.5979591836734693,0.20714287,0.7928571,0.49008483,0.20091838,0.5075767,39.38
31,1,0.42628080548892733,0.8664500314768625,0.6226530612244897,0.18693878,0.81306124,0.446478,0.1727551,0.55481005,33.86
31,2,0.4092785184358788,0.8426490927491653,0.6204081632653061,0.32510203,0.6748979,0.39650968,0.26867345,0.5973184,52.66
31,3,0.4743132242935947,0.8404507292696493,0.6461224489795918,0.27857143,0.72142863,0.42165375,0.2522449,0.5708593,49.44
32,0,0.43647650391667797,0.8711550175712612,0.6416326530612245,0.20857143,0.7914285,0.48520446,0.20091838,0.5134312,39.38
32,1,0.4603783279809386,0.7897719800141846,0.6469387755102041,0.20183674,0.7981633,0.39513823,0.1727551,0.6030393,33.86
32,2,0.5509317310680618,0.8378719090916336,0.6830612244897959,0.30061224,0.6993877,0.43447858,0.26867345,0.5584485,52.66
32,3,0.4390272932288886,0.7465838831504767,0.6285714285714286,0.30938777,0.69061226,0.36644372,0.2522449,0.6260438,49.44
33,0,0.387261576711903,0.9026001322825108,0.6257142857142857,0.21204083,0.7879592,0.47410634,0.20091838,0.52316046,39.38
33,1,0.35776573245463744,0.8412967192343552,0.5855102040816327,0.1932653,0.8067347,0.41331944,0.1727551,0.58446455,33.86
33,2,0.49097827461525334,0.8842908217576517,0.6528571428571429,0.30285713,0.69714284,0.43602017,0.26867345,0.55602443,52.66
33,3,0.33240166070332855,0.8476893432890532,0.5844897959183674,0.32755104,0.67244893,0.32934797,0.2522449,0.6601004,49.44
34,0,0.3837995999649372,0.9030176987624414,0.626938775510204,0.20714284,0.7928571,0.49170205,0.20091838,0.50643885,39.38
34,1,0.40222193180278754,0.8195121165998613,0.6134693877551021,0.21714285,0.7828571,0.35379004,0.1727551,0.6369895,33.86
34,2,0.5005188343201395,0.8888630634745794,0.6581632653061225,0.30612245,0.6938776,0.42657474,0.26867345,0.567195,52.66
34,3,0.33679767781996645,0.8452413250072343,0.5822448979591837,0.3242857,0.67571425,0.34295154,0.2522449,0.649531,49.44
35,0,0.2834682561818167,0.906612627401605,0.5851020408163266,0.21857144,0.7814286,0.45421627,0.20091838,0.5387558,39.38
35,1,0.31617087023215257,0.8861090813857586,0.573469387755102,0.21285716,0.7871429,0.36306146,0.1727551,0.6304909,33.86
35,2,0.4386958219445529,0.924677892086159,0.6385714285714286,0.32081634,0.67918366,0.40264145,0.26867345,0.58994627,52.66
35,3,0.23852334467562894,0.917563665728267,0.5412244897959184,0.3240816,0.67591834,0.34528136,0.2522449,0.6486051,49.44
36,0,0.40169079361537663,0.8184955175354015,0.6310204081632653,0.21857144,0.7814286,0.4651063,0.20091838,0.5368236,39.38
36,1,0.429085226593566,0.8230391075496678,0.6326530612244898,0.18979591,0.8102041,0.423303,0.1727551,0.57503927,33.86
36,2,0.4762822239399469,0.8232319326793583,0.6487755102040816,0.3122449,0.6877551,0.4132652,0.26867345,0.57893896,52.66
36,3,0.4196081887655492,0.8130273729171481,0.6322448979591837,0.2955102,0.7044898,0.3906967,0.2522449,0.60489917,49.44
37,0,0.3522371841356613,0.9411711624126418,0.6108163265306122,0.21734694,0.78265303,0.46268886,0.20091838,0.5356848,39.38
37,1,0.4416253536166516,0.9025607981576074,0.6328571428571429,0.20244898,0.79755104,0.39083138,0.1727551,0.6026607,33.86
37,2,0.4595664002422523,0.934228274988246,0.6375510204081632,0.32081634,0.67918366,0.4006583,0.26867345,0.59046626,52.66
37,3,0.41568245822343,0.8759379706587828,0.6202040816326531,0.30938777,0.69061226,0.36858523,0.2522449,0.6249583,49.44
38,0,0.28109791296448294,0.8277266055192087,0.59,0.2112245,0.7887755,0.47196242,0.20091838,0.52735215,39.38
38,1,0.4475752934520157,0.8935200376128585,0.6302040816326531,0.21836735,0.7816326,0.346117,0.1727551,0.64962476,33.86
38,2,0.2913412330961279,0.7902600227908423,0.5826530612244898,0.32857144,0.6714286,0.38311663,0.26867345,0.6097914,52.66
38,3,0.436927125086661,0.867031277641865,0.6306122448979592,0.30734694,0.69265306,0.38015556,0.2522449,0.61321956,49.44
39,0,0.41192687805305644,0.7837199117054086,0.6361224489795919,0.21693878,0.7830612,0.4601778,0.20091838,0.5384108,39.38
39,1,0.34579878714469,0.7890011395421113,0.5840816326530612,0.23918368,0.76081634,0.2967635,0.1727551,0.6913988,33.86
39,2,0.5008311485468846,0.7425425336085234,0.6589795918367346,0.29816326,0.7018367,0.44492257,0.26867345,0.5491178,52.66
39,3,0.3441992206488218,0.8246434030074349,0.5861224489795919,0.31938776,0.68061227,0.34441102,0.2522449,0.64741325,49.44
40,0,0.3308584497445991,0.8479031309517169,0.6116326530612245,0.20081633,0.79918367,0.5049653,0.20091838,0.49910858,39.38
40,1,0.52047242387779,0.6799830742136761,0.6761224489795918,0.19959183,0.8004082,0.3953534,0.1727551,0.6034213,33.86
40,2,0.4347157758847389,0.8663444285953351,0.6359183673469387,0.28183675,0.71816325,0.4822619,0.26867345,0.51794153,52.66
40,3,0.47575663205539925,0.7422984962825427,0.6620408163265306,0.2865306,0.7134694,0.40416786,0.2522449,0.590611,49.44
41,0,0.417583533218051,0.8276955270979927,0.6377551020408163,0.2132653,0.7867347,0.4751735,0.20091838,0.5236795,39.38
41,1,0.4673892554621134,0.7759220233737832,0.6446938775510205,0.20612246,0.79387754,0.38748908,0.1727551,0.61011565,33.86
41,2,0.48682211189825403,0.8254271848528556,0.6546938775510204,0.30204082,0.6979592,0.43311095,0.26867345,0.5620554,52.66
