epoch,mask_method,group,count,sum
0,foreground_rescue_10,0,50,15
0,foreground_rescue_10,1,50,30
0,foreground_rescue_10,2,50,24
0,foreground_rescue_10,3,50,18
0,foreground_rescue_20,0,50,15
0,foreground_rescue_20,1,50,30
0,foreground_rescue_20,2,50,24
0,foreground_rescue_20,3,50,18
0,foreground_rescue_5,0,50,15
0,foreground_rescue_5,1,50,30
0,foreground_rescue_5,2,50,24
0,foreground_rescue_5,3,50,18
0,random,0,50,15
0,random,1,50,30
0,random,2,50,24
0,random,3,50,18
0,random_rescue_10,0,50,15
0,random_rescue_10,1,50,30
0,random_rescue_10,2,50,24
0,random_rescue_10,3,50,18
0,random_rescue_20,0,50,15
0,random_rescue_20,1,50,30
0,random_rescue_20,2,50,24
0,random_rescue_20,3,50,18
0,random_rescue_5,0,50,15
0,random_rescue_5,1,50,30
0,random_rescue_5,2,50,24
0,random_rescue_5,3,50,18
0,student,0,50,15
0,student,1,50,30
0,student,2,50,24
0,student,3,50,18
5,foreground_rescue_10,0,50,4
5,foreground_rescue_10,1,50,34
5,foreground_rescue_10,2,50,39
5,foreground_rescue_10,3,50,12
5,foreground_rescue_20,0,50,4
5,foreground_rescue_20,1,50,34
5,foreground_rescue_20,2,50,39
5,foreground_rescue_20,3,50,12
5,foreground_rescue_5,0,50,4
5,foreground_rescue_5,1,50,34
5,foreground_rescue_5,2,50,39
5,foreground_rescue_5,3,50,12
5,random,0,50,4
5,random,1,50,34
5,random,2,50,39
5,random,3,50,12
5,random_rescue_10,0,50,4
5,random_rescue_10,1,50,34
5,random_rescue_10,2,50,39
5,random_rescue_10,3,50,12
5,random_rescue_20,0,50,4
5,random_rescue_20,1,50,34
5,random_rescue_20,2,50,39
5,random_rescue_20,3,50,12
5,random_rescue_5,0,50,4
5,random_rescue_5,1,50,34
5,random_rescue_5,2,50,39
5,random_rescue_5,3,50,12
5,student,0,50,4
5,student,1,50,34
5,student,2,50,39
5,student,3,50,12
10,foreground_rescue_10,0,50,4
10,foreground_rescue_10,1,50,31
10,foreground_rescue_10,2,50,38
10,foreground_rescue_10,3,50,9
10,foreground_rescue_20,0,50,4
10,foreground_rescue_20,1,50,31
10,foreground_rescue_20,2,50,38
10,foreground_rescue_20,3,50,9
10,foreground_rescue_5,0,50,4
10,foreground_rescue_5,1,50,31
10,foreground_rescue_5,2,50,38
10,foreground_rescue_5,3,50,9
10,random,0,50,4
10,random,1,50,31
10,random,2,50,38
10,random,3,50,9
10,random_rescue_10,0,50,4
10,random_rescue_10,1,50,31
10,random_rescue_10,2,50,38
10,random_rescue_10,3,50,9
10,random_rescue_20,0,50,4
10,random_rescue_20,1,50,31
10,random_rescue_20,2,50,38
10,random_rescue_20,3,50,9
10,random_rescue_5,0,50,4
10,random_rescue_5,1,50,31
10,random_rescue_5,2,50,38
10,random_rescue_5,3,50,9
10,student,0,50,4
10,student,1,50,31
10,student,2,50,38
10,student,3,50,9
20,foreground_rescue_10,0,50,4
20,foreground_rescue_10,1,50,32
20,foreground_rescue_10,2,50,39
20,foreground_rescue_10,3,50,7
20,foreground_rescue_20,0,50,4
20,foreground_rescue_20,1,50,32
20,foreground_rescue_20,2,50,39
20,foreground_rescue_20,3,50,7
20,foreground_rescue_5,0,50,4
20,foreground_rescue_5,1,50,32
20,foreground_rescue_5,2,50,39
20,foreground_rescue_5,3,50,7
20,random,0,50,4
20,random,1,50,32
20,random,2,50,39
20,random,3,50,7
20,random_rescue_10,0,50,4
20,random_rescue_10,1,50,32
20,random_rescue_10,2,50,39
20,random_rescue_10,3,50,7
20,random_rescue_20,0,50,4
20,random_rescue_20,1,50,32
20,random_rescue_20,2,50,39
20,random_rescue_20,3,50,7
20,random_rescue_5,0,50,4
20,random_rescue_5,1,50,32
20,random_rescue_5,2,50,39
20,random_rescue_5,3,50,7
20,student,0,50,4
20,student,1,50,32
20,student,2,50,39
20,student,3,50,7
40,foreground_rescue_10,0,50,4
40,foreground_rescue_10,1,50,35
40,foreground_rescue_10,2,50,37
40,foreground_rescue_10,3,50,6
40,foreground_rescue_20,0,50,4
40,foreground_rescue_20,1,50,35
40,foreground_rescue_20,2,50,37
40,foreground_rescue_20,3,50,6
40,foreground_rescue_5,0,50,4
40,foreground_rescue_5,1,50,35
40,foreground_rescue_5,2,50,37
40,foreground_rescue_5,3,50,6
40,random,0,50,4
40,random,1,50,35
40,random,2,50,37
40,random,3,50,6
40,random_rescue_10,0,50,4
40,random_rescue_10,1,50,35
40,random_rescue_10,2,50,37
40,random_rescue_10,3,50,6
40,random_rescue_20,0,50,4
40,random_rescue_20,1,50,35
40,random_rescue_20,2,50,37
40,random_rescue_20,3,50,6
40,random_rescue_5,0,50,4
40,random_rescue_5,1,50,35
40,random_rescue_5,2,50,37
40,random_rescue_5,3,50,6
40,student,0,50,4
40,student,1,50,35
40,student,2,50,37
40,student,3,50,6
60,foreground_rescue_10,0,50,4
60,foreground_rescue_10,1,50,25
60,foreground_rescue_10,2,50,38
60,foreground_rescue_10,3,50,10
60,foreground_rescue_20,0,50,4
60,foreground_rescue_20,1,50,25
60,foreground_rescue_20,2,50,38
60,foreground_rescue_20,3,50,10
60,foreground_rescue_5,0,50,4
60,foreground_rescue_5,1,50,25
60,foreground_rescue_5,2,50,38
60,foreground_rescue_5,3,50,10
60,random,0,50,4
60,random,1,50,25
60,random,2,50,38
60,random,3,50,10
60,random_rescue_10,0,50,4
60,random_rescue_10,1,50,25
60,random_rescue_10,2,50,38
60,random_rescue_10,3,50,10
60,random_rescue_20,0,50,4
60,random_rescue_20,1,50,25
60,random_rescue_20,2,50,38
60,random_rescue_20,3,50,10
60,random_rescue_5,0,50,4
60,random_rescue_5,1,50,25
60,random_rescue_5,2,50,38
60,random_rescue_5,3,50,10
