epoch,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,0.04274765882930162,,0.5188265306122449,0.21362245,0.78637755,0.5261516,0.22364795,0.47468933,43.835
1,0.1845794212666724,0.256947681961253,0.5887244897959184,0.21234694,0.787653,0.5476295,0.22364795,0.46011326,43.835
2,0.23811986536189944,0.9020533883322835,0.6078061224489796,0.21306121,0.7869388,0.5398608,0.22364795,0.46763027,43.835
3,0.11277664623118679,0.659662200860667,0.5571938775510205,0.260051,0.739949,0.41074142,0.22364795,0.58656275,43.835
4,0.029300105434744685,0.8450000072136329,0.5132142857142857,0.27229592,0.7277041,0.3771223,0.22364795,0.61725026,43.835
5,0.13749175624955176,0.880082419341472,0.552704081632653,0.26112247,0.73887753,0.40361488,0.22364795,0.5950072,43.835
6,0.15147056714134308,0.8814168811608986,0.5577040816326531,0.26045918,0.7395408,0.40652075,0.22364795,0.59055305,43.835
7,0.1470178262636566,0.8654816358405916,0.554234693877551,0.2665306,0.73346937,0.3916039,0.22364795,0.6042261,43.835
8,0.37863968505623774,0.6738704004968361,0.6595918367346938,0.22969387,0.7703061,0.4859762,0.22364795,0.5158612,43.835
9,0.260278762085022,0.675527308365129,0.5882142857142857,0.25637755,0.7436224,0.40961087,0.22364795,0.58654505,43.835
10,0.3832361378793481,0.7683250433185925,0.6472448979591837,0.23994897,0.760051,0.45049828,0.22364795,0.55016375,43.835
11,0.23356201740706697,0.7398066424726762,0.5821938775510204,0.25816327,0.7418367,0.4083624,0.22364795,0.58864367,43.835
12,0.3542963845436652,0.7516683550786125,0.629234693877551,0.24515307,0.75484693,0.44029817,0.22364795,0.5580254,43.835
13,0.32098112732243045,0.7589939095846124,0.6158673469387755,0.25030613,0.74969393,0.42539266,0.22364795,0.5684273,43.835
14,0.2991781590418284,0.7342253522198808,0.6054081632653061,0.24581632,0.75418365,0.4460517,0.22364795,0.5521494,43.835
15,0.2883846074157894,0.8075486058538995,0.5964795918367347,0.25418368,0.74581635,0.4198155,0.22364795,0.57422864,43.835
16,0.22908890539391255,0.8089605880411846,0.5703571428571429,0.25341836,0.7465817,0.42633808,0.22364795,0.5664796,43.835
17,0.2538459705631569,0.7942469557276551,0.5869897959183673,0.25857145,0.7414286,0.41196528,0.22364795,0.5823779,43.835
18,0.21111019292527633,0.8522142657922208,0.5598979591836735,0.26413265,0.7358673,0.40425873,0.22364795,0.5895486,43.835
19,0.3431203133342365,0.8186081489214194,0.6174489795918368,0.25418368,0.74581635,0.42292184,0.22364795,0.5694089,43.835
20,0.21709863015881872,0.7116885623441098,0.5566326530612244,0.25887755,0.7411224,0.41469494,0.22364795,0.5785525,43.835
21,0.2748612924647209,0.7907443956763687,0.5886734693877551,0.24505103,0.754949,0.445274,0.22364795,0.55064225,43.835
22,0.3146631389009286,0.7750361865614598,0.5880102040816326,0.24418367,0.75581634,0.44030663,0.22364795,0.5536741,43.835
23,0.3144136936305174,0.8935874397602492,0.5945408163265307,0.24785715,0.75214285,0.4386871,0.22364795,0.5548087,43.835
24,0.2758742475335647,0.8864397028963347,0.5794897959183674,0.25086734,0.74913263,0.43069217,0.22364795,0.56235796,43.835
25,0.3384493990459023,0.8809325427443117,0.606530612244898,0.24765307,0.75234693,0.43612802,0.22364795,0.5580293,43.835
26,0.3103520367800279,0.6870672819852507,0.6047959183673469,0.23709182,0.76290816,0.45951417,0.22364795,0.53630877,43.835
27,0.3642809887719243,0.7877951967176459,0.6250510204081633,0.2472449,0.7527551,0.44223693,0.22364795,0.55332434,43.835
28,0.24842780642127996,0.6787044760895377,0.5851020408163266,0.265,0.735,0.39691487,0.22364795,0.5978098,43.835
29,0.38303330172365707,0.6093269131158906,0.6339795918367347,0.2542347,0.7457653,0.42760247,0.22364795,0.567474,43.835
30,0.28187753508275626,0.8174976213054531,0.5833163265306123,0.26209185,0.7379082,0.40550318,0.22364795,0.58665305,43.835
31,0.3074019495661011,0.8964241853761935,0.5946428571428571,0.26010203,0.7398979,0.4087853,0.22364795,0.58351237,43.835
32,0.28944310627414827,0.830729678704507,0.5800510204081633,0.25469387,0.7453061,0.4183841,0.22364795,0.57383597,43.835
33,0.34561654541358217,0.8822913978571073,0.6067346938775511,0.2537245,0.7462755,0.42130637,0.22364795,0.5735484,43.835
34,0.5403881615121644,0.770361863094895,0.6970918367346939,0.24443878,0.75556123,0.44502082,0.22364795,0.5499165,43.835
35,0.5494000031875304,0.872420706197356,0.699795918367347,0.24586734,0.7541326,0.44474986,0.22364795,0.5479708,43.835
36,0.5127455314808469,0.7471274534022903,0.6903061224489795,0.24193878,0.75806123,0.45368922,0.22364795,0.5424988,43.835
37,0.46915498318060966,0.7471432846953187,0.6605612244897959,0.24535716,0.75464284,0.43957326,0.22364795,0.55654895,43.835
38,0.46952508219983946,0.7383919849878459,0.6729081632653062,0.2586735,0.7413265,0.4144528,0.22364795,0.58135223,43.835
39,0.4582831323861056,0.7650873193912705,0.6538265306122448,0.25734693,0.7426531,0.41679436,0.22364795,0.57676995,43.835
40,0.598054618333081,0.7965279267505518,0.7261734693877551,0.23729591,0.7627041,0.46102524,0.22364795,0.5355271,43.835
41,0.4938930822621903,0.8012129031229829,0.6682653061224489,0.25418368,0.74581635,0.4214946,0.22364795,0.57326,43.835
42,0.5213463466973708,0.8871571870190573,0.6828061224489795,0.2530612,0.74693877,0.4265586,0.22364795,0.5691771,43.835
43,0.5435140355752273,0.8115260971376443,0.6954081632653062,0.23571429,0.76428574,0.46135533,0.22364795,0.5369404,43.835
44,0.4509450596727853,0.834270488454871,0.6526530612244897,0.2514796,0.74852043,0.43254912,0.22364795,0.5649708,43.835
45,0.5764788869860147,0.7793320568824279,0.7112755102040816,0.24086735,0.7591326,0.4508453,0.22364795,0.54761845,43.835
46,0.5985581968214734,0.887351050650144,0.7179591836734694,0.24188776,0.75811225,0.4459332,0.22364795,0.54910886,43.835
47,0.5848766505430755,0.8652259655055528,0.7070408163265306,0.24852042,0.75147957,0.4358214,0.22364795,0.56168485,43.835
48,0.4328287658679247,0.7914088804596419,0.6437244897959183,0.25841838,0.7415817,0.40948063,0.22364795,0.5847486,43.835
49,0.5721199627058945,0.8144027843077879,0.6998979591836735,0.25219387,0.7478061,0.42847902,0.22364795,0.56751436,43.835
50,0.5254264676585199,0.9186473316386297,0.6805102040816327,0.25857145,0.7414286,0.41230172,0.22364795,0.58086526,43.835
51,0.47255299667699957,0.8738926678832408,0.6520918367346938,0.25392857,0.7460714,0.42403394,0.22364795,0.5714375,43.835
52,0.5640859597255536,0.9091967184374726,0.6984183673469387,0.25301018,0.74698985,0.423246,0.22364795,0.5711803,43.835
53,0.7247508564654888,0.8248989800479005,0.7798979591836734,0.24438776,0.75561225,0.44124404,0.22364795,0.5551596,43.835
54,0.6024657539704675,0.8615842640754279,0.7094897959183674,0.25392857,0.7460714,0.42289975,0.22364795,0.57335365,43.835
55,0.7102989903497517,0.9043873088477875,0.7639285714285714,0.24530613,0.7546939,0.4409178,0.22364795,0.5564557,43.835
56,0.6957646965072635,0.9141388089792731,0.7615306122448979,0.23918368,0.76081634,0.45432967,0.22364795,0.54307145,43.835
57,0.6732636167313469,0.8721989497087393,0.7459183673469387,0.24535716,0.75464284,0.43990684,0.22364795,0.55843216,43.835
58,0.7784027953618218,0.8398976512849136,0.8148979591836735,0.23086734,0.7691326,0.4696704,0.22364795,0.52879083,43.835
59,0.7521914430746918,0.9010577535031105,0.7942346938775511,0.22719388,0.7728061,0.48000214,0.22364795,0.51917,43.835
60,0.8033095251376615,0.8940619416841317,0.8284693877551021,0.2180102,0.7819898,0.5026227,0.22364795,0.49589747,43.835
61,0.7355755086103164,0.8489193156372272,0.7739285714285714,0.24408163,0.7559183,0.4418599,0.22364795,0.5541985,43.835
62,0.712747555562639,0.8476197834073106,0.763061224489796,0.23969387,0.7603061,0.45316696,0.22364795,0.5450131,43.835
63,0.7129155782578553,0.8270182167361283,0.7681632653061224,0.24428572,0.75571424,0.44630298,0.22364795,0.54977894,43.835
64,0.7679155304448996,0.9242426905943947,0.8020408163265306,0.24102041,0.75897956,0.44954598,0.22364795,0.54730433,43.835
65,0.8101438259476877,0.9026394956217597,0.8269897959183673,0.23229592,0.76770407,0.47330177,0.22364795,0.524129,43.835
66,0.8033061360144178,0.9532837853879638,0.822704081632653,0.23719387,0.7628061,0.45910212,0.22364795,0.53691316,43.835
67,0.8172669410566671,0.9163051936503753,0.8282142857142857,0.23709184,0.76290816,0.4555925,0.22364795,0.5402504,43.835
68,0.7992330961279476,0.9139075515967581,0.8083163265306123,0.23928572,0.7607143,0.44964135,0.22364795,0.5477853,43.835
69,0.8350227350604436,0.9270360748750887,0.8381122448979592,0.23510204,0.76489794,0.46160293,0.22364795,0.5357817,43.835
70,0.8619363866929524,0.94500266752597,0.8576020408163265,0.23147959,0.7685204,0.4709094,0.22364795,0.5266846,43.835
71,0.8933290726677238,0.9460569272874555,0.8796428571428571,0.22647959,0.7735204,0.4844682,0.22364795,0.51660544,43.835
72,0.9082271832590905,0.9557481213492817,0.8887244897959183,0.22433674,0.7756633,0.4865495,0.22364795,0.5123131,43.835
73,0.8743473349287092,0.9499703539109842,0.8675,0.23255102,0.76744896,0.4693228,0.22364795,0.5296635,43.835
74,0.8959539800301222,0.96504993459934,0.8816326530612245,0.22556122,0.7744388,0.48508382,0.22364795,0.514824,43.835
75,0.9161515511319718,0.9600114751093721,0.8913775510204082,0.23168367,0.7683163,0.46738437,0.22364795,0.5309507,43.835
76,0.9213943771964077,0.9583466837730797,0.9023979591836735,0.22642857,0.7735714,0.48126644,0.22364795,0.518577,43.835
77,0.9427105483349137,0.9688280805488927,0.919795918367347,0.22209185,0.77790815,0.49026567,0.22364795,0.50904775,43.835
78,0.9225479603789973,0.9315477213142188,0.903061224489796,0.22892857,0.7710714,0.46967632,0.22364795,0.52854425,43.835
79,0.9559360501717282,0.947280518611193,0.9298469387755103,0.22382653,0.7761735,0.48618194,0.22364795,0.51259744,43.835
80,0.9568019746750711,0.9763723354238221,0.9346428571428571,0.22112246,0.77887756,0.4907671,0.22364795,0.5083069,43.835
81,0.9600094510275801,0.9456877495238626,0.9319897959183673,0.2277041,0.7722959,0.4764263,0.22364795,0.52043307,43.835
82,0.9781069097689837,0.9786334340061679,0.951734693877551,0.22520408,0.7747959,0.48179242,0.22364795,0.5168501,43.835
83,0.9700164795320706,0.983594028161831,0.9501530612244897,0.22454083,0.77545923,0.48390892,0.22364795,0.5150328,43.835
84,0.970354413534254,0.9865865374654352,0.9418367346938775,0.2282653,0.7717347,0.47564152,0.22364795,0.52268434,43.835
85,0.9873231518300409,0.9761200902071099,0.9646428571428571,0.22290817,0.7770918,0.4836743,0.22364795,0.5140367,43.835
86,0.9843277896867454,0.9873568759014735,0.9589285714285714,0.22545917,0.7745408,0.47922295,0.22364795,0.51801515,43.835
