epoch,mask_method,group,count,sum
0,foreground_rescue_10,0,50,15
0,foreground_rescue_10,1,50,30
0,foreground_rescue_10,2,50,24
0,foreground_rescue_10,3,50,18
0,foreground_rescue_20,0,50,15
0,foreground_rescue_20,1,50,30
0,foreground_rescue_20,2,50,24
0,foreground_rescue_20,3,50,18
0,foreground_rescue_5,0,50,15
0,foreground_rescue_5,1,50,30
0,foreground_rescue_5,2,50,24
0,foreground_rescue_5,3,50,18
0,random,0,50,15
0,random,1,50,30
0,random,2,50,24
0,random,3,50,18
0,random_rescue_10,0,50,15
0,random_rescue_10,1,50,30
0,random_rescue_10,2,50,24
0,random_rescue_10,3,50,18
0,random_rescue_20,0,50,15
0,random_rescue_20,1,50,30
0,random_rescue_20,2,50,24
0,random_rescue_20,3,50,18
0,random_rescue_5,0,50,15
0,random_rescue_5,1,50,30
0,random_rescue_5,2,50,24
0,random_rescue_5,3,50,18
0,student,0,50,15
0,student,1,50,30
0,student,2,50,24
0,student,3,50,18
5,foreground_rescue_10,0,50,6
5,foreground_rescue_10,1,50,35
5,foreground_rescue_10,2,50,39
5,foreground_rescue_10,3,50,11
5,foreground_rescue_20,0,50,6
5,foreground_rescue_20,1,50,35
5,foreground_rescue_20,2,50,39
5,foreground_rescue_20,3,50,11
5,foreground_rescue_5,0,50,6
5,foreground_rescue_5,1,50,35
5,foreground_rescue_5,2,50,39
5,foreground_rescue_5,3,50,11
5,random,0,50,6
5,random,1,50,35
5,random,2,50,39
5,random,3,50,11
5,random_rescue_10,0,50,6
5,random_rescue_10,1,50,35
5,random_rescue_10,2,50,39
5,random_rescue_10,3,50,11
5,random_rescue_20,0,50,6
5,random_rescue_20,1,50,35
5,random_rescue_20,2,50,39
5,random_rescue_20,3,50,11
5,random_rescue_5,0,50,6
5,random_rescue_5,1,50,35
5,random_rescue_5,2,50,39
5,random_rescue_5,3,50,11
5,student,0,50,6
5,student,1,50,35
5,student,2,50,39
5,student,3,50,11
10,foreground_rescue_10,0,50,3
10,foreground_rescue_10,1,50,30
10,foreground_rescue_10,2,50,38
10,foreground_rescue_10,3,50,14
10,foreground_rescue_20,0,50,3
10,foreground_rescue_20,1,50,30
10,foreground_rescue_20,2,50,38
10,foreground_rescue_20,3,50,14
10,foreground_rescue_5,0,50,3
10,foreground_rescue_5,1,50,30
10,foreground_rescue_5,2,50,38
10,foreground_rescue_5,3,50,14
10,random,0,50,3
10,random,1,50,30
10,random,2,50,38
10,random,3,50,14
10,random_rescue_10,0,50,3
10,random_rescue_10,1,50,30
10,random_rescue_10,2,50,38
10,random_rescue_10,3,50,14
10,random_rescue_20,0,50,3
10,random_rescue_20,1,50,30
10,random_rescue_20,2,50,38
10,random_rescue_20,3,50,14
10,random_rescue_5,0,50,3
10,random_rescue_5,1,50,30
10,random_rescue_5,2,50,38
10,random_rescue_5,3,50,14
10,student,0,50,3
10,student,1,50,30
10,student,2,50,38
10,student,3,50,14
20,foreground_rescue_10,0,50,5
20,foreground_rescue_10,1,50,35
20,foreground_rescue_10,2,50,37
20,foreground_rescue_10,3,50,5
20,foreground_rescue_20,0,50,5
20,foreground_rescue_20,1,50,35
20,foreground_rescue_20,2,50,37
20,foreground_rescue_20,3,50,5
20,foreground_rescue_5,0,50,5
20,foreground_rescue_5,1,50,35
20,foreground_rescue_5,2,50,37
20,foreground_rescue_5,3,50,5
20,random,0,50,5
20,random,1,50,35
20,random,2,50,37
20,random,3,50,5
20,random_rescue_10,0,50,5
20,random_rescue_10,1,50,35
20,random_rescue_10,2,50,37
20,random_rescue_10,3,50,5
20,random_rescue_20,0,50,5
20,random_rescue_20,1,50,35
20,random_rescue_20,2,50,37
20,random_rescue_20,3,50,5
20,random_rescue_5,0,50,5
20,random_rescue_5,1,50,35
20,random_rescue_5,2,50,37
20,random_rescue_5,3,50,5
20,student,0,50,5
20,student,1,50,35
20,student,2,50,37
20,student,3,50,5
40,foreground_rescue_10,0,50,4
40,foreground_rescue_10,1,50,35
40,foreground_rescue_10,2,50,35
40,foreground_rescue_10,3,50,5
40,foreground_rescue_20,0,50,4
40,foreground_rescue_20,1,50,35
40,foreground_rescue_20,2,50,35
40,foreground_rescue_20,3,50,5
40,foreground_rescue_5,0,50,4
40,foreground_rescue_5,1,50,35
40,foreground_rescue_5,2,50,35
40,foreground_rescue_5,3,50,5
40,random,0,50,4
40,random,1,50,35
40,random,2,50,35
40,random,3,50,5
40,random_rescue_10,0,50,4
40,random_rescue_10,1,50,35
40,random_rescue_10,2,50,35
40,random_rescue_10,3,50,5
40,random_rescue_20,0,50,4
40,random_rescue_20,1,50,35
40,random_rescue_20,2,50,35
40,random_rescue_20,3,50,5
40,random_rescue_5,0,50,4
40,random_rescue_5,1,50,35
40,random_rescue_5,2,50,35
40,random_rescue_5,3,50,5
40,student,0,50,4
40,student,1,50,35
40,student,2,50,35
40,student,3,50,5
60,foreground_rescue_10,0,50,4
60,foreground_rescue_10,1,50,26
60,foreground_rescue_10,2,50,38
60,foreground_rescue_10,3,50,10
60,foreground_rescue_20,0,50,4
60,foreground_rescue_20,1,50,26
60,foreground_rescue_20,2,50,38
60,foreground_rescue_20,3,50,10
60,foreground_rescue_5,0,50,4
60,foreground_rescue_5,1,50,26
60,foreground_rescue_5,2,50,38
60,foreground_rescue_5,3,50,10
60,random,0,50,4
60,random,1,50,26
60,random,2,50,38
60,random,3,50,10
60,random_rescue_10,0,50,4
60,random_rescue_10,1,50,26
60,random_rescue_10,2,50,38
60,random_rescue_10,3,50,10
60,random_rescue_20,0,50,4
60,random_rescue_20,1,50,26
60,random_rescue_20,2,50,38
60,random_rescue_20,3,50,10
60,random_rescue_5,0,50,4
60,random_rescue_5,1,50,26
60,random_rescue_5,2,50,38
60,random_rescue_5,3,50,10
