epoch,group,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,0,0.14602525876441133,,0.5438775510204081,0.1812245,0.8187755,0.55744624,0.20091838,0.44470075,39.38
0,1,0.04713099621392454,,0.5193877551020408,0.18979591,0.8102041,0.46810502,0.1727551,0.52411836,33.86
0,2,0.18699578404729833,,0.5702040816326531,0.23306122,0.7669388,0.5703695,0.26867345,0.44084287,52.66
0,3,0.0014655820270137226,,0.5071428571428571,0.25040817,0.7495918,0.5086858,0.2522449,0.48909545,49.44
1,0,0.15856663133820495,0.14855384929562318,0.5657142857142857,0.18489796,0.815102,0.56684977,0.20091838,0.4423423,39.38
1,1,0.36686283472821074,0.3498692566223101,0.6469387755102041,0.1355102,0.8644898,0.6342165,0.1727551,0.38610163,33.86
1,2,0.14790985664082112,0.1336774532501101,0.5648979591836735,0.30163264,0.6983673,0.46876267,0.26867345,0.5315425,52.66
1,3,0.3539883495764569,0.3983124654390211,0.650204081632653,0.22632653,0.7736735,0.52474123,0.2522449,0.47768775,49.44
2,0,0.17846829976063938,0.8835466928027713,0.5730612244897959,0.18877552,0.8112245,0.54176944,0.20091838,0.46638247,39.38
2,1,0.37497103331766135,0.9199295313768816,0.6569387755102041,0.1367347,0.8632653,0.63303834,0.1727551,0.38929787,33.86
2,2,0.16244309855877875,0.8842233784610986,0.5726530612244898,0.3055102,0.69448984,0.45130458,0.26867345,0.54786956,52.66
2,3,0.3438157607439696,0.9197329805799711,0.6510204081632653,0.22224489,0.77775514,0.5288656,0.2522449,0.47319302,49.44
3,0,0.0875697152738487,0.8761285763871314,0.5351020408163265,0.19632652,0.8036735,0.51548505,0.20091838,0.48614025,39.38
3,1,0.06340511120496617,0.4862959462582378,0.5259183673469388,0.21285716,0.7871429,0.362015,0.1727551,0.6351101,33.86
3,2,0.07532606045151369,0.908083509947555,0.5342857142857143,0.30510205,0.6948979,0.44487494,0.26867345,0.5519167,52.66
3,3,0.1446070014104822,0.5192911569938401,0.5614285714285715,0.30571428,0.69428575,0.3721661,0.2522449,0.622598,49.44
4,0,0.04683789017364072,0.9139030193881535,0.5085714285714286,0.19836734,0.8016327,0.497239,0.20091838,0.50488865,39.38
4,1,-0.13063997641227518,0.7245228187331161,0.433469387755102,0.24714287,0.75285715,0.24801464,0.1727551,0.7448995,33.86
4,2,0.06218358581230227,0.9240269665070245,0.523061224489796,0.32020408,0.6797959,0.41158623,0.26867345,0.58192235,52.66
4,3,-0.025402991497262706,0.6995271298679566,0.49387755102040815,0.32693878,0.6730612,0.3484338,0.2522449,0.6450689,49.44
5,0,0.012150897688243588,0.7746826893193826,0.5059183673469387,0.2044898,0.7955102,0.4813652,0.20091838,0.51464766,39.38
5,1,-0.03633341567786818,0.8002300759429113,0.47653061224489796,0.22897959,0.7710204,0.29717687,0.1727551,0.6985657,33.86
5,2,0.03593679127254182,0.7731585397923324,0.5044897959183673,0.3267347,0.6732653,0.39103958,0.26867345,0.59734493,52.66
