sample_id,group,epoch,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
30,2,0,0.2599446963478871,,0.6326530612244898,0.1122449,0.8877551,0.75,0.2244898,0.26402053,44
65,3,0,0.15460000478129557,,0.5714285714285714,0.20408164,0.79591835,0.5833334,0.24489796,0.39597484,48
123,2,0,0.04496808485205875,,0.47959183673469385,0.10204082,0.8979592,0.6153846,0.13265306,0.40557122,26
126,2,0,0.20735522635450118,,0.5612244897959183,0.05102041,0.9489796,0.5454545,0.05612245,0.5649892,11
152,2,0,0.1476240945421511,,0.5612244897959183,0.19387755,0.8061224,0.5681818,0.2244898,0.40740547,44
159,3,0,-0.2181131413908789,,0.41836734693877553,0.3265306,0.6734694,0.38461536,0.26530612,0.57460123,52
171,3,0,-0.2269840384416164,,0.5102040816326531,0.071428575,0.9285714,0.46153843,0.06632653,0.51190716,13
176,3,0,0.1880945740264087,,0.5306122448979592,0.2244898,0.7755102,0.5510204,0.25,0.41692117,49
241,2,0,0.07176246523599678,,0.47959183673469385,0.5,0.5,0.58823526,0.60714287,0.41565904,119
253,3,0,-0.09914972627082852,,0.4897959183673469,0.46938777,0.53061223,0.47126436,0.44387755,0.5199886,87
315,2,0,0.21373825594275195,,0.5816326530612245,0.5,0.5,0.4166667,0.42857143,0.57525873,84
317,3,0,0.27883718891695686,,0.6632653061224489,0.5714286,0.4285714,0.552,0.6377551,0.44692406,125
319,2,0,0.1008423049032186,,0.5714285714285714,0.14285715,0.85714287,0.67441857,0.21938775,0.33572412,43
399,2,0,0.43234227701232775,,0.6632653061224489,0.3265306,0.6734694,0.3469388,0.25,0.61106914,49
414,2,0,0.2447656766728558,,0.6224489795918368,0.2244898,0.7755102,0.5769231,0.26530612,0.4171485,52
416,2,0,-0.01902796261026863,,0.5204081632653061,0.1632653,0.8367347,0.48387098,0.15816326,0.5166385,31
573,1,0,0.3377156563523496,,0.6632653061224489,0.24489796,0.75510204,0.47826087,0.23469388,0.52340263,46
677,0,0,0.14805122361322506,,0.5306122448979592,0.20408164,0.79591835,0.4285714,0.17857143,0.556129,35
767,0,0,0.21423869821259234,,0.6224489795918368,0.08163265,0.9183673,0.6521739,0.11734694,0.35838947,23
815,1,0,-0.007948107005394896,,0.4489795918367347,0.10204082,0.8979592,0.52380955,0.10714286,0.47018597,21
1016,1,0,0.24303325391070132,,0.5510204081632653,0.21428572,0.78571427,0.72,0.38265306,0.27999383,75
1122,2,0,0.2503183545968172,,0.6530612244897959,0.20408164,0.79591835,0.5121951,0.20918368,0.46669766,41
1133,3,0,-0.3014192479022066,,0.3469387755102041,0.06122449,0.93877554,0.6666666,0.091836736,0.38923535,18
1172,2,0,0.16228673429543625,,0.5714285714285714,0.13265306,0.86734694,0.68292683,0.20918368,0.3458443,41
1187,0,0,0.15443744073185697,,0.5306122448979592,0.25510204,0.74489796,0.5192308,0.26530612,0.49852717,52
1262,2,0,0.08658766903872052,,0.5408163265306123,0.23469388,0.7653061,0.5660378,0.27040815,0.43735692,53
1285,2,0,0.17230354851819682,,0.5612244897959183,0.25510204,0.74489796,0.65753424,0.37244898,0.35247663,73
1317,3,0,0.31297245176868094,,0.6428571428571429,0.20408164,0.79591835,0.6666666,0.30612245,0.3249709,60
1330,3,0,0.21459738088494754,,0.6122448979591837,0.06122449,0.93877554,0.78571427,0.14285715,0.2804834,28
1382,2,0,0.06977344627815985,,0.4489795918367347,0.48979592,0.5102041,0.3766234,0.39285713,0.6052027,77
1471,0,0,0.23024010072596005,,0.5918367346938775,0.21428572,0.78571427,0.3,0.15306123,0.6428514,30
1715,1,0,0.02192861525711417,,0.5,0.091836736,0.90816325,0.18181819,0.05612245,0.72156274,11
1748,1,0,-0.2610109252603814,,0.3673469387755102,0.3265306,0.6734694,0.36,0.25510204,0.6227388,50
1793,1,0,0.6345528293316546,,0.826530612244898,0.24489796,0.75510204,0.41463417,0.20918368,0.5719457,41
1874,1,0,-0.1664783367466471,,0.3673469387755102,0.071428575,0.9285714,0.7407408,0.1377551,0.22919925,27
1980,0,0,0.4587860290543394,,0.6224489795918368,0.06122449,0.93877554,0.85365856,0.20918368,0.18268724,41
