epoch,mask_method,actual_swaps,full_teacher_correct,student_correct,correction_opportunity,kl,prediction_flip,gt_probability_drop,gt_probability,correct,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,foreground_rescue_10,9.47,0.91,0.51,0.435,0.090592235,0.055,0.0389555,0.8310665,0.885,0.21456106,0.09279848,0.3102551,0.6897449,0.24358717,0.22364795,0.7022587,43.835
0,foreground_rescue_20,15.805,0.91,0.51,0.435,0.06404363,0.05,0.023539493,0.8464825,0.89,0.24110965,0.10821449,0.37489796,0.62510204,0.10318514,0.22364795,0.81799525,43.835
0,foreground_rescue_5,4.94,0.91,0.51,0.435,0.17463084,0.105,0.07661693,0.79340506,0.835,0.13052246,0.055137053,0.2640306,0.73596936,0.37085068,0.22364795,0.5981116,43.835
0,random,0.0,0.91,0.51,0.435,0.1474871,0.085,0.07194288,0.79807913,0.835,0.15766619,0.0598111,0.22377552,0.7762245,0.49917153,0.22364795,0.5000727,43.835
0,random_rescue_10,9.47,0.91,0.51,0.435,0.26053092,0.145,0.117385626,0.75263643,0.795,0.044622377,0.014368355,0.21556121,0.7844388,0.52255434,0.22364795,0.47845536,43.835
0,random_rescue_20,15.805,0.91,0.51,0.435,0.22058916,0.13,0.09991657,0.7701054,0.8,0.08456412,0.031837415,0.2205102,0.7794898,0.50578076,0.22364795,0.49522224,43.835
0,random_rescue_5,4.94,0.91,0.51,0.435,0.24361211,0.12,0.10293023,0.76709175,0.81,0.061541185,0.02882375,0.21459185,0.7854082,0.52084327,0.22364795,0.4785709,43.835
0,student,0.0,0.91,0.51,0.435,0.30515328,0.17,0.13175398,0.7382681,0.76,0.0,0.0,0.21362245,0.78637755,0.5261516,0.22364795,0.47468933,43.835
5,foreground_rescue_10,7.775,0.91,0.475,0.46,0.044185124,0.04,0.014971506,0.8550505,0.9,0.113981664,0.049567375,0.34566325,0.6543367,0.17676409,0.22364795,0.776904,43.835
5,foreground_rescue_20,12.725,0.91,0.475,0.46,0.03982834,0.05,0.0067318715,0.8632901,0.9,0.11833844,0.057807006,0.39617348,0.6038265,0.07238534,0.22364795,0.86462164,43.835
5,foreground_rescue_5,4.335,0.91,0.475,0.46,0.09503636,0.08,0.036614906,0.83340716,0.87,0.06313043,0.027923973,0.3105612,0.68943876,0.2644773,0.22364795,0.7067892,43.835
