sample_id,group,epoch,mask_method,actual_swaps,full_teacher_correct,student_correct,correction_opportunity,kl,prediction_flip,gt_probability_drop,gt_probability,correct,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
30,2,0,student,0,True,False,True,0.014229175,0.0,0.044801295,0.9071067,1.0,0.0,0.0,0.1122449,0.8877551,0.75,0.2244898,0.26402053,44
65,3,0,student,0,True,False,True,5.0208473e-07,0.0,-0.00021702051,0.9534921,1.0,0.0,0.0,0.20408164,0.79591835,0.5833334,0.24489796,0.39597484,48
123,2,0,student,0,True,False,True,1.7027363,1.0,0.81606716,0.14184512,0.0,0.0,0.0,0.10204082,0.8979592,0.6153846,0.13265306,0.40557122,26
126,2,0,student,0,True,False,True,0.93420625,1.0,0.64025915,0.21783629,0.0,0.0,0.0,0.05102041,0.9489796,0.5454545,0.05612245,0.5649892,11
152,2,0,student,0,True,False,True,0.76097965,1.0,0.5821328,0.35181198,0.0,0.0,0.0,0.19387755,0.8061224,0.5681818,0.2244898,0.40740547,44
159,3,0,student,0,True,True,False,0.00077906623,0.0,0.008771896,0.9448931,1.0,0.0,0.0,0.3265306,0.6734694,0.38461536,0.26530612,0.57460123,52
171,3,0,student,0,True,False,True,0.0012370376,0.0,0.011301219,0.941493,1.0,0.0,0.0,0.071428575,0.9285714,0.46153843,0.06632653,0.51190716,13
176,3,0,student,0,True,False,True,0.012701655,0.0,0.040431082,0.9159594,1.0,0.0,0.0,0.2244898,0.7755102,0.5510204,0.25,0.41692117,49
241,2,0,student,0,True,False,True,0.097451255,0.0,0.17510146,0.73540413,1.0,0.0,0.0,0.5,0.5,0.58823526,0.60714287,0.41565904,119
253,3,0,student,0,True,True,False,0.0050304234,0.0,0.023382783,0.93397486,1.0,0.0,0.0,0.46938777,0.53061223,0.47126436,0.44387755,0.5199886,87
315,2,0,student,0,True,False,True,0.008699711,0.0,-0.037648797,0.9222375,1.0,0.0,0.0,0.5,0.5,0.4166667,0.42857143,0.57525873,84
317,3,0,student,0,True,False,True,2.6947563,1.0,0.8832237,0.04054074,0.0,0.0,0.0,0.5714286,0.4285714,0.552,0.6377551,0.44692406,125
319,2,0,student,0,False,True,False,0.8127749,0.0,0.38793796,0.02911835,0.0,0.0,0.0,0.14285715,0.85714287,0.67441857,0.21938775,0.33572412,43
399,2,0,student,0,True,True,False,1.41315,1.0,0.76403856,0.18133569,0.0,0.0,0.0,0.3265306,0.6734694,0.3469388,0.25,0.61106914,49
414,2,0,student,0,True,False,True,2.6900647,1.0,0.9031206,0.048383467,0.0,0.0,0.0,0.2244898,0.7755102,0.5769231,0.26530612,0.4171485,52
416,2,0,student,0,True,False,True,0.0022297464,0.0,0.019049227,0.90405923,1.0,0.0,0.0,0.1632653,0.8367347,0.48387098,0.15816326,0.5166385,31
573,1,0,student,0,True,True,False,0.0010187039,0.0,0.010109067,0.94355595,1.0,0.0,0.0,0.24489796,0.75510204,0.47826087,0.23469388,0.52340263,46
677,0,0,student,0,True,True,False,0.005524216,0.0,-0.0169698,0.9783226,1.0,0.0,0.0,0.20408164,0.79591835,0.4285714,0.17857143,0.556129,35
767,0,0,student,0,True,True,False,2.495847,1.0,0.8792204,0.0528629,0.0,0.0,0.0,0.08163265,0.9183673,0.6521739,0.11734694,0.35838947,23
815,1,0,student,0,True,False,True,0.0028496366,0.0,-0.0134038925,0.9715909,1.0,0.0,0.0,0.10204082,0.8979592,0.52380955,0.10714286,0.47018597,21
