,accuracy,accuracy,accuracy,train_weighted_accuracy,train_weighted_accuracy,train_weighted_accuracy,worst_group_accuracy,worst_group_accuracy,worst_group_accuracy,landbird_land,landbird_land,landbird_land,landbird_water,landbird_water,landbird_water,waterbird_land,waterbird_land,waterbird_land,waterbird_water,waterbird_water,waterbird_water
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
method,,,,,,,,,,,,,,,,,,,,,
ce,0.5940052928316649,0.006328124177398218,3,0.8895797313368471,0.0038517026627448332,3,0.19470404984423675,0.026017590480514125,3,0.9331855136733186,0.009555829332679403,3,0.2849963045084996,0.017927666847758032,3,0.19470404984423675,0.026017590480514125,3,0.887331256490135,0.016508944024490838,3
foreground_rescue_10,0.5937176389368312,0.010528132550914712,3,0.8887273244143824,0.0019549889478274684,3,0.2071651090342679,0.0031152647975077885,3,0.9299334811529935,0.0011732821778557077,3,0.282039911308204,0.0313227731909717,3,0.2071651090342679,0.0031152647975077885,3,0.8940809968847353,0.016410675627496468,3
foreground_rescue_20,0.5910712231043608,0.0035384936864991494,3,0.8853478445614468,0.006420911614981323,3,0.2139148494288681,0.015910232031198925,3,0.921951219512195,0.009876300421871449,3,0.2780487804878049,0.015419369091542068,3,0.2139148494288681,0.015910232031198925,3,0.905503634475597,0.0017985989694381027,3
foreground_rescue_5,0.5922218386836958,0.015669191785034658,3,0.8848005743934158,0.003977509782250514,3,0.2082035306334372,0.008578770322875545,3,0.9244641537324464,0.004984394767209877,3,0.28337028824833704,0.04479594252478721,3,0.2082035306334372,0.008578770322875545,3,0.8940809968847353,0.013844539590834325,3
full,0.5802554366586123,0.02602827489311035,3,0.8719683590663377,0.02100075564146918,3,0.20664589823468327,0.018053311163773324,3,0.9150036954915004,0.01679494165538562,3,0.2694752402069475,0.038151220471817564,3,0.20664589823468327,0.018053311163773324,3,0.8696780893042576,0.035049613357710646,3
random,0.5923944310205961,0.005252972837953515,3,0.8914799612558918,0.0004710878735087776,3,0.19314641744548286,0.005616123482031137,3,0.9333333333333332,0.001999667296152075,3,0.27849223946784923,0.015252668312124039,3,0.19314641744548286,0.005616123482031137,3,0.8966770508826584,0.0054702252091655195,3
random_rescue_10,0.5815211137958808,0.009951161883057249,3,0.8904201883762264,0.001762817596143454,3,0.19574247144340604,0.014133600819123779,3,0.9306725794530673,0.0028853246557196213,3,0.2499630450849963,0.03047093533151794,3,0.19574247144340604,0.014133600819123779,3,0.905503634475597,0.006484940808305715,3
student,0.5917615924519618,0.012284808453083801,3,0.8940449985221947,0.005379307299238516,3,0.19003115264797507,0.025641865472203006,3,0.9377679231337769,0.008579909452139795,3,0.273909830007391,0.03413290066719879,3,0.19003115264797507,0.025641865472203006,3,0.8946002076843199,0.010371227598877597,3
teacher,0.9089287768956392,0.028184034442808037,3,0.9787698842884119,0.0022186980793834216,3,0.7890979547008724,0.013240235195023382,3,0.9934959349593496,0.0036925339236650177,3,0.8360679970436068,0.07908047876677506,3,0.8130841121495327,0.028338637692617224,3,0.9636552440290758,0.014722167059976959,3
