method,seed,best_epoch,model_scale,partial_training,accuracy,worst_group_accuracy,train_weighted_accuracy,landbird_land,landbird_water,waterbird_land,waterbird_water
ce,0,56,deit,False,0.5987228167069382,0.19003115264797507,0.8918471943777966,0.9365853658536586,0.2957871396895787,0.19003115264797507,0.8847352024922118
foreground_rescue_10,0,78,deit,False,0.6042457714877459,0.20404984423676012,0.8864797151971101,0.9303769401330377,0.3144124168514412,0.20404984423676012,0.8769470404984424
foreground_rescue_20,0,61,deit,False,0.5875043148084225,0.2071651090342679,0.8913384488734353,0.930820399113082,0.2616407982261641,0.2071651090342679,0.9065420560747663
foreground_rescue_5,0,42,deit,False,0.608560579910252,0.21651090342679127,0.8823370271970067,0.9232815964523282,0.3286031042128603,0.21651090342679127,0.8785046728971962
full,0,3,deit,False,0.5507421470486711,0.19003115264797507,0.8478037643557869,0.8962305986696231,0.22838137472283815,0.19003115264797507,0.8302180685358256
random,0,31,deit,False,0.586468760787021,0.19937694704049844,0.8911113537485749,0.9334811529933481,0.2611973392461197,0.19937694704049844,0.897196261682243
random_rescue_10,0,50,deit,False,0.59285467725233,0.19003115264797507,0.8884022453381825,0.9277161862527716,0.2851441241685144,0.19003115264797507,0.9003115264797508
student,0,28,deit,False,0.5780117362789092,0.20404984423676012,0.8919326195715127,0.9330376940133037,0.23592017738359203,0.20404984423676012,0.9065420560747663
teacher,0,11,deit,False,0.8879875733517432,0.7738359201773836,0.9762624291707065,0.9893569844789357,0.7738359201773836,0.8457943925233645,0.9750778816199377
ce,1,70,deit,False,0.596479116327235,0.17133956386292834,0.8917595435267588,0.9405764966740576,0.29490022172949004,0.17133956386292834,0.8722741433021807
foreground_rescue_10,1,71,deit,False,0.5937176389368312,0.2102803738317757,0.8896689988746312,0.930820399113082,0.2798226164079823,0.2102803738317757,0.8956386292834891
foreground_rescue_20,1,55,deit,False,0.5945806006213324,0.23208722741433022,0.8785693425759047,0.9113082039911308,0.29223946784922394,0.23208722741433022,0.9065420560747663
foreground_rescue_5,1,75,deit,False,0.5907835692095271,0.2087227414330218,0.8826754468199746,0.9201773835920177,0.2824833702882483,0.2087227414330218,0.8987538940809969
full,1,62,deit,False,0.5900931998619261,0.22585669781931464,0.8822939523005909,0.9201773835920177,0.27627494456762747,0.22585669781931464,0.897196261682243
random,1,62,deit,False,0.5942354159475319,0.19158878504672897,0.8913178257454228,0.9312638580931264,0.2842572062084257,0.19158878504672897,0.9018691588785047
random_rescue_10,1,57,deit,False,0.5774939592682085,0.2118380062305296,0.8916603639148517,0.930820399113082,0.2328159645232816,0.2118380062305296,0.9127725856697819
student,1,58,deit,False,0.5956161546427339,0.16043613707165108,0.9001598773926436,0.9476718403547671,0.2838137472283814,0.16043613707165108,0.8894080996884736
teacher,1,20,deit,False,0.8978253365550569,0.7975077881619937,0.9795685043962385,0.9946784922394678,0.8093126385809313,0.7975077881619937,0.9688473520249221
ce,2,71,deit,False,0.5868139454608216,0.22274143302180685,0.8851324561059859,0.9223946784922394,0.26430155210643014,0.22274143302180685,0.9049844236760125
foreground_rescue_10,2,25,deit,False,0.5831895063859165,0.2071651090342679,0.8900332591714062,0.9286031042128603,0.2518847006651885,0.2071651090342679,0.9096573208722741
foreground_rescue_20,2,49,deit,False,0.5911287538833275,0.20249221183800623,0.8861357422350002,0.9237250554323725,0.2802660753880266,0.20249221183800623,0.9034267912772586
foreground_rescue_5,2,25,deit,False,0.5773213669313082,0.19937694704049844,0.8893892491632662,0.9299334811529933,0.23902439024390243,0.19937694704049844,0.9049844236760125
full,2,71,deit,False,0.5999309630652399,0.20404984423676012,0.8858073605426351,0.9286031042128603,0.30376940133037694,0.20404984423676012,0.881619937694704
random,2,49,deit,False,0.596479116327235,0.18847352024922118,0.8920107042736778,0.9352549889135255,0.29002217294900223,0.18847352024922118,0.8909657320872274
random_rescue_10,2,32,deit,False,0.5742147048671039,0.1853582554517134,0.8911979558756449,0.9334811529933481,0.2319290465631929,0.1853582554517134,0.9034267912772586
student,2,61,deit,False,0.6016568864342423,0.205607476635514,0.8900424986024277,0.9325942350332594,0.30199556541019956,0.205607476635514,0.8878504672897196
teacher,2,12,deit,False,0.9409734207801174,0.7959501557632399,0.9804787192982907,0.9964523281596452,0.9250554323725055,0.7959501557632399,0.9470404984423676
