epoch,group,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,0,-0.0699767208381648,,0.47714285714285715,0.23714286,0.76285714,0.41530696,0.20510204,0.57023793,40.2
0,1,0.06526026452470662,,0.5244897959183673,0.20755102,0.79244894,0.47649556,0.20418367,0.52733076,40.02
0,2,-0.14367320263960065,,0.4359183673469388,0.24306121,0.75693876,0.5192196,0.25816327,0.48015362,50.6
0,3,0.0760079716895603,,0.5395918367346939,0.24836735,0.7516327,0.484505,0.24836735,0.5108462,48.68
1,0,0.31001998331615016,0.5046109590214524,0.63,0.23040818,0.7695918,0.43599692,0.20510204,0.55906767,40.2
1,1,0.13370925353356455,0.46534283277640365,0.5263265306122449,0.20795918,0.79204077,0.45868534,0.20418367,0.5376255,40.02
1,2,0.32469389348867234,0.42527411618568833,0.633061224489796,0.21346939,0.7865306,0.57624,0.25816327,0.42948827,50.6
1,3,0.17559872180031713,0.3672166057157962,0.5546938775510204,0.23755102,0.76244897,0.5186738,0.24836735,0.48196346,48.68
2,0,0.6330988692235973,0.7642476956345238,0.7553061224489795,0.22653061,0.7734694,0.4449466,0.20510204,0.5552428,40.2
2,1,-0.010497720928537459,0.7233381258582046,0.4695918367346939,0.19020408,0.8097959,0.5070692,0.20418367,0.49003536,40.02
2,2,0.5540548414602077,0.6930126465267873,0.7179591836734694,0.24224491,0.7577551,0.51806945,0.25816327,0.48074448,50.6
2,3,-0.027018011739113845,0.691274987649618,0.4746938775510204,0.23959185,0.76040816,0.5172587,0.24836735,0.4822087,48.68
3,0,0.6192774506132012,0.9342785423423566,0.7414285714285714,0.2322449,0.76775515,0.42769226,0.20510204,0.5678189,40.2
3,1,-0.050218999274836834,0.875063345776371,0.46,0.20530613,0.7946939,0.47095963,0.20418367,0.52831066,40.02
3,2,0.5151756456822032,0.9242206481970281,0.700204081632653,0.2569388,0.74306124,0.48228565,0.25816327,0.5155024,50.6
3,3,-0.062090318673349854,0.8707132652645362,0.4795918367346939,0.26816326,0.7318367,0.45914865,0.24836735,0.5376704,48.68
4,0,0.6820087497708962,0.8881222099148133,0.7708163265306122,0.23734693,0.76265305,0.41970685,0.20510204,0.57365435,40.2
4,1,-0.03007874793806629,0.8127804030632167,0.4840816326530612,0.19918367,0.80081636,0.48097908,0.20418367,0.51225936,40.02
4,2,0.5548359139048045,0.8862633772531102,0.720204081632653,0.28040817,0.71959186,0.438936,0.25816327,0.55435157,50.6
4,3,-0.1468117205492115,0.8415268589278742,0.45163265306122446,0.257551,0.742449,0.47742763,0.24836735,0.5287069,48.68
5,0,0.5015164357035278,0.8667390448565213,0.6973469387755102,0.22938776,0.77061224,0.44288787,0.20510204,0.55753046,40.2
5,1,0.17526521049653757,0.6364423017156882,0.5771428571428572,0.25734693,0.7426531,0.36296815,0.20418367,0.62819374,40.02
5,2,0.4305797320880715,0.8006506068260962,0.6651020408163265,0.26591837,0.7340816,0.4689091,0.25816327,0.5277754,50.6
5,3,0.19132956673493293,0.5466476583604938,0.6038775510204082,0.29714286,0.70285714,0.3908023,0.24836735,0.6157903,48.68
6,0,0.42510795859088285,0.933398106245383,0.6640816326530612,0.22346939,0.7765306,0.45456284,0.20510204,0.5440813,40.2
6,1,0.1758424403732598,0.8146259194032943,0.5871428571428572,0.27408162,0.72591835,0.31353274,0.20418367,0.6777527,40.02
6,2,0.3591683095729506,0.9099091075711816,0.6391836734693878,0.2522449,0.7477551,0.49981502,0.25816327,0.50018877,50.6
6,3,0.2524066970013308,0.8421710588179043,0.6297959183673469,0.3042857,0.69571424,0.3791392,0.24836735,0.6260264,48.68
7,0,0.6604387635569651,0.8276915659259765,0.7589795918367347,0.21857144,0.7814286,0.4708682,0.20510204,0.5344046,40.2
7,1,-0.018302990700380106,0.4293230163599997,0.4804081632653061,0.2,0.8,0.4805258,0.20418367,0.51987165,40.02
7,2,0.5720699722561984,0.7267507338924019,0.7216326530612246,0.24571428,0.75428575,0.5039371,0.25816327,0.49900636,50.6
7,3,-0.014435146729523472,0.37336115606211306,0.49428571428571433,0.24836735,0.75163263,0.5031172,0.24836735,0.50206065,48.68
8,0,0.6046611256763541,0.9327114567810725,0.7314285714285714,0.2132653,0.7867347,0.4856928,0.20510204,0.52343816,40.2
8,1,0.2392925595072078,0.6807161424507328,0.5848979591836735,0.26959184,0.7304082,0.311788,0.20418367,0.67518485,40.02
8,2,0.5361590258907155,0.9193263229619011,0.7081632653061224,0.22897959,0.7710204,0.53610396,0.25816327,0.46682075,50.6
8,3,0.28337511654407954,0.6721992721274879,0.626938775510204,0.28346938,0.7165306,0.41726947,0.24836735,0.57946765,48.68
9,0,0.46208560112838576,0.9173642948784355,0.6689795918367346,0.19959185,0.8004082,0.506314,0.20510204,0.4979402,40.2
9,1,0.4019530954904414,0.8031121452876347,0.6557142857142857,0.29734695,0.70265305,0.26198676,0.20418367,0.72101504,40.02
9,2,0.4526049613910383,0.8765673485325407,0.6675510204081633,0.18775511,0.8122449,0.6272447,0.25816327,0.38443565,50.6
9,3,0.46250176509494856,0.8107104845843063,0.7048979591836735,0.28755102,0.71244895,0.42148456,0.24836735,0.5786951,48.68
10,0,0.6289942226011841,0.8606586394026569,0.7438775510204081,0.20816326,0.7918367,0.49003583,0.20510204,0.5156612,40.2
10,1,0.22738604977328689,0.7324074938839261,0.5753061224489796,0.26285714,0.73714286,0.31924036,0.20418367,0.6680191,40.02
10,2,0.5799744041310394,0.8289287507271554,0.7234693877551021,0.2165306,0.7834694,0.5572771,0.25816327,0.44960082,50.6
10,3,0.25423509630326163,0.7125906812549307,0.5981632653061224,0.2812245,0.7187755,0.42528984,0.24836735,0.569487,48.68
11,0,0.39585993991505236,0.6015660974268662,0.6246938775510205,0.20469387,0.7953061,0.49873647,0.20510204,0.49947712,40.2
11,1,0.38489502665572284,0.5345576106272263,0.646734693877551,0.30408162,0.6959183,0.24896833,0.20418367,0.73143804,40.02
