epoch,group,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,0,-0.07735464363565224,,0.4814285714285715,0.23714286,0.76285714,0.41530696,0.20510204,0.57023793,40.2
0,1,0.04529661559601416,,0.5279591836734694,0.20755102,0.79244894,0.47649556,0.20418367,0.52733076,40.02
0,2,-0.13250921047177802,,0.4448979591836735,0.24306121,0.75693876,0.5192196,0.25816327,0.48015362,50.6
0,3,0.00982236049643274,,0.5059183673469387,0.24836735,0.7516327,0.484505,0.24836735,0.5108462,48.68
1,0,0.28102128610515853,0.5264532865473498,0.6222448979591837,0.22836734,0.7716327,0.44091535,0.20510204,0.5553351,40.2
1,1,0.2507009057356057,0.48092699904502484,0.5812244897959183,0.20836735,0.7916326,0.46042344,0.20418367,0.5357383,40.02
1,2,0.29907923600560893,0.45529812310661655,0.6287755102040816,0.21163265,0.78836733,0.5811149,0.25816327,0.42368153,50.6
1,3,0.2382981479780647,0.39065152714732343,0.5820408163265306,0.23795919,0.7620408,0.51517403,0.24836735,0.48474014,48.68
2,0,0.546479707384711,0.7705998575123775,0.7218367346938775,0.22795917,0.7720408,0.43891758,0.20510204,0.5583854,40.2
2,1,0.12840815294746777,0.7204228394785583,0.5355102040816326,0.19040816,0.8095918,0.5053724,0.20418367,0.49264824,40.02
2,2,0.5056498976005865,0.685709413559089,0.7004081632653062,0.2422449,0.7577551,0.5186638,0.25816327,0.4818318,50.6
2,3,0.07996289840374558,0.6877905597137206,0.5165306122448979,0.24163266,0.7583673,0.51415753,0.24836735,0.48606887,48.68
3,0,0.5196278482191166,0.9222839919020916,0.71,0.2322449,0.76775515,0.42636025,0.20510204,0.56844705,40.2
3,1,0.07302369110374558,0.8807729884959936,0.5253061224489796,0.2077551,0.79224485,0.46403527,0.20418367,0.53596807,40.02
3,2,0.46204939681538304,0.9187090575606481,0.6861224489795918,0.2589796,0.74102044,0.47591498,0.25816327,0.51893073,50.6
3,3,0.032925917115153726,0.8712967694974076,0.5195918367346939,0.27142856,0.7285714,0.4515066,0.24836735,0.5441843,48.68
4,0,0.5995856210504507,0.8849083012102966,0.7383673469387755,0.24102041,0.75897956,0.4132327,0.20510204,0.58271146,40.2
4,1,0.08552010136346612,0.7614618993862408,0.5306122448979592,0.17571428,0.82428575,0.5405942,0.20418367,0.45943925,40.02
4,2,0.5188922056913355,0.8717601933582544,0.7069387755102041,0.28428572,0.7157143,0.43486395,0.25816327,0.5600312,50.6
4,3,-0.05123277590543611,0.7987208447762201,0.4789795918367347,0.23959185,0.76040816,0.50779796,0.24836735,0.49294913,48.68
5,0,0.5016530532556639,0.888170086621138,0.6959183673469387,0.23244898,0.76755106,0.43660596,0.20510204,0.5631059,40.2
5,1,0.40095504785279984,0.501769716867614,0.6651020408163265,0.2555102,0.74448985,0.36667454,0.20418367,0.6194987,40.02
5,2,0.5337693981145758,0.7801835061240427,0.7046938775510205,0.27142856,0.7285714,0.45641574,0.25816327,0.53988284,50.6
5,3,0.38145718375530985,0.3693736354214313,0.6714285714285714,0.28918368,0.7108163,0.40740117,0.24836735,0.59761757,48.68
6,0,0.454034664392895,0.936113284829746,0.6828571428571429,0.23795919,0.7620408,0.4166342,0.20510204,0.578688,40.2
6,1,0.25119728422411525,0.6114329064698898,0.6042857142857143,0.22979592,0.77020407,0.41895762,0.20418367,0.58010775,40.02
6,2,0.4605543115332818,0.873143207771199,0.679795918367347,0.28836736,0.7116326,0.42391407,0.25816327,0.57154894,50.6
6,3,0.264832264182518,0.6522185422390582,0.6165306122448979,0.2867347,0.7132653,0.41560802,0.24836735,0.58741546,48.68
7,0,0.5441774179410147,0.871505741539099,0.702857142857143,0.22877552,0.7712245,0.4434151,0.20510204,0.5538408,40.2
7,1,0.4205491796093681,0.7526280709863016,0.6536734693877552,0.25346938,0.7465306,0.35433692,0.20418367,0.63911456,40.02
7,2,0.5614392018423926,0.8463727657404234,0.7048979591836735,0.27265307,0.72734696,0.45317182,0.25816327,0.5469715,50.6
7,3,0.41408534612595527,0.7795756440803576,0.667142857142857,0.27591836,0.72408164,0.43724692,0.24836735,0.5644307,48.68
8,0,0.5843816748878388,0.9436000605630772,0.7263265306122448,0.22346939,0.7765306,0.46410102,0.20510204,0.53903407,40.2
8,1,0.45682789726589584,0.8059682362597519,0.6665306122448978,0.26489794,0.735102,0.32369977,0.20418367,0.6657209,40.02
8,2,0.5934887041892118,0.9332064802492649,0.7242857142857143,0.27061224,0.72938776,0.45460385,0.25816327,0.5458977,50.6
