epoch,mask_method,group,count,sum
0,foreground_rescue_10,0,50,0
0,foreground_rescue_10,1,50,1
0,foreground_rescue_10,2,50,45
0,foreground_rescue_10,3,50,48
0,foreground_rescue_20,0,50,0
0,foreground_rescue_20,1,50,1
0,foreground_rescue_20,2,50,45
0,foreground_rescue_20,3,50,48
0,foreground_rescue_5,0,50,0
0,foreground_rescue_5,1,50,1
0,foreground_rescue_5,2,50,45
0,foreground_rescue_5,3,50,48
0,random,0,50,0
0,random,1,50,1
0,random,2,50,45
0,random,3,50,48
0,random_rescue_10,0,50,0
0,random_rescue_10,1,50,1
0,random_rescue_10,2,50,45
0,random_rescue_10,3,50,48
0,random_rescue_20,0,50,0
0,random_rescue_20,1,50,1
0,random_rescue_20,2,50,45
0,random_rescue_20,3,50,48
0,random_rescue_5,0,50,0
0,random_rescue_5,1,50,1
0,random_rescue_5,2,50,45
0,random_rescue_5,3,50,48
0,student,0,50,0
0,student,1,50,1
0,student,2,50,45
0,student,3,50,48
5,foreground_rescue_10,0,50,2
5,foreground_rescue_10,1,50,27
5,foreground_rescue_10,2,50,35
5,foreground_rescue_10,3,50,6
5,foreground_rescue_20,0,50,2
5,foreground_rescue_20,1,50,27
5,foreground_rescue_20,2,50,35
5,foreground_rescue_20,3,50,6
5,foreground_rescue_5,0,50,2
5,foreground_rescue_5,1,50,27
5,foreground_rescue_5,2,50,35
5,foreground_rescue_5,3,50,6
5,random,0,50,2
5,random,1,50,27
5,random,2,50,35
5,random,3,50,6
5,random_rescue_10,0,50,2
5,random_rescue_10,1,50,27
5,random_rescue_10,2,50,35
5,random_rescue_10,3,50,6
5,random_rescue_20,0,50,2
5,random_rescue_20,1,50,27
5,random_rescue_20,2,50,35
5,random_rescue_20,3,50,6
5,random_rescue_5,0,50,2
5,random_rescue_5,1,50,27
5,random_rescue_5,2,50,35
5,random_rescue_5,3,50,6
5,student,0,50,2
5,student,1,50,27
5,student,2,50,35
5,student,3,50,6
10,foreground_rescue_10,0,50,2
10,foreground_rescue_10,1,50,29
10,foreground_rescue_10,2,50,39
10,foreground_rescue_10,3,50,5
10,foreground_rescue_20,0,50,2
10,foreground_rescue_20,1,50,29
10,foreground_rescue_20,2,50,39
10,foreground_rescue_20,3,50,5
10,foreground_rescue_5,0,50,2
10,foreground_rescue_5,1,50,29
10,foreground_rescue_5,2,50,39
10,foreground_rescue_5,3,50,5
10,random,0,50,2
10,random,1,50,29
10,random,2,50,39
10,random,3,50,5
10,random_rescue_10,0,50,2
10,random_rescue_10,1,50,29
10,random_rescue_10,2,50,39
10,random_rescue_10,3,50,5
10,random_rescue_20,0,50,2
10,random_rescue_20,1,50,29
10,random_rescue_20,2,50,39
10,random_rescue_20,3,50,5
10,random_rescue_5,0,50,2
10,random_rescue_5,1,50,29
10,random_rescue_5,2,50,39
10,random_rescue_5,3,50,5
10,student,0,50,2
10,student,1,50,29
10,student,2,50,39
10,student,3,50,5
20,foreground_rescue_10,0,50,0
20,foreground_rescue_10,1,50,16
20,foreground_rescue_10,2,50,41
20,foreground_rescue_10,3,50,19
20,foreground_rescue_20,0,50,0
20,foreground_rescue_20,1,50,16
20,foreground_rescue_20,2,50,41
20,foreground_rescue_20,3,50,19
20,foreground_rescue_5,0,50,0
20,foreground_rescue_5,1,50,16
20,foreground_rescue_5,2,50,41
20,foreground_rescue_5,3,50,19
20,random,0,50,0
20,random,1,50,16
20,random,2,50,41
20,random,3,50,19
20,random_rescue_10,0,50,0
20,random_rescue_10,1,50,16
20,random_rescue_10,2,50,41
20,random_rescue_10,3,50,19
20,random_rescue_20,0,50,0
20,random_rescue_20,1,50,16
20,random_rescue_20,2,50,41
20,random_rescue_20,3,50,19
20,random_rescue_5,0,50,0
20,random_rescue_5,1,50,16
20,random_rescue_5,2,50,41
20,random_rescue_5,3,50,19
20,student,0,50,0
20,student,1,50,16
20,student,2,50,41
20,student,3,50,19
40,foreground_rescue_10,0,50,1
40,foreground_rescue_10,1,50,26
40,foreground_rescue_10,2,50,37
40,foreground_rescue_10,3,50,6
40,foreground_rescue_20,0,50,1
40,foreground_rescue_20,1,50,26
