epoch,mask_method,actual_swaps,full_teacher_correct,student_correct,correction_opportunity,kl,prediction_flip,gt_probability_drop,gt_probability,correct,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,foreground_rescue_10,9.085,0.905,0.5,0.47,0.097118385,0.075,0.001953537,0.86736906,0.91,0.07366835,0.0628518,0.3267347,0.6732653,0.22481684,0.22895409,0.7216646,44.875
0,foreground_rescue_20,14.97,0.905,0.5,0.47,0.06897249,0.04,-0.004742982,0.8740656,0.915,0.10181425,0.069548324,0.3867857,0.6132143,0.10374886,0.22895409,0.8238905,44.875
0,foreground_rescue_5,4.84,0.905,0.5,0.47,0.09343315,0.06,0.015548709,0.8537739,0.885,0.07735359,0.04925663,0.28341836,0.71658164,0.33423287,0.22895409,0.63249725,44.875
0,random,0.0,0.905,0.5,0.47,0.05032505,0.045,0.029194003,0.84012854,0.9,0.120461695,0.035611335,0.2310204,0.76897955,0.49313968,0.22895409,0.5061665,44.875
0,random_rescue_10,9.085,0.905,0.5,0.47,0.15682222,0.115,0.05284717,0.81647545,0.86,0.013964521,0.011958164,0.23454082,0.76545924,0.47542512,0.22895409,0.52103037,44.875
0,random_rescue_20,14.97,0.905,0.5,0.47,0.12845613,0.09,0.053921904,0.8154007,0.845,0.04233061,0.01088343,0.23852041,0.76147956,0.46436918,0.22895409,0.5303944,44.875
0,random_rescue_5,4.84,0.905,0.5,0.47,0.14765523,0.11,0.061609477,0.8077131,0.845,0.0231315,0.0031958567,0.23295918,0.7670408,0.476541,0.22895409,0.51988846,44.875
0,student,0.0,0.905,0.5,0.47,0.17078674,0.11,0.06480534,0.80451727,0.845,0.0,0.0,0.2340306,0.7659694,0.47388175,0.22895409,0.5221421,44.875
5,foreground_rescue_10,8.375,0.905,0.575,0.35,0.078662194,0.06,0.01939637,0.84992623,0.895,0.056291785,0.054877643,0.34770408,0.6522959,0.18759716,0.22895409,0.7647339,44.875
5,foreground_rescue_20,13.67,0.905,0.575,0.35,0.061338525,0.05,0.0010429372,0.86827964,0.905,0.073615454,0.07323107,0.4017347,0.5982653,0.08005179,0.22895409,0.8538792,44.875
5,foreground_rescue_5,4.65,0.905,0.575,0.35,0.088716835,0.065,0.03496661,0.834356,0.88,0.04623715,0.039307404,0.30969387,0.69030607,0.27999276,0.22895409,0.68857354,44.875
5,random,0.0,0.905,0.575,0.35,0.05032505,0.045,0.029194003,0.84012854,0.9,0.08462893,0.04508001,0.2310204,0.76897955,0.49313968,0.22895409,0.5061665,44.875
5,random_rescue_10,8.375,0.905,0.575,0.35,0.113652885,0.07,0.061389826,0.80793273,0.865,0.021301093,0.012884186,0.25841838,0.7415817,0.42145658,0.22895409,0.57348156,44.875
