sample_id,group,epoch,mask_method,actual_swaps,full_teacher_correct,student_correct,correction_opportunity,kl,prediction_flip,gt_probability_drop,gt_probability,correct,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
7,3,0,student,0,True,False,True,0.0051448327,0.0,0.02083242,0.94834626,1.0,0.0,0.0,0.30612245,0.6938776,0.21052629,0.19387755,0.7270213,38
68,2,0,student,0,True,False,True,0.0025602505,0.0,0.018811047,0.9187722,1.0,0.0,0.0,0.24489796,0.75510204,0.111111104,0.1377551,0.83711356,27
76,3,0,student,0,True,False,True,6.210408e-06,0.0,-0.00070488453,0.9584989,1.0,0.0,0.0,0.622449,0.37755102,0.4649123,0.5816327,0.5334002,114
98,2,0,student,0,True,False,True,0.00062086433,0.0,0.0076276064,0.94810647,1.0,0.0,0.0,0.31632653,0.6836735,0.5694444,0.36734694,0.4438488,72
119,2,0,student,0,True,False,True,0.0039030667,0.0,0.02586037,0.89634216,1.0,0.0,0.0,0.05102041,0.9489796,0.6666666,0.07653061,0.3984729,15
136,2,0,student,0,True,False,True,0.008216877,0.0,-0.04833424,0.8437342,1.0,0.0,0.0,0.08163265,0.9183673,0.27272725,0.05612245,0.67746854,11
137,3,0,student,0,True,False,True,8.885574e-06,0.0,0.0007944703,0.9628831,1.0,0.0,0.0,0.52040815,0.47959185,0.2916667,0.36734694,0.6861907,72
151,2,0,student,0,True,False,True,0.027905911,0.0,0.07517016,0.85755944,1.0,0.0,0.0,0.08163265,0.9183673,0.5,0.08163265,0.5213801,16
157,3,0,student,0,True,False,True,0.023555148,0.0,0.05675614,0.9045241,1.0,0.0,0.0,0.010204081,0.9897959,0.9791667,0.24489796,0.081538804,48
159,3,0,student,0,True,False,True,0.00060615037,0.0,0.0075766444,0.94757545,1.0,0.0,0.0,0.2244898,0.7755102,0.5769231,0.26530612,0.42646405,52
171,3,0,student,0,True,False,True,0.0006906232,0.0,0.0074338317,0.9556928,1.0,0.0,0.0,0.05102041,0.9489796,0.6153846,0.06632653,0.47909847,13
181,0,0,student,0,True,True,False,0.0005597905,0.0,0.007337153,0.9468429,1.0,0.0,0.0,0.05102041,0.9489796,0.8333333,0.15306123,0.172009,30
194,0,0,student,0,True,True,False,0.0007785787,0.0,0.008099437,0.9531443,1.0,0.0,0.0,0.1122449,0.8877551,0.08333331,0.06122449,0.8039714,12
195,0,0,student,0,True,True,False,0.0015000962,0.0,0.01315093,0.93403506,1.0,0.0,0.0,0.2244898,0.7755102,0.4883721,0.21938775,0.49288014,43
241,2,0,student,0,True,False,True,0.044002663,0.0,0.10058695,0.8290773,1.0,0.0,0.0,0.68367344,0.31632656,0.43697476,0.60714287,0.55663615,119
253,3,0,student,0,True,False,True,0.011151189,0.0,0.036423385,0.9230738,1.0,0.0,0.0,0.21428572,0.78571427,0.7586207,0.44387755,0.24355192,87
315,2,0,student,0,True,False,True,9.238254e-05,0.0,0.0032908916,0.9364014,1.0,0.0,0.0,0.39795917,0.6020408,0.53571427,0.42857143,0.45266107,84
344,2,0,student,0,True,False,True,0.00039095245,0.0,0.006627679,0.9380106,1.0,0.0,0.0,0.40816328,0.5918367,0.24528301,0.27040815,0.7460756,53
399,2,0,student,0,True,False,True,0.0017274516,0.0,0.015192509,0.9227612,1.0,0.0,0.0,0.36734694,0.63265306,0.26530612,0.25,0.7276844,49
403,2,0,student,0,True,False,True,2.4287961e-05,0.0,0.0014737248,0.95270634,1.0,0.0,0.0,0.42857143,0.57142854,0.17647058,0.26020408,0.78911626,51
412,3,0,student,0,True,False,True,0.055142198,0.0,0.10414076,0.84834504,1.0,0.0,0.0,0.39795917,0.6020408,0.32758623,0.29591838,0.6730207,58
413,2,0,student,0,True,False,True,0.00015472108,0.0,-0.0033584237,0.9631959,1.0,0.0,0.0,0.25510204,0.74489796,0.5192308,0.26530612,0.4595033,52
414,2,0,student,0,True,False,True,0.0012515252,0.0,0.01070708,0.9481786,1.0,0.0,0.0,0.37755102,0.622449,0.28846157,0.26530612,0.67785907,52
470,0,0,student,0,True,True,False,0.0005493816,0.0,0.007871747,0.93732566,1.0,0.0,0.0,0.3265306,0.6734694,0.5949367,0.4030612,0.39729697,79
529,0,0,student,0,True,True,False,0.2974896,0.0,0.31367093,0.6502452,1.0,0.0,0.0,0.1734694,0.8265306,0.63043475,0.23469388,0.40413076,46
