epoch,group,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,0,-0.0654277959562498,,0.4791836734693877,0.23714286,0.76285714,0.41530696,0.20510204,0.57023793,40.2
0,1,0.029894232396915677,,0.5104081632653061,0.20755102,0.79244894,0.47649556,0.20418367,0.52733076,40.02
0,2,-0.16246218045352617,,0.42734693877551017,0.24306121,0.75693876,0.5192196,0.25816327,0.48015362,50.6
0,3,-0.019126171633035885,,0.51,0.24836735,0.7516327,0.484505,0.24836735,0.5108462,48.68
1,0,0.07092224388468969,0.5379944230768833,0.53,0.22816326,0.7718367,0.43840775,0.20510204,0.5548714,40.2
1,1,0.19227683000509402,0.5055378202374442,0.56,0.21816327,0.7818367,0.43674186,0.20418367,0.5573298,40.02
1,2,0.10081014272167282,0.47785311545876896,0.5440816326530612,0.2144898,0.7855102,0.57879984,0.25816327,0.42654175,50.6
1,3,0.20310819274996217,0.42193397829738216,0.5689795918367347,0.24346939,0.7565306,0.5062897,0.24836735,0.4948645,48.68
2,0,0.3462200511598626,0.7223915308556295,0.6346938775510204,0.22653061,0.7734694,0.44588494,0.20510204,0.55342585,40.2
2,1,0.19867924678657092,0.6558333507510414,0.5687755102040817,0.19081633,0.80918366,0.5042913,0.20418367,0.491599,40.02
2,2,0.396718476638195,0.6166572983357089,0.65,0.24367347,0.7563265,0.5161281,0.25816327,0.4839157,50.6
2,3,0.08671418612716104,0.5989813900872752,0.52,0.24,0.76,0.51805276,0.24836735,0.48231784,48.68
3,0,0.3140713209922782,0.9324531711942879,0.6251020408163265,0.22877552,0.7712245,0.4333571,0.20510204,0.5621761,40.2
3,1,0.1147659476129382,0.8113170716158389,0.5457142857142857,0.22367348,0.77632654,0.4327234,0.20418367,0.5636446,40.02
3,2,0.3312995401987425,0.9158056388512514,0.6332653061224489,0.25489795,0.745102,0.48450956,0.25816327,0.51270324,50.6
3,3,0.03581241383706939,0.8218964624700114,0.5163265306122449,0.28183675,0.71816325,0.4319998,0.24836735,0.5648397,48.68
4,0,0.4519399788029229,0.8692834909832734,0.6828571428571429,0.23632652,0.7636735,0.42462087,0.20510204,0.5717316,40.2
4,1,0.16882834352014917,0.7026213293595454,0.573469387755102,0.18204083,0.8179592,0.5233283,0.20418367,0.4737573,40.02
4,2,0.4645821386735092,0.8492248404242604,0.6851020408163265,0.28408164,0.71591836,0.43672967,0.25816327,0.5605001,50.6
4,3,-0.006873030790575269,0.7271924627164803,0.49775510204081636,0.24285716,0.75714284,0.5004712,0.24836735,0.50299597,48.68
5,0,0.33778983018431896,0.8921735610292535,0.6465306122448979,0.23530613,0.7646939,0.42852467,0.20510204,0.57056177,40.2
5,1,0.24363598403047276,0.6376770234841301,0.5981632653061224,0.25142857,0.7485714,0.36992028,0.20418367,0.6221081,40.02
5,2,0.40004009913219485,0.8519740853780013,0.6606122448979592,0.28755102,0.71244895,0.42508376,0.25816327,0.5681477,50.6
5,3,0.24499671133298906,0.5997736843469093,0.6044897959183673,0.29081634,0.70918363,0.39834785,0.24836735,0.6029961,48.68
6,0,0.20167074404927923,0.865566958060069,0.59,0.20571429,0.7942857,0.5023345,0.20510204,0.5045318,40.2
6,1,0.22507709839109402,0.7295258707934561,0.5851020408163266,0.2869388,0.7130612,0.2812451,0.20418367,0.70647895,40.02
6,2,0.2568923172548988,0.8141172533050706,0.6075510204081632,0.22897959,0.7710204,0.54618,0.25816327,0.45536706,50.6
6,3,0.3017913601989019,0.7037381663317522,0.6216326530612245,0.29489794,0.705102,0.4046337,0.24836735,0.6008642,48.68
7,0,0.4413584298225342,0.7890819434372733,0.6785714285714286,0.21530613,0.7846939,0.47597983,0.20510204,0.5243167,40.2
7,1,0.2588957438500586,0.5367171624604548,0.593265306122449,0.23857144,0.7614286,0.38807487,0.20418367,0.6060804,40.02
7,2,0.48895026655722806,0.6995227629513344,0.6920408163265306,0.24612245,0.7538776,0.501937,0.25816327,0.50146383,50.6
7,3,0.2766774139566018,0.5009175943708213,0.5991836734693877,0.2667347,0.7332653,0.46422267,0.24836735,0.53868866,48.68
8,0,0.4375092318848664,0.9566643132067353,0.6773469387755102,0.21367347,0.7863265,0.48770458,0.20510204,0.5213316,40.2
8,1,0.3319175067137358,0.7586606953597527,0.63,0.27510205,0.724898,0.2962464,0.20418367,0.6936956,40.02
8,2,0.4722874833650758,0.9383587406067464,0.6873469387755102,0.23979591,0.7602041,0.51301557,0.25816327,0.49096227,50.6
8,3,0.3822862561658791,0.7752366820996263,0.6473469387755102,0.27795917,0.7220408,0.4244007,0.24836735,0.5721221,48.68
9,0,0.31447460733610116,0.8970971798324954,0.6220408163265305,0.19571428,0.80428576,0.5215604,0.20510204,0.48412034,40.2
9,1,0.2960332778171792,0.743977846663851,0.6018367346938776,0.28714287,0.7128571,0.27902338,0.20418367,0.7083496,40.02
9,2,0.38356875901473436,0.8624136936305175,0.6451020408163265,0.19693878,0.80306125,0.6027636,0.25816327,0.40585628,50.6
9,3,0.3335494585182765,0.723160468248213,0.6259183673469387,0.28346938,0.7165306,0.42727283,0.24836735,0.5738876,48.68
10,0,0.3907566400242252,0.7799491588904206,0.6610204081632653,0.2144898,0.7855102,0.48329258,0.20510204,0.5217437,40.2
10,1,0.28214772609551436,0.6686045788873924,0.6179591836734695,0.28142858,0.7185714,0.283067,0.20418367,0.69968486,40.02
10,2,0.41279866761230066,0.7509171959295238,0.6648979591836734,0.22816326,0.7718367,0.53387403,0.25816327,0.46677312,50.6
10,3,0.2575744487564647,0.6147414992549147,0.5963265306122448,0.2867347,0.7132653,0.42294312,0.24836735,0.5754313,48.68
11,0,0.20535865294966094,0.8245813099156102,0.58,0.19224489,0.8077551,0.53503,0.20510204,0.46975258,40.2
11,1,0.20775006574281413,0.7439779104144587,0.5755102040816327,0.29489794,0.705102,0.2573327,0.20418367,0.7294977,40.02
11,2,0.22782669397317692,0.7978105810071002,0.5871428571428572,0.20163265,0.7983673,0.59466815,0.25816327,0.41202396,50.6
11,3,0.27784046373123994,0.7338182538931354,0.6063265306122448,0.28571427,0.71428573,0.42939162,0.24836735,0.5701583,48.68
12,0,0.39792332395668145,0.8101989497087394,0.6608163265306122,0.21571428,0.7842857,0.47904202,0.20510204,0.525984,40.2
12,1,0.31125220537258247,0.6133630836168907,0.6018367346938776,0.2422449,0.7577551,0.3633823,0.20418367,0.6275723,40.02
12,2,0.4354723999713122,0.7608841571771231,0.6661224489795918,0.23795918,0.7620408,0.5126223,0.25816327,0.48919377,50.6
