epoch,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,-0.05428047891147405,,0.4817346938775511,0.2340306,0.7659694,0.47388175,0.22895409,0.5221421,44.875
1,0.14177935234035466,0.4858298342676196,0.5507653061224489,0.22607143,0.7739286,0.49005976,0.22895409,0.5084019,44.875
2,0.2570829901779474,0.6484658925074137,0.5933673469387756,0.2252551,0.77474487,0.49608928,0.22895409,0.5028146,44.875
3,0.19898730566025707,0.8703680860328474,0.5801020408163265,0.24729592,0.7527041,0.44564748,0.22895409,0.5508409,44.875
4,0.2696193575515015,0.7870805308708898,0.6097959183673469,0.23632652,0.7636735,0.4712875,0.22895409,0.52724624,44.875
5,0.3066156561699939,0.7453995885595736,0.6274489795918368,0.26627553,0.73372453,0.40546912,0.22895409,0.59095347,44.875
6,0.2463578799735435,0.778237062122587,0.6010714285714286,0.25413266,0.7458673,0.43359834,0.22895409,0.5668105,44.875
7,0.3664704635466057,0.6315598658049709,0.640765306122449,0.24168368,0.75831634,0.4575536,0.22895409,0.5426374,44.875
8,0.40600011953238924,0.8572301078182152,0.6605102040816326,0.25163266,0.7483673,0.4303418,0.22895409,0.56952786,44.875
9,0.3319065256715728,0.8066622970937692,0.6237244897959183,0.24081632,0.75918365,0.45765504,0.22895409,0.54305345,44.875
10,0.33581937062212625,0.7035531082405629,0.6350510204081633,0.25270408,0.7472959,0.43079418,0.22895409,0.56590825,44.875
11,0.229693969099223,0.7750470138075761,0.5872448979591837,0.24362245,0.7563776,0.45410565,0.22895409,0.5453581,44.875
12,0.36960345528293315,0.6859046692239117,0.6358673469387756,0.23535715,0.7646429,0.4646835,0.22895409,0.53438014,44.875
13,0.32907301835220615,0.8079185346922838,0.6283673469387755,0.23816326,0.7618367,0.46250015,0.22895409,0.5379401,44.875
14,0.28432657708505366,0.9064254513584709,0.6143877551020408,0.23903061,0.7609694,0.4594984,0.22895409,0.5395931,44.875
15,0.43681636637474197,0.8076229583500013,0.6682142857142856,0.25086734,0.74913263,0.43287167,0.22895409,0.56593645,44.875
16,0.4073920514179322,0.7998142563832267,0.6510204081632653,0.25413266,0.7458673,0.42741558,0.22895409,0.5695688,44.875
17,0.48749896006821314,0.8046457995569644,0.687142857142857,0.25658163,0.74341834,0.42007107,0.22895409,0.57625794,44.875
18,0.45436534676346135,0.8340081680466017,0.6710714285714287,0.25096938,0.7490306,0.4323578,0.22895409,0.5638346,44.875
19,0.5093620612264299,0.8081367228497777,0.6910714285714286,0.2417347,0.7582653,0.45278847,0.22895409,0.54582447,44.875
20,0.47148351488692214,0.8007477000086236,0.6675510204081633,0.2325,0.7675,0.47633445,0.22895409,0.520045,44.875
21,0.5589378989393493,0.7624587044158802,0.7166836734693878,0.25632653,0.7436735,0.42043316,0.22895409,0.5740546,44.875
22,0.568243272496963,0.8541378537977827,0.7133673469387755,0.25260204,0.7473979,0.43144515,0.22895409,0.5632185,44.875
23,0.5775920393155979,0.8139169296670858,0.7209183673469387,0.2519388,0.74806124,0.4331675,0.22895409,0.561936,44.875
24,0.5450276540039843,0.8291001536225032,0.6969897959183673,0.23760204,0.762398,0.46232295,0.22895409,0.5336923,44.875
25,0.5608280167982851,0.8253607148806988,0.7081632653061224,0.24204083,0.7579592,0.45078674,0.22895409,0.54221296,44.875
26,0.5709073225541681,0.8927676290352143,0.7128061224489796,0.24357143,0.7564286,0.44829905,0.22895409,0.547908,44.875
27,0.5823285665673018,0.9012490794522178,0.7242857142857143,0.25637755,0.7436224,0.42210507,0.22895409,0.57270193,44.875
28,0.6182260038728494,0.9200074566824915,0.7346938775510204,0.25515306,0.74484694,0.42276174,0.22895409,0.5724408,44.875
29,0.5227708249821835,0.8348940078244784,0.6908163265306122,0.23168367,0.7683163,0.4744406,0.22895409,0.52316076,44.875
30,0.5438208505034274,0.8454916012541589,0.6970918367346939,0.23974489,0.7602551,0.46152535,0.22895409,0.53470176,44.875
31,0.5759631999617496,0.8611518451210687,0.7069387755102041,0.24239796,0.757602,0.45561564,0.22895409,0.5392371,44.875
32,0.6012467945397604,0.9135573157806661,0.717857142857143,0.2382653,0.7617347,0.46114567,0.22895409,0.5366567,44.875
33,0.6192335117850984,0.8185387261095614,0.729642857142857,0.24959184,0.7504082,0.43692762,0.22895409,0.5596818,44.875
34,0.6627445608179149,0.8202587965069781,0.7552551020408163,0.2532653,0.7467347,0.42671695,0.22895409,0.56811213,44.875
35,0.5421619389657137,0.7899294375803382,0.6937755102040817,0.22852041,0.77147955,0.48443383,0.22895409,0.51535875,44.875
36,0.6075477062120561,0.8294627660886846,0.7257653061224489,0.24530613,0.7546939,0.4433099,0.22895409,0.5522143,44.875
37,0.6291907179115301,0.8980620669383913,0.7386224489795918,0.24933673,0.7506633,0.4310365,0.22895409,0.56553936,44.875
38,0.6859178015602961,0.9314850225916216,0.763061224489796,0.2575,0.7425,0.41281977,0.22895409,0.58147573,44.875
39,0.6730109946647247,0.865750111485325,0.760765306122449,0.2625,0.7375,0.40249684,0.22895409,0.58942926,44.875
