sample_id,group,epoch,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
7,3,0,-0.0680218983337185,,0.46938775510204084,0.30612245,0.6938776,0.21052629,0.19387755,0.7270213,38
68,2,0,-0.08705464223955885,,0.4489795918367347,0.24489796,0.75510204,0.111111104,0.1377551,0.83711356,27
76,3,0,-0.16853588760767876,,0.42857142857142855,0.622449,0.37755102,0.4649123,0.5816327,0.5334002,114
98,2,0,-0.42967112655292494,,0.32653061224489793,0.31632653,0.6836735,0.5694444,0.36734694,0.4438488,72
119,2,0,-0.3484958841013953,,0.35714285714285715,0.05102041,0.9489796,0.6666666,0.07653061,0.3984729,15
136,2,0,-0.007744105061001363,,0.5102040816326531,0.08163265,0.9183673,0.27272725,0.05612245,0.67746854,11
137,3,0,0.19838551586194805,,0.5102040816326531,0.52040815,0.47959185,0.2916667,0.36734694,0.6861907,72
151,2,0,-0.1315653164819227,,0.45918367346938777,0.08163265,0.9183673,0.5,0.08163265,0.5213801,16
157,3,0,0.26014551076189946,,0.6224489795918368,0.010204081,0.9897959,0.9791667,0.24489796,0.081538804,48
159,3,0,-0.4210345129852019,,0.35714285714285715,0.2244898,0.7755102,0.5769231,0.26530612,0.42646405,52
171,3,0,-0.09737586561371914,,0.42857142857142855,0.05102041,0.9489796,0.6153846,0.06632653,0.47909847,13
181,0,0,0.4127357776378806,,0.7142857142857143,0.05102041,0.9489796,0.8333333,0.15306123,0.172009,30
194,0,0,0.006336810397724104,,0.5102040816326531,0.1122449,0.8877551,0.08333331,0.06122449,0.8039714,12
195,0,0,-0.23489080114227062,,0.3469387755102041,0.2244898,0.7755102,0.4883721,0.21938775,0.49288014,43
241,2,0,0.04163233430818637,,0.5102040816326531,0.68367344,0.31632656,0.43697476,0.60714287,0.55663615,119
253,3,0,-0.49877997274661523,,0.25510204081632654,0.21428572,0.78571427,0.7586207,0.44387755,0.24355192,87
315,2,0,0.3054068484090239,,0.5816326530612245,0.39795917,0.6020408,0.53571427,0.42857143,0.45266107,84
344,2,0,-0.5010144315438007,,0.2653061224489796,0.40816328,0.5918367,0.24528301,0.27040815,0.7460756,53
399,2,0,-0.3645323494489557,,0.32653061224489793,0.36734694,0.63265306,0.26530612,0.25,0.7276844,49
403,2,0,-0.3885519846361036,,0.3673469387755102,0.42857143,0.57142854,0.17647058,0.26020408,0.78911626,51
412,3,0,-0.4401102885511878,,0.23469387755102042,0.39795917,0.6020408,0.32758623,0.29591838,0.6730207,58
413,2,0,0.235450119133948,,0.6122448979591837,0.25510204,0.74489796,0.5192308,0.26530612,0.4595033,52
414,2,0,0.004241009172118671,,0.4897959183673469,0.37755102,0.622449,0.28846157,0.26530612,0.67785907,52
470,0,0,0.35687908900381704,,0.6938775510204082,0.3265306,0.6734694,0.5949367,0.4030612,0.39729697,79
529,0,0,0.07181824701766688,,0.5510204081632653,0.1734694,0.8265306,0.63043475,0.23469388,0.40413076,46
576,0,0,0.43584059160563876,,0.6836734693877551,0.42857143,0.57142854,0.35384613,0.33163264,0.63392675,65
613,0,0,0.0545545824733642,,0.5510204081632653,0.63265306,0.36734694,0.21518987,0.4030612,0.7873006,79
665,0,0,-0.07661548024129605,,0.42857142857142855,0.091836736,0.90816325,0.4375,0.08163265,0.50071615,16
933,0,0,0.4530261616556033,,0.6632653061224489,0.19387755,0.8061224,0.0,0.096938774,0.9417651,19
949,1,0,0.5526125795886492,,0.7346938775510204,0.30612245,0.6938776,0.23076922,0.19897959,0.7620322,39
965,1,0,0.5880834176700747,,0.7346938775510204,0.05102041,0.9489796,0.6666666,0.07653061,0.3136676,15
1097,0,0,-0.029470312138912574,,0.5204081632653061,0.4387755,0.56122446,0.21818179,0.28061223,0.7702669,55
1150,2,0,-0.1943740088772721,,0.41836734693877553,0.37755102,0.622449,0.13953489,0.21938775,0.81073076,43
1230,0,0,-0.27961175879957606,,0.4387755102040816,0.52040815,0.47959185,0.25,0.3469388,0.72130215,68
1247,3,0,0.4856489413414722,,0.7448979591836735,0.25510204,0.74489796,0.6835443,0.4030612,0.30838814,79
1262,2,0,0.34357274342771077,,0.6530612244897959,0.1122449,0.8877551,0.7924528,0.27040815,0.23738967,53
1330,3,0,-0.3753747340404338,,0.30612244897959184,0.19387755,0.8061224,0.3214286,0.14285715,0.6595937,28
1382,2,0,-0.21370797440413103,,0.37755102040816324,0.46938777,0.53061223,0.40259743,0.39285713,0.6084556,77
1401,2,0,-0.39557092653539355,,0.3469387755102041,0.46938777,0.53061223,0.11538464,0.26530612,0.86925,52
1465,1,0,0.3036409565778674,,0.6428571428571429,0.15306123,0.8469388,0.6938776,0.25,0.3201373,49
1705,1,0,-0.026480408641394865,,0.5102040816326531,0.1734694,0.8265306,0.32,0.12755102,0.681271,25
1816,0,0,0.04746551490568895,,0.5306122448979592,0.1122449,0.8877551,0.26666665,0.07653061,0.62911934,15
1857,1,0,0.32048558857176823,,0.5612244897959183,0.13265306,0.86734694,0.48000002,0.12755102,0.56300944,25
2120,0,0,-0.08175218545051757,,0.47959183673469385,0.1122449,0.8877551,0.6451613,0.15816326,0.36757085,31
2148,1,0,0.19032425152802238,,0.6326530612244898,0.13265306,0.86734694,0.35000002,0.10204082,0.5799306,20
2158,0,0,-0.150778155854298,,0.42857142857142855,0.35714287,0.64285713,0.5,0.35714287,0.49856675,70
2545,2,0,-0.2720796245089211,,0.40816326530612246,0.21428572,0.78571427,0.52272725,0.2244898,0.47966316,44
2596,2,0,-0.5344675628939588,,0.3163265306122449,0.25510204,0.74489796,0.56896555,0.29591838,0.48702076,58
2634,3,0,0.09423933571866856,,0.5102040816326531,0.71428573,0.28571427,0.2929293,0.50510204,0.6871727,99
2785,1,0,-0.1278454685271219,,0.47959183673469385,0.33673468,0.66326535,0.6024096,0.4234694,0.4038181,83
2796,1,0,0.06871040489604667,,0.4897959183673469,0.5,0.5,0.51960784,0.52040815,0.48475108,102
2815,1,0,-0.3437289324163871,,0.29591836734693877,0.040816326,0.9591837,0.8,0.10204082,0.23786956,20
2839,3,0,0.2896253854919555,,0.6428571428571429,0.21428572,0.78571427,0.32258064,0.15816326,0.6503882,31
2841,2,0,0.5025811027261353,,0.6632653061224489,0.091836736,0.90816325,0.5909091,0.1122449,0.42574623,22
2858,3,0,-0.17062053247695017,,0.47959183673469385,0.20408164,0.79591835,0.6,0.25510204,0.3863629,50
2988,3,0,0.30858640996422,,0.7040816326530612,0.3265306,0.6734694,0.27272725,0.2244898,0.6661894,44
2999,3,0,-0.3091634761467291,,0.3673469387755102,0.14285715,0.85714287,0.36363637,0.1122449,0.61855054,22
3016,3,0,-0.13075887129549205,,0.4387755102040816,0.2755102,0.7244898,0.55737704,0.3112245,0.44839388,61
3030,2,0,-0.3031254943164559,,0.3877551020408163,0.071428575,0.9285714,0.7307692,0.13265306,0.30033252,26
3068,3,0,-0.02738407350445059,,0.5204081632653061,0.18367347,0.8163265,0.5609756,0.20918368,0.44622898,41
3159,1,0,0.18637808891615998,,0.5612244897959183,0.21428572,0.78571427,0.22222221,0.1377551,0.8116605,27
3209,0,0,-0.12140028209643873,,0.4387755102040816,0.23469388,0.7653061,0.4390244,0.20918368,0.55610955,41
3315,2,0,0.10434221326172015,,0.5306122448979592,0.41836736,0.5816326,0.43835616,0.37244898,0.57024163,73
3323,3,0,-0.46331869725633323,,0.32653061224489793,0.06122449,0.93877554,0.85365856,0.20918368,0.14538735,41
3354,2,0,0.0068946282144251685,,0.4897959183673469,0.26530612,0.7346939,0.5,0.26530612,0.4935883,52
3379,3,0,-0.047075042433998196,,0.5306122448979592,0.12244898,0.877551,0.75,0.24489796,0.2673621,48
3394,2,0,-0.2393278452007319,,0.3979591836734694,0.20408164,0.79591835,0.375,0.1632653,0.62969303,32
3395,3,0,-0.30846050251416457,,0.37755102040816324,0.30612245,0.6938776,0.42307693,0.26530612,0.5330536,52
3426,2,0,-0.47294503900740303,,0.32653061224489793,0.3469388,0.6530612,0.46875,0.3265306,0.52282614,64
3438,3,0,-0.20215636430284725,,0.47959183673469385,0.52040815,0.47959185,0.39285713,0.42857143,0.6069088,84
3457,2,0,0.3980906693016918,,0.6122448979591837,0.05102041,0.9489796,0.6875,0.08163265,0.31456524,16
3465,3,0,0.178235542557515,,0.6530612244897959,0.3265306,0.6734694,0.38461536,0.26530612,0.6154237,52
3467,2,0,-0.5943341647475078,,0.20408163265306123,0.12244898,0.877551,0.84210527,0.3877551,0.16040745,76
3563,2,0,-0.07112336539457642,,0.47959183673469385,0.1632653,0.8367347,0.64444447,0.22959183,0.3261314,45
3585,3,0,0.5159336674927683,,0.7653061224489796,0.30612245,0.6938776,0.25,0.20408164,0.7430545,40
3588,3,0,0.4397389412617839,,0.7040816326530612,0.29591838,0.70408165,0.5396825,0.32142857,0.43934545,63
3596,2,0,0.2537608874084581,,0.5714285714285714,0.1122449,0.8877551,0.5416666,0.12244898,0.46793297,24
3624,2,0,-0.26370279466726165,,0.3877551020408163,0.08163265,0.9183673,0.7777778,0.18367347,0.2823373,36
3633,3,0,-0.3574066252818972,,0.3163265306122449,0.1122449,0.8877551,0.45,0.10204082,0.58439404,20
3675,2,0,-0.27424873893329293,,0.32653061224489793,0.19387755,0.8061224,0.53658533,0.20918368,0.47078788,41
3764,3,0,-0.3169520834495454,,0.3979591836734694,0.3469388,0.6530612,0.62637365,0.4642857,0.37897933,91
3782,2,0,-0.3526332985361267,,0.336734693877551,0.30612245,0.6938776,0.57142854,0.35714287,0.4466261,70
3783,2,0,0.38604021069575817,,0.673469387755102,0.18367347,0.8163265,0.7428571,0.35714287,0.27462187,70
3815,2,0,-0.45022432245057337,,0.32653061224489793,0.091836736,0.90816325,0.8043478,0.23469388,0.2347114,46
3817,2,0,-0.5621034512985202,,0.29591836734693877,0.2244898,0.7755102,0.6507937,0.32142857,0.31993195,63
3918,0,0,0.013481659747069464,,0.5408163265306123,0.12244898,0.877551,0.47826087,0.11734694,0.5118939,23
3931,0,0,0.016995911992286176,,0.5,0.26530612,0.7346939,0.38095236,0.21428572,0.58119094,42
4078,2,0,-0.3953685183561906,,0.29591836734693877,0.091836736,0.90816325,0.55,0.10204082,0.4298935,20
4094,3,0,-0.2333320051956745,,0.47959183673469385,0.21428572,0.78571427,0.4324324,0.18877551,0.5789853,37
4099,2,0,0.12526356891839124,,0.5612244897959183,0.3265306,0.6734694,0.6321839,0.44387755,0.3957326,87
4121,2,0,-0.38616930567619473,,0.29591836734693877,0.14285715,0.85714287,0.7254902,0.26020408,0.28356257,51
4133,3,0,-0.04421423391691702,,0.5816326530612245,0.14285715,0.85714287,0.3,0.10204082,0.659343,20
4145,3,0,-0.6019061431679271,,0.29591836734693877,0.21428572,0.78571427,0.19230771,0.13265306,0.72936356,26
4158,2,0,-0.056428850337479776,,0.5306122448979592,0.39795917,0.6020408,0.6320754,0.5408163,0.38516217,106
4196,0,0,-0.3873694108646973,,0.32653061224489793,0.20408164,0.79591835,0.70149255,0.34183672,0.3092879,67
4348,0,0,-0.29326964645096576,,0.37755102040816324,0.30612245,0.6938776,0.032258093,0.15816326,0.8942377,31
4493,1,0,-0.0849476846576194,,0.46938775510204084,0.19387755,0.8061224,0.57777774,0.22959183,0.4304621,45
4510,1,0,0.15132481731466502,,0.5408163265306123,0.47959185,0.52040815,0.16071427,0.2857143,0.80080646,56
4705,1,0,-0.14903776426619067,,0.42857142857142855,0.14285715,0.85714287,0.5483871,0.15816326,0.4117877,31
4875,3,0,0.2365418482894915,,0.5714285714285714,0.2244898,0.7755102,0.4883721,0.21938775,0.5125265,43
4891,3,0,-0.41238833682633536,,0.3469387755102041,0.071428575,0.9285714,0.7307692,0.13265306,0.28256857,26
4895,3,0,-0.1718668568559794,,0.42857142857142855,0.47959185,0.52040815,0.265625,0.3265306,0.7354163,64
5000,2,0,-0.25528293316545675,,0.41836734693877553,0.10204082,0.8979592,0.3333333,0.07653061,0.6316079,15
5037,2,0,0.17216170341623568,,0.5510204081632653,0.47959185,0.52040815,0.37333333,0.38265306,0.5937991,75
5158,2,0,-0.019453497916152012,,0.5,0.31632653,0.6836735,0.53731346,0.34183672,0.44607097,67
5171,2,0,0.037631983679844445,,0.5306122448979592,0.2755102,0.7244898,0.5645161,0.31632653,0.44290298,62
5172,3,0,0.5398465204121476,,0.8061224489795918,0.2244898,0.7755102,0.7027027,0.37755102,0.30768403,74
5203,3,0,0.5258478933802956,,0.7653061224489796,0.1734694,0.8265306,0.56410253,0.19897959,0.49094644,39
5216,3,0,-0.03630278351090534,,0.47959183673469385,0.08163265,0.9183673,0.7647059,0.1734694,0.25003463,34
5221,3,0,-0.07868099992828056,,0.4897959183673469,0.30612245,0.6938776,0.3181818,0.2244898,0.6890686,44
5251,2,0,-0.02047909397600509,,0.5,0.15306123,0.8469388,0.375,0.12244898,0.6026428,24
5254,3,0,-0.1947692626445346,,0.4489795918367347,0.15306123,0.8469388,0.39999998,0.12755102,0.5912222,25
5462,0,0,-0.37367418658209084,,0.3163265306122449,0.06122449,0.93877554,0.71428573,0.10714286,0.33771312,21
5472,1,0,-0.057589111396217994,,0.47959183673469385,0.091836736,0.90816325,0.4375,0.08163265,0.5378172,16
5485,1,0,-0.31856019252683504,,0.3673469387755102,0.20408164,0.79591835,0.44444442,0.18367347,0.5399344,36
5606,1,0,0.4335136944274,,0.5612244897959183,0.2244898,0.7755102,0.26666665,0.15306123,0.7806618,30
5717,0,0,0.29386480089888356,,0.5816326530612245,0.6632653,0.3367347,0.29347825,0.46938777,0.67818266,92
5832,2,0,-0.23572902804229853,,0.37755102040816324,0.1734694,0.8265306,0.7017544,0.29081634,0.27796346,57
5835,3,0,0.018152985520643244,,0.5,0.25510204,0.74489796,0.64788735,0.3622449,0.33817258,71
5909,2,0,-0.4767860131166875,,0.2857142857142857,0.10204082,0.8979592,0.6969697,0.16836734,0.3031375,33
5955,2,0,-0.2174692602538868,,0.41836734693877553,0.1734694,0.8265306,0.5853659,0.20918368,0.42344072,41
6058,0,0,-0.12052052371124163,,0.46938775510204084,0.26530612,0.7346939,0.36585367,0.20918368,0.63742703,41
6074,1,0,0.3290933866713417,,0.6632653061224489,0.18367347,0.8163265,0.14285713,0.10714286,0.885194,21
6145,3,0,0.1331527066117349,,0.6122448979591837,0.3265306,0.6734694,0.23809522,0.21428572,0.75080514,42
6185,3,0,0.5887400489285913,,0.7142857142857143,0.24489796,0.75510204,0.61904764,0.32142857,0.3774682,63
6260,1,0,-0.014211604204352572,,0.45918367346938777,0.2755102,0.7244898,0.18181819,0.16836734,0.77998555,33
6495,1,0,-0.5962817458103897,,0.15306122448979592,0.1122449,0.8877551,0.74418604,0.21938775,0.23487295,43
6530,0,0,-0.20818876554917165,,0.3979591836734694,0.23469388,0.7653061,0.46511626,0.21938775,0.5085003,43
6543,0,0,0.30411111730908685,,0.6428571428571429,0.06122449,0.93877554,0.14285713,0.035714287,0.76563793,7
6591,0,0,0.002757213779693838,,0.4897959183673469,0.12244898,0.877551,0.29411763,0.0867347,0.6770755,17
6876,1,0,-0.021468017117038145,,0.4387755102040816,0.3265306,0.6734694,0.50769234,0.33163264,0.47901976,65
6877,0,0,0.21500370550406808,,0.5816326530612245,0.040816326,0.9591837,0.8518518,0.1377551,0.17663589,27
7138,0,0,-0.5617990421471205,,0.30612244897959184,0.091836736,0.90816325,0.4705882,0.0867347,0.5333613,17
7142,1,0,0.6737674218457395,,0.826530612244898,0.18367347,0.8163265,0.73913044,0.35204083,0.26730993,69
7155,0,0,-0.15464941150220338,,0.4489795918367347,0.3265306,0.6734694,0.49206346,0.32142857,0.51526123,63
7179,0,0,-0.3292878260245918,,0.41836734693877553,0.1632653,0.8367347,0.5294118,0.1734694,0.46943852,34
7187,0,0,-0.0027030257632143055,,0.45918367346938777,0.1632653,0.8367347,0.38461536,0.13265306,0.61442757,26
7359,1,0,0.23465483030385134,,0.6020408163265306,0.12244898,0.877551,0.47826087,0.11734694,0.51521736,23
7405,1,0,0.02038903808301923,,0.5306122448979592,0.2244898,0.7755102,0.45,0.20408164,0.52235264,40
7498,0,0,-0.13123221955709266,,0.42857142857142855,0.3265306,0.6734694,0.3962264,0.27040815,0.61920124,53
7524,1,0,0.23959709615982278,,0.6122448979591837,0.36734694,0.63265306,0.19999999,0.22959183,0.7908506,45
7546,0,0,-0.3098024528046283,,0.37755102040816324,0.21428572,0.78571427,0.04545456,0.1122449,0.917348,22
7663,0,0,-0.24691088461936903,,0.42857142857142855,0.06122449,0.93877554,0.53846157,0.06632653,0.46736467,13
7760,0,0,-0.56840041756648,,0.2653061224489796,0.2857143,0.71428573,0.45098037,0.26020408,0.51791924,51
7791,1,0,-0.23621353266023318,,0.41836734693877553,0.1632653,0.8367347,0.627907,0.21938775,0.38900247,43
7901,1,0,0.19682521974037565,,0.5816326530612245,0.15306123,0.8469388,0.44444442,0.1377551,0.5524865,27
7938,0,0,0.017615886651419645,,0.5408163265306123,0.18367347,0.8163265,0.45454544,0.16836734,0.5378224,33
7945,1,0,-0.49561435314214836,,0.35714285714285715,0.1734694,0.8265306,0.5853659,0.20918368,0.39334947,41
8017,1,0,0.21090932272948226,,0.673469387755102,0.14285715,0.85714287,0.3333333,0.10714286,0.66255707,21
8069,0,0,-0.707848496680984,,0.22448979591836735,0.10204082,0.8979592,0.5,0.10204082,0.5176443,20
8210,0,0,0.58235542557515,,0.7653061224489796,0.2244898,0.7755102,0.15384614,0.13265306,0.8194672,26
8239,3,0,-0.03218927555403262,,0.5408163265306123,0.13265306,0.86734694,0.5185185,0.1377551,0.42797548,27
8257,3,0,-0.09418355393699847,,0.4489795918367347,0.1632653,0.8367347,0.6981132,0.27040815,0.32648656,53
8279,2,0,-0.3149726270828519,,0.3673469387755102,0.39795917,0.6020408,0.4583333,0.36734694,0.5237213,72
8328,3,0,0.4733466678354278,,0.6836734693877551,0.2755102,0.7244898,0.3076923,0.19897959,0.66824967,39
8368,3,0,-0.3803520627305979,,0.32653061224489793,0.24489796,0.75510204,0.39999998,0.20408164,0.57286334,40
8389,3,0,0.08766027301197715,,0.6020408163265306,0.42857143,0.57142854,0.6111111,0.5510204,0.40036157,108
8397,3,0,-0.3687424271220986,,0.35714285714285715,0.33673468,0.66326535,0.23255813,0.21938775,0.7650402,43
8408,3,0,0.22127357776378806,,0.6326530612244898,0.13265306,0.86734694,0.55172414,0.14795919,0.4802148,29
8449,3,0,0.3790069249097531,,0.673469387755102,0.06122449,0.93877554,0.45454544,0.05612245,0.47650734,11
8511,2,0,-0.2847548390695599,,0.37755102040816324,0.13265306,0.86734694,0.40909094,0.1122449,0.58139193,22
8514,2,0,-0.5359832335901952,,0.2653061224489796,0.20408164,0.79591835,0.60784316,0.26020408,0.39144078,51
8578,2,0,-0.38870339232920814,,0.30612244897959184,0.1632653,0.8367347,0.74603176,0.32142857,0.2743988,63
8614,3,0,-0.034264357832160586,,0.5204081632653061,0.19387755,0.8061224,0.38709676,0.15816326,0.6015808,31
8640,3,0,0.15530444899552948,,0.6224489795918368,0.08163265,0.9183673,0.5294118,0.0867347,0.4939607,17
8737,1,0,-0.6175505422786061,,0.21428571428571427,0.06122449,0.93877554,0.71428573,0.10714286,0.4067985,21
8819,0,0,0.20328793758815514,,0.5612244897959183,0.26530612,0.7346939,0.5185185,0.2755102,0.47822937,54
8841,1,0,-0.5581971328164221,,0.24489795918367346,0.33673468,0.66326535,0.6373626,0.4642857,0.35931167,91
8902,0,0,-0.44209452621345297,,0.30612244897959184,0.08163265,0.9183673,0.68,0.12755102,0.3742192,25
9116,0,0,0.3042944003060029,,0.6428571428571429,0.4489796,0.5510204,0.15384614,0.26530612,0.763206,52
9286,1,0,0.3687701710906932,,0.6326530612244898,0.21428572,0.78571427,0.2758621,0.14795919,0.6946642,29
9314,1,0,0.3947294185147702,,0.8061224489795918,0.1734694,0.8265306,0.575,0.20408164,0.43818587,40
9331,0,0,-0.14742009259775757,,0.41836734693877553,0.21428572,0.78571427,0.47500002,0.20408164,0.52850217,40
9423,0,0,-0.34217819888595813,,0.3673469387755102,0.091836736,0.90816325,0.39999998,0.07653061,0.5383159,15
9510,0,0,-0.12978986205962276,,0.47959183673469385,0.1734694,0.8265306,0.39285713,0.14285715,0.663187,28
9512,1,0,0.16403350094430588,,0.6224489795918368,0.12244898,0.877551,0.39999998,0.10204082,0.60439384,20
9535,1,0,0.8091402433679447,,0.8367346938775511,0.1734694,0.8265306,0.5853659,0.20918368,0.38811627,41
9589,0,0,-0.39332849891225524,,0.3469387755102041,0.25510204,0.74489796,0.4680851,0.23979592,0.52328795,47
9620,1,0,0.10833300129891862,,0.5816326530612245,0.18367347,0.8163265,0.53846157,0.19897959,0.48568416,39
9673,1,0,0.7170365530046459,,0.8469387755102041,0.040816326,0.9591837,0.8095238,0.10714286,0.23380168,21
9887,0,0,0.09524340778873049,,0.5714285714285714,0.48979592,0.5102041,0.21311474,0.3112245,0.7284303,61
10045,0,0,-0.1585932466563915,,0.4387755102040816,0.24489796,0.75510204,0.68,0.38265306,0.31652284,75
10050,1,0,-0.5786642653937796,,0.19387755102040816,0.08163265,0.9183673,0.6,0.10204082,0.50689584,20
10071,0,0,-0.2943827745858203,,0.3877551020408163,0.10204082,0.8979592,0.6666666,0.15306123,0.3886612,30
10077,1,0,0.13355592920495024,,0.5714285714285714,0.091836736,0.90816325,0.25,0.06122449,0.7105435,12
10339,1,0,-0.28280407047629674,,0.3163265306122449,0.37755102,0.622449,0.097561,0.20918368,0.87748367,41
