epoch,mask_method,actual_swaps,full_teacher_correct,student_correct,correction_opportunity,kl,prediction_flip,gt_probability_drop,gt_probability,correct,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,foreground_rescue_10,9.085,0.905,0.5,0.47,0.097118385,0.075,0.001953537,0.86736906,0.91,0.07366835,0.0628518,0.3267347,0.6732653,0.22481684,0.22895409,0.7216646,44.875
0,foreground_rescue_20,14.97,0.905,0.5,0.47,0.06897249,0.04,-0.004742982,0.8740656,0.915,0.10181425,0.069548324,0.3867857,0.6132143,0.10374886,0.22895409,0.8238905,44.875
0,foreground_rescue_5,4.84,0.905,0.5,0.47,0.09343315,0.06,0.015548709,0.8537739,0.885,0.07735359,0.04925663,0.28341836,0.71658164,0.33423287,0.22895409,0.63249725,44.875
0,random,0.0,0.905,0.5,0.47,0.05032505,0.045,0.029194003,0.84012854,0.9,0.120461695,0.035611335,0.2310204,0.76897955,0.49313968,0.22895409,0.5061665,44.875
0,random_rescue_10,9.085,0.905,0.5,0.47,0.15682222,0.115,0.05284717,0.81647545,0.86,0.013964521,0.011958164,0.23454082,0.76545924,0.47542512,0.22895409,0.52103037,44.875
0,random_rescue_20,14.97,0.905,0.5,0.47,0.12845613,0.09,0.053921904,0.8154007,0.845,0.04233061,0.01088343,0.23852041,0.76147956,0.46436918,0.22895409,0.5303944,44.875
0,random_rescue_5,4.84,0.905,0.5,0.47,0.14765523,0.11,0.061609477,0.8077131,0.845,0.0231315,0.0031958567,0.23295918,0.7670408,0.476541,0.22895409,0.51988846,44.875
0,student,0.0,0.905,0.5,0.47,0.17078674,0.11,0.06480534,0.80451727,0.845,0.0,0.0,0.2340306,0.7659694,0.47388175,0.22895409,0.5221421,44.875
5,foreground_rescue_10,8.345,0.905,0.57,0.36,0.06328156,0.05,0.015962828,0.85335976,0.905,0.036823515,0.04272798,0.35142857,0.6485714,0.17921583,0.22895409,0.7723973,44.875
5,foreground_rescue_20,13.535,0.905,0.57,0.36,0.046034813,0.035,-0.0035122484,0.87283486,0.92,0.054070264,0.06220306,0.40438774,0.5956123,0.07511945,0.22895409,0.86053824,44.875
5,foreground_rescue_5,4.575,0.905,0.57,0.36,0.069309406,0.05,0.028675541,0.84064704,0.875,0.03079567,0.030015266,0.3129592,0.6870408,0.27333343,0.22895409,0.69507426,44.875
5,random,0.0,0.905,0.57,0.36,0.05032505,0.045,0.029194003,0.84012854,0.9,0.049780026,0.029496806,0.2310204,0.76897955,0.49313968,0.22895409,0.5061665,44.875
5,random_rescue_10,8.345,0.905,0.57,0.36,0.08336871,0.07,0.04263549,0.8266871,0.875,0.016736366,0.016055318,0.26290816,0.73709184,0.412367,0.22895409,0.58397573,44.875
