epoch,group,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,0,-0.17029949293553032,,0.4406122448979592,0.23714286,0.76285714,0.41530696,0.20510204,0.57023793,40.2
0,1,-0.0447529507093056,,0.48183673469387756,0.20755102,0.79244894,0.47649556,0.20418367,0.52733076,40.02
0,2,-0.19619484134912923,,0.42,0.24306121,0.75693876,0.5192196,0.25816327,0.48015362,50.6
0,3,-0.1241261565863313,,0.44755102040816325,0.24836735,0.7516327,0.484505,0.24836735,0.5108462,48.68
1,0,0.14344825745348286,0.49475628271861344,0.5655102040816327,0.23306122,0.7669388,0.42740357,0.20510204,0.5649923,40.2
1,1,0.19416610312160945,0.466388440483233,0.5693877551020408,0.20877552,0.79122454,0.45404088,0.20418367,0.54074186,40.02
1,2,0.20236255321264643,0.40671600951349524,0.586530612244898,0.21959184,0.78040814,0.56455714,0.25816327,0.44137424,50.6
1,3,0.1959797728101525,0.37028743579578133,0.5720408163265307,0.2377551,0.7622449,0.5175229,0.24836735,0.48130053,48.68
2,0,0.41798732956673496,0.7914823076212778,0.6675510204081633,0.22816326,0.7718367,0.44117343,0.20510204,0.55666196,40.2
2,1,0.22522550980564035,0.712329564927639,0.5918367346938775,0.17938776,0.82061225,0.5350908,0.20418367,0.4612232,40.02
2,2,0.447325677947868,0.7209356104924318,0.6706122448979592,0.2502041,0.7497959,0.50090647,0.25816327,0.49747154,50.6
2,3,0.14166942660489873,0.6726903933586315,0.5497959183673469,0.23122449,0.76877546,0.53475606,0.24836735,0.46611962,48.68
3,0,0.40593766784339663,0.9374762090701176,0.6587755102040816,0.2322449,0.76775515,0.4291478,0.20510204,0.56910175,40.2
3,1,0.17047702985919083,0.8562200989728183,0.5763265306122449,0.19959183,0.8004082,0.48332164,0.20418367,0.5181545,40.02
3,2,0.393485902086322,0.9247625920608545,0.653061224489796,0.257551,0.742449,0.4828228,0.25816327,0.5151477,50.6
3,3,0.06558580152124359,0.8568292041533521,0.529795918367347,0.26693878,0.7330612,0.4571451,0.24836735,0.5398255,48.68
4,0,0.5606629106933676,0.8775915976699153,0.7283673469387755,0.24897958,0.75102043,0.3950185,0.20510204,0.59969246,40.2
4,1,0.1758890101921284,0.8011566910247113,0.586530612244898,0.1512245,0.8487755,0.61302924,0.20418367,0.392218,40.02
4,2,0.5356051606116871,0.8655463264225977,0.7167346938775511,0.29591838,0.70408165,0.4077251,0.25816327,0.5877048,50.6
4,3,0.0633732576540927,0.7825789033301723,0.5204081632653061,0.22653061,0.7734694,0.53017783,0.24836735,0.47192067,48.68
5,0,0.5088546725210975,0.9336579939277546,0.7038775510204082,0.24244899,0.757551,0.41561088,0.20510204,0.5813105,40.2
5,1,0.33325113754990476,0.6184397038784276,0.6422448979591837,0.22530612,0.7746939,0.4294893,0.20418367,0.567504,40.02
5,2,0.5117763947437625,0.8957626246125159,0.7053061224489796,0.30306122,0.69693875,0.3932026,0.25816327,0.6038952,50.6
5,3,0.2417712204559682,0.6312292232785344,0.6057142857142856,0.27612245,0.72387755,0.4248363,0.24836735,0.57290494,48.68
6,0,0.517223023531943,0.9414748384320538,0.7110204081632654,0.23285715,0.7671429,0.44299117,0.20510204,0.56041425,40.2
6,1,0.3301466104598809,0.6440670018886118,0.6206122448979592,0.27836734,0.7216326,0.29043856,0.20418367,0.69561106,40.02
6,2,0.49978710484584304,0.8895426372032609,0.702857142857143,0.29020408,0.7097959,0.41389504,0.25816327,0.58291316,50.6
6,3,0.2639453947639513,0.5442726294734996,0.6067346938775511,0.30591837,0.69408166,0.37868196,0.24836735,0.620273,48.68
7,0,0.3175810469443537,0.7282435591964236,0.6253061224489795,0.2212245,0.77877545,0.45614946,0.20510204,0.542936,40.2
7,1,0.36246348285507096,0.5377191626357688,0.6340816326530612,0.24020408,0.7597959,0.3785113,0.20418367,0.61271083,40.02
7,2,0.38979512148475165,0.7089667142139949,0.6512244897959184,0.30367348,0.6963265,0.3910095,0.25816327,0.6098375,50.6
7,3,0.313031344244021,0.5142438620118098,0.6155102040816327,0.2710204,0.7289796,0.4426966,0.24836735,0.55655324,48.68
8,0,0.60952214138291,0.6621245527496434,0.7442857142857143,0.22795917,0.7720408,0.4523189,0.20510204,0.5515649,40.2
8,1,0.3991423949509519,0.5051119699734639,0.6485714285714286,0.25959185,0.7404082,0.33814564,0.20418367,0.6498444,40.02
8,2,0.5875612045677311,0.679037365824893,0.7363265306122448,0.2879592,0.7120408,0.41729057,0.25816327,0.58284074,50.6
8,3,0.3785014662955891,0.5618369100080485,0.6608163265306122,0.27653062,0.7234694,0.41084775,0.24836735,0.58459145,48.68
9,0,0.5308881894030553,0.9049214831578865,0.7153061224489795,0.22346939,0.7765306,0.46094307,0.20510204,0.54380906,40.2
9,1,0.41222245774530036,0.6746751348723792,0.6477551020408163,0.29755104,0.70244896,0.24733229,0.20418367,0.7402427,40.02
9,2,0.5351580138498195,0.8633464287706493,0.7077551020408163,0.27510205,0.7248979,0.4331888,0.25816327,0.5655174,50.6
9,3,0.35677386544650597,0.6559125341663413,0.640204081632653,0.28836736,0.7116326,0.39800426,0.24836735,0.60181355,48.68
10,0,0.6129799424650766,0.8616199985656113,0.7532653061224489,0.2212245,0.77877545,0.4578755,0.20510204,0.54468644,40.2
10,1,0.4201042003681598,0.8077450294448119,0.6548979591836734,0.29755104,0.70244896,0.24421267,0.20418367,0.73786414,40.02
10,2,0.5650018407987951,0.7910478846751507,0.7175510204081632,0.2634694,0.7365306,0.46470284,0.25816327,0.5377727,50.6
10,3,0.34393358516058725,0.7695782737929221,0.6224489795918368,0.30857143,0.6914286,0.37217653,0.24836735,0.6234759,48.68
11,0,0.5717825148020942,0.895055981002319,0.7322448979591837,0.22489795,0.775102,0.4599866,0.20510204,0.546876,40.2
11,1,0.4153227794426631,0.7872854881914383,0.6532653061224489,0.29836735,0.7016326,0.25235283,0.20418367,0.7334056,40.02
11,2,0.5516654686864984,0.8146076867295142,0.7222448979591838,0.29530612,0.7046939,0.3887003,0.25816327,0.6050936,50.6
11,3,0.3405902002256841,0.7164597056315694,0.6302040816326531,0.2897959,0.71020406,0.39184335,0.24836735,0.605709,48.68
12,0,0.5559310537178558,0.8609436046187315,0.7251020408163265,0.22795917,0.7720408,0.45310822,0.20510204,0.54441375,40.2
12,1,0.4428529671923435,0.5318860961643412,0.6714285714285714,0.22755103,0.77244896,0.3988652,0.20418367,0.59146124,40.02
12,2,0.5402432404433855,0.832073886954235,0.7110204081632654,0.27836734,0.7216326,0.4352228,0.25816327,0.56427544,50.6
12,3,0.3465696004680697,0.47842877064922024,0.6171428571428571,0.24346939,0.7565306,0.4924646,0.24836735,0.5037544,48.68
13,0,0.5404485173999315,0.9680863183227215,0.7173469387755103,0.22061224,0.7793877,0.46998027,0.20510204,0.53177565,40.2
13,1,0.4751173409621561,0.8765397763947438,0.69,0.25530612,0.74469393,0.3408639,0.20418367,0.6424898,40.02
13,2,0.5283257656049534,0.9502683741204409,0.7057142857142857,0.26693878,0.7330612,0.45776328,0.25816327,0.5408616,50.6
