epoch,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,0.013099176480416521,,0.5088265306122449,0.2340306,0.7659694,0.47388175,0.22895409,0.5221421,44.875
1,0.24033298524567123,0.40337824150437834,0.5894897959183674,0.22438776,0.77561224,0.49128637,0.22895409,0.5062287,44.875
2,0.26014039135525946,0.7374093299578572,0.5976530612244898,0.22443879,0.7755612,0.49709594,0.22895409,0.50078183,44.875
3,0.26193230482353036,0.9127043520026689,0.6010714285714286,0.23418367,0.76581633,0.47465488,0.22895409,0.52358377,44.875
4,0.32071035742042425,0.866358666638719,0.625765306122449,0.25704083,0.7429592,0.4248595,0.22895409,0.57141274,44.875
5,0.31484544445175666,0.7445298815859315,0.6165306122448979,0.2640306,0.73596936,0.41562665,0.22895409,0.5835245,44.875
6,0.35272823115970325,0.7432129285112533,0.6313775510204082,0.2719898,0.7280102,0.39218232,0.22895409,0.60206896,44.875
7,0.3492850369355083,0.7399099522667325,0.6243367346938775,0.26663265,0.7333673,0.3998231,0.22895409,0.5946816,44.875
8,0.3389248300522226,0.8294868723259434,0.6181122448979592,0.26561224,0.73438776,0.39850083,0.22895409,0.5971133,44.875
9,0.37024248340491994,0.7211204376839895,0.6329081632653061,0.24709183,0.7529082,0.44046956,0.22895409,0.5564644,44.875
10,0.31360618492783066,0.8307566149097549,0.6084693877551021,0.26280612,0.7371939,0.40767974,0.22895409,0.5864639,44.875
11,0.3583564933978277,0.7572456547127314,0.6231632653061224,0.27954084,0.7204592,0.36811206,0.22895409,0.6247584,44.875
12,0.40168284539227855,0.7044707188473633,0.6398469387755102,0.24617347,0.7538265,0.43778455,0.22895409,0.55822283,44.875
13,0.4372417183976285,0.6978847356556863,0.6538775510204081,0.24795918,0.7520408,0.44186017,0.22895409,0.5572529,44.875
14,0.37759880148857666,0.7712565244762488,0.631938775510204,0.25892857,0.7410714,0.42043224,0.22895409,0.57461655,44.875
15,0.4672313350174119,0.7396865940440995,0.6601530612244898,0.26785713,0.73214287,0.3978868,0.22895409,0.5964346,44.875
16,0.48229802612181144,0.7994373690124235,0.671734693877551,0.2709694,0.7290306,0.3894457,0.22895409,0.60308313,44.875
17,0.48963686857015354,0.7381056586633092,0.6708163265306122,0.27117348,0.7288265,0.3892225,0.22895409,0.6044174,44.875
18,0.5100163291258424,0.9027497129658338,0.6827551020408162,0.2672449,0.7327551,0.39902648,0.22895409,0.5937934,44.875
19,0.5084725673166572,0.8227679096887891,0.6760714285714287,0.2655102,0.7344898,0.4002724,0.22895409,0.59405303,44.875
20,0.5367569200017903,0.795454020816763,0.6929081632653061,0.23474489,0.76525515,0.4670224,0.22895409,0.5305172,44.875
21,0.5010204400385692,0.7707248414952332,0.6738775510204081,0.2712245,0.7287755,0.38555142,0.22895409,0.60775995,44.875
22,0.48207736136235046,0.8544103467236173,0.6665306122448978,0.27214286,0.7278571,0.38863716,0.22895409,0.60373235,44.875
23,0.5250908844599925,0.7008815832463404,0.6863265306122449,0.25994897,0.74005103,0.41175953,0.22895409,0.58002543,44.875
24,0.5110986859406004,0.755302839292687,0.6785714285714286,0.2830612,0.7169388,0.36194888,0.22895409,0.6260066,44.875
25,0.5011009092430413,0.8358903330172366,0.6752551020408163,0.26341838,0.7365816,0.4093967,0.22895409,0.5821687,44.875
26,0.48314443497039583,0.7906771669229973,0.6665306122448978,0.26035714,0.73964286,0.41898072,0.22895409,0.57478714,44.875
27,0.5106170580688347,0.8734917960936815,0.6751020408163265,0.26061225,0.73938775,0.41847354,0.22895409,0.57671326,44.875
28,0.49874914135900356,0.815013347783471,0.6719897959183673,0.2612755,0.7387245,0.41544682,0.22895409,0.5814741,44.875
29,0.5660804382362817,0.8675481652601862,0.7015306122448979,0.25392857,0.7460714,0.42840394,0.22895409,0.5683034,44.875
30,0.5516107866028098,0.8387029156967509,0.6942346938775511,0.2522959,0.7477041,0.43600625,0.22895409,0.5589603,44.875
31,0.5825530763652591,0.8313138043971982,0.7028061224489796,0.24974489,0.7502551,0.43272224,0.22895409,0.5622412,44.875
32,0.5652491373745906,0.8325495302377101,0.6995918367346938,0.2502041,0.7497959,0.4367992,0.22895409,0.5586387,44.875
33,0.5453506761548821,0.8789617336977743,0.6873469387755102,0.25964287,0.74035716,0.4177234,0.22895409,0.57714266,44.875
34,0.5480678518610635,0.8605699033131202,0.6932142857142857,0.2642347,0.7357653,0.40513697,0.22895409,0.58784,44.875
35,0.5799434611798644,0.8146768491758916,0.7073979591836735,0.24571428,0.75428575,0.45013523,0.22895409,0.54763776,44.875
36,0.6235376820733899,0.8664146995692577,0.7335714285714287,0.24785715,0.75214285,0.44080815,0.22895409,0.5531071,44.875
37,0.5815239901505311,0.8269043281757805,0.7098979591836735,0.2559694,0.7440306,0.42593005,0.22895409,0.5694128,44.875
38,0.6038346468614779,0.8981734494656902,0.7112755102040816,0.25591838,0.7440817,0.42422,0.22895409,0.5710522,44.875
39,0.5881938586459436,0.862755920631548,0.7037755102040816,0.25,0.75,0.43550232,0.22895409,0.5596238,44.875
40,0.5496761150379714,0.7810649474436595,0.7004081632653062,0.2659694,0.7340306,0.40325686,0.22895409,0.5903111,44.875
41,0.5790303134139247,0.6257863876515073,0.6998979591836735,0.24290818,0.7570918,0.4485722,0.22895409,0.547423,44.875
42,0.6269665600180373,0.7939956069501666,0.7258163265306122,0.25142857,0.7485714,0.43328276,0.22895409,0.5620224,44.875
43,0.6073478687327674,0.8803544331778926,0.7209183673469387,0.2655102,0.7344898,0.40198883,0.22895409,0.59123206,44.875
44,0.6157523448270367,0.861724471649779,0.7173469387755103,0.25295916,0.7470408,0.43112126,0.22895409,0.565374,44.875
45,0.5948644741770195,0.8423406513718333,0.7122448979591838,0.27,0.73,0.39115247,0.22895409,0.60077167,44.875
46,0.6556081967343751,0.8443696818047798,0.7381122448979592,0.27163264,0.7283673,0.38875243,0.22895409,0.60319555,44.875
47,0.6567841460538445,0.8939640106896374,0.7345918367346939,0.26418367,0.73581636,0.4052278,0.22895409,0.59042025,44.875
48,0.6631063136386538,0.919921255748676,0.7393877551020408,0.25484693,0.74515307,0.4248122,0.22895409,0.57142776,44.875
49,0.676440134195029,0.8812892982146258,0.7451530612244898,0.2619898,0.73801017,0.41667712,0.22895409,0.57941574,44.875
50,0.7209302249599567,0.9143884165145948,0.7686734693877552,0.25862247,0.7413776,0.419094,0.22895409,0.57664436,44.875
51,0.7436481205523989,0.9293544533783837,0.7772448979591837,0.25744897,0.742551,0.4212142,0.22895409,0.57445943,44.875
52,0.7327404792451928,0.8990994748543697,0.7716836734693878,0.2637245,0.7362755,0.40862727,0.22895409,0.5859827,44.875
53,0.7266838022700475,0.8950394914437383,0.7688775510204081,0.26489794,0.735102,0.40956596,0.22895409,0.58548933,44.875
54,0.7403757699878076,0.9199462043317971,0.7776530612244897,0.27505103,0.72494894,0.38835752,0.22895409,0.604462,44.875
55,0.7979235789591119,0.8774637219198496,0.8134183673469387,0.25040817,0.7495918,0.4398068,0.22895409,0.5572179,44.875
56,0.8052061136832711,0.9001728358660919,0.8134183673469387,0.2530612,0.74693877,0.43040857,0.22895409,0.56572515,44.875
57,0.768257345265322,0.8794232801281388,0.792295918367347,0.26857144,0.7314286,0.40174216,0.22895409,0.5916771,44.875
58,0.7914636119470011,0.9286229607324293,0.8131632653061225,0.26469386,0.7353061,0.41115344,0.22895409,0.5841482,44.875
59,0.7994393532500856,0.92415102683316,0.8219387755102041,0.2665306,0.73346937,0.40335906,0.22895409,0.5922018,44.875
60,0.78983056682259,0.9127771756887059,0.8143877551020409,0.2690306,0.73096937,0.39597893,0.22895409,0.5964161,44.875
61,0.8014377355784172,0.9076164365004104,0.8135714285714286,0.265,0.735,0.4042311,0.22895409,0.5895768,44.875
62,0.8265497869558215,0.9421050669054623,0.8254591836734694,0.25862247,0.7413776,0.41987628,0.22895409,0.5750101,44.875
63,0.8333155336324299,0.9465445795685458,0.8285714285714286,0.26020408,0.7397959,0.41676477,0.22895409,0.5773538,44.875
64,0.8408513256141973,0.9139468479308944,0.8305102040816327,0.260051,0.739949,0.42046437,0.22895409,0.5738243,44.875
65,0.8232474639211405,0.8949485771661262,0.8215816326530613,0.2522959,0.7477041,0.43113112,0.22895409,0.5647491,44.875
66,0.8690025818996088,0.941099427041414,0.8490306122448978,0.2544388,0.74556124,0.42785177,0.22895409,0.56807554,44.875
67,0.8314494577213939,0.9195229621719833,0.8266836734693878,0.26933673,0.7306633,0.39873707,0.22895409,0.59530526,44.875
68,0.8578794327218167,0.9070840929767925,0.8471428571428571,0.26244897,0.73755103,0.41072598,0.22895409,0.5822097,44.875
69,0.8486132250635514,0.8993746153288393,0.844030612244898,0.25535715,0.74464285,0.4276037,0.22895409,0.56698495,44.875
70,0.9000628421614644,0.930861525711417,0.8766326530612245,0.24596938,0.7540306,0.44421118,0.22895409,0.5526149,44.875
71,0.8786958299133789,0.9288449664910868,0.8641836734693878,0.23647958,0.7635204,0.45960858,0.22895409,0.53833383,44.875
72,0.8500660433044849,0.880031462391033,0.8499489795918368,0.25469387,0.7453061,0.42088127,0.22895409,0.57552874,44.875
73,0.9266201956165836,0.8971161929709841,0.8995408163265306,0.24454083,0.7554592,0.44916737,0.22895409,0.5478218,44.875
74,0.9049015132800484,0.9278273493241119,0.8843367346938775,0.2512755,0.7487245,0.43407232,0.22895409,0.56260544,44.875
75,0.9390386806811751,0.9306867135764888,0.9112244897959184,0.23581633,0.76418364,0.46830794,0.22895409,0.5315532,44.875
76,0.9283416235685996,0.9479825084270334,0.8948469387755102,0.24729592,0.7527041,0.44157916,0.22895409,0.55355024,44.875
77,0.9434719138729291,0.9497527512371602,0.9063265306122449,0.24362245,0.7563776,0.44990963,0.22895409,0.54480046,44.875
78,0.9370841109579325,0.9429815441990931,0.9085204081632654,0.24367347,0.7563265,0.45000705,0.22895409,0.54791164,44.875
79,0.9576948816230905,0.9398434683518078,0.9301530612244897,0.24632652,0.7536735,0.4424775,0.22895409,0.5549737,44.875
80,0.9702812995561364,0.9690969646741945,0.9401530612244897,0.24668367,0.75331634,0.44279656,0.22895409,0.55452335,44.875
81,0.9639139446485349,0.9668543059551037,0.930561224489796,0.24413265,0.7558673,0.45005184,0.22895409,0.54736924,44.875
82,0.9646718118719569,0.9772307692307691,0.9339795918367346,0.2467347,0.7532653,0.44471958,0.22895409,0.55211633,44.875
83,0.9636097565936013,0.9659354544965061,0.9306632653061224,0.24816327,0.7518367,0.44183934,0.22895409,0.5549742,44.875
84,0.9723822645809592,0.9598340073450617,0.9436734693877551,0.2412245,0.7587755,0.45778638,0.22895409,0.5407867,44.875
85,0.9829267326202679,0.9682525022001772,0.9544387755102041,0.24234694,0.75765306,0.4518783,0.22895409,0.5445488,44.875
86,0.9732963925124912,0.9835895437032142,0.9424489795918367,0.24510205,0.7548979,0.44769168,0.22895409,0.5497879,44.875
87,0.9825916693893488,0.9867504402776339,0.9574489795918367,0.24020408,0.7597959,0.45914155,0.22895409,0.53901374,44.875
