epoch,mask_method,actual_swaps,full_teacher_correct,student_correct,correction_opportunity,kl,prediction_flip,gt_probability_drop,gt_probability,correct,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,foreground_rescue_10,9.085,0.905,0.5,0.47,0.097118385,0.075,0.001953537,0.86736906,0.91,0.07366835,0.0628518,0.3267347,0.6732653,0.22481684,0.22895409,0.7216646,44.875
0,foreground_rescue_20,14.97,0.905,0.5,0.47,0.06897249,0.04,-0.004742982,0.8740656,0.915,0.10181425,0.069548324,0.3867857,0.6132143,0.10374886,0.22895409,0.8238905,44.875
0,foreground_rescue_5,4.84,0.905,0.5,0.47,0.09343315,0.06,0.015548709,0.8537739,0.885,0.07735359,0.04925663,0.28341836,0.71658164,0.33423287,0.22895409,0.63249725,44.875
0,random,0.0,0.905,0.5,0.47,0.05032505,0.045,0.029194003,0.84012854,0.9,0.120461695,0.035611335,0.2310204,0.76897955,0.49313968,0.22895409,0.5061665,44.875
0,random_rescue_10,9.085,0.905,0.5,0.47,0.15682222,0.115,0.05284717,0.81647545,0.86,0.013964521,0.011958164,0.23454082,0.76545924,0.47542512,0.22895409,0.52103037,44.875
0,random_rescue_20,14.97,0.905,0.5,0.47,0.12845613,0.09,0.053921904,0.8154007,0.845,0.04233061,0.01088343,0.23852041,0.76147956,0.46436918,0.22895409,0.5303944,44.875
0,random_rescue_5,4.84,0.905,0.5,0.47,0.14765523,0.11,0.061609477,0.8077131,0.845,0.0231315,0.0031958567,0.23295918,0.7670408,0.476541,0.22895409,0.51988846,44.875
0,student,0.0,0.905,0.5,0.47,0.17078674,0.11,0.06480534,0.80451727,0.845,0.0,0.0,0.2340306,0.7659694,0.47388175,0.22895409,0.5221421,44.875
5,foreground_rescue_10,8.685,0.905,0.575,0.35,0.094783105,0.065,0.009751508,0.8595711,0.91,0.0055059753,0.050374564,0.35265306,0.647347,0.17968479,0.22895409,0.77081835,44.875
5,foreground_rescue_20,14.015,0.905,0.575,0.35,0.07876151,0.06,0.0071443915,0.8621782,0.905,0.02152757,0.052981682,0.40704083,0.59295917,0.07310563,0.22895409,0.8596404,44.875
5,foreground_rescue_5,4.76,0.905,0.575,0.35,0.059251122,0.04,0.026314616,0.843008,0.885,0.04103796,0.033811457,0.31260204,0.6873979,0.27718002,0.22895409,0.6924395,44.875
5,random,0.0,0.905,0.575,0.35,0.05032505,0.045,0.029194003,0.84012854,0.9,0.049964037,0.030932069,0.2310204,0.76897955,0.49313968,0.22895409,0.5061665,44.875
5,random_rescue_10,8.685,0.905,0.575,0.35,0.09602542,0.075,0.052857436,0.81646514,0.85,0.004263668,0.0072686337,0.2590306,0.7409694,0.4248326,0.22895409,0.57396406,44.875
