,accuracy,accuracy,accuracy,train_weighted_accuracy,train_weighted_accuracy,train_weighted_accuracy,worst_group_accuracy,worst_group_accuracy,worst_group_accuracy,landbird_land,landbird_land,landbird_land,landbird_water,landbird_water,landbird_water,waterbird_land,waterbird_land,waterbird_land,waterbird_water,waterbird_water,waterbird_water
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
method,,,,,,,,,,,,,,,,,,,,,
ce,0.5987228167069382,,1,0.8918471943777966,,1,0.19003115264797507,,1,0.9365853658536586,,1,0.2957871396895787,,1,0.19003115264797507,,1,0.8847352024922118,,1
foreground_rescue_10,0.6042457714877459,,1,0.8864797151971101,,1,0.20404984423676012,,1,0.9303769401330377,,1,0.3144124168514412,,1,0.20404984423676012,,1,0.8769470404984424,,1
foreground_rescue_20,0.5875043148084225,,1,0.8913384488734353,,1,0.2071651090342679,,1,0.930820399113082,,1,0.2616407982261641,,1,0.2071651090342679,,1,0.9065420560747663,,1
foreground_rescue_5,0.608560579910252,,1,0.8823370271970067,,1,0.21651090342679127,,1,0.9232815964523282,,1,0.3286031042128603,,1,0.21651090342679127,,1,0.8785046728971962,,1
full,0.5507421470486711,,1,0.8478037643557869,,1,0.19003115264797507,,1,0.8962305986696231,,1,0.22838137472283815,,1,0.19003115264797507,,1,0.8302180685358256,,1
random,0.586468760787021,,1,0.8911113537485749,,1,0.19937694704049844,,1,0.9334811529933481,,1,0.2611973392461197,,1,0.19937694704049844,,1,0.897196261682243,,1
random_rescue_10,0.59285467725233,,1,0.8884022453381825,,1,0.19003115264797507,,1,0.9277161862527716,,1,0.2851441241685144,,1,0.19003115264797507,,1,0.9003115264797508,,1
student,0.5780117362789092,,1,0.8919326195715127,,1,0.20404984423676012,,1,0.9330376940133037,,1,0.23592017738359203,,1,0.20404984423676012,,1,0.9065420560747663,,1
teacher,0.8879875733517432,,1,0.9762624291707065,,1,0.7738359201773836,,1,0.9893569844789357,,1,0.7738359201773836,,1,0.8457943925233645,,1,0.9750778816199377,,1
